CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Euclidean_dist_1_1,6.4383459091,6.4446029663,39.1559019089,83.6226930618,84.2832288742
unit.000001,Euclidean_dist_1_8193,6.932461977,6.9376130104,83.70388484,128.372045994,129.9461689
unit.000002,Euclidean_dist_1_16385,6.2833878994,6.2891550064,7.4876308441,39.0882349014,40.3679318428
unit.000003,Euclidean_dist_1_24577,6.7479689121,6.7517240048,39.9698710442,83.7092308998,85.8954150677
unit.000004,Euclidean_dist_1_32769,6.8101599217,6.8151299954,40.0468468666,83.8175020218,86.0275509357
unit.000005,Euclidean_dist_1_40961,6.6773860455,6.6840789318,39.7088079453,83.6893270016,85.5216829777
unit.000006,Euclidean_dist_1_49153,6.7077200413,6.7116589546,39.7962329388,83.6982159615,85.6831378937
unit.000007,Euclidean_dist_1_57345,6.0228450298,6.0258288384,6.232378006,39.1128230095,38.8952069283
unit.000008,Euclidean_dist_1_65537,7.2760350704,7.278883934,84.7799220085,128.559259892,131.789264917
unit.000009,Euclidean_dist_1_73729,7.1005690098,7.1029970646,84.1456999779,128.54815197,130.801759005
unit.000010,Euclidean_dist_1_81921,6.8151299954,6.8177678585,40.0621490479,83.717512846,86.0555899143
unit.000011,Euclidean_dist_1_90113,6.87352705,6.8823850155,40.2839970589,83.8303918839,86.45656991
unit.000012,Euclidean_dist_1_98305,7.1354269981,7.1376008987,84.2453989983,128.55092907,131.012353897
unit.000013,Euclidean_dist_1_106497,6.1721529961,6.1752259731,7.0289049149,39.0645349026,39.9306418896
unit.000014,Euclidean_dist_1_114689,6.9877119064,6.9944388866,83.7929830551,128.408133984,130.137659073
unit.000015,Euclidean_dist_1_122881,6.5306360722,6.5405619144,39.3195970058,83.6508300304,84.7061178684
unit.000016,Euclidean_dist_8193_1,7.1062400341,7.1108310223,84.1699230671,128.51805687,130.854336023
unit.000017,Euclidean_dist_8193_8193,6.9703810215,6.9879908562,83.7800550461,128.383250952,130.105249882
unit.000018,Euclidean_dist_8193_16385,6.9944069386,6.999147892,83.8053078651,128.386129856,130.158635855
unit.000019,Euclidean_dist_8193_24577,6.8346140385,6.8369050026,40.1678450108,83.8275079727,86.2429790497
unit.000020,Euclidean_dist_8193_32769,6.8369998932,6.8501858711,40.1829650402,83.7286539078,86.2682249546
unit.000021,Euclidean_dist_8193_40961,6.7297198772,6.7333979607,39.8698120117,83.8227920532,85.8140919209
unit.000022,Euclidean_dist_8193_49153,6.7338018417,6.7399060726,39.8860569,83.7066369057,85.8421850204
unit.000023,Euclidean_dist_8193_57345,6.6611058712,6.6643929482,39.6530270576,83.6834449768,85.4167609215
unit.000024,Euclidean_dist_8193_65537,6.6643760204,6.6686320305,39.6665849686,83.7596299648,85.4416968822
