CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000877,Euclidean_dist_110593_53249,7.5676279068,7.5703589916,45.7793209553,57.2593669891,58.9896268845
unit.000878,Euclidean_dist_110593_57345,7.9420199394,7.9447369576,58.1400849819,76.4877948761,78.9300589561
unit.000879,Euclidean_dist_110593_61441,9.8432769775,9.9598560333,132.208153009,142.212743998,144.361018896
unit.000880,Euclidean_dist_110593_65537,8.5854408741,8.5883469582,87.0019059181,98.6240680218,100.293336868
unit.000881,Euclidean_dist_110593_69633,9.2902340889,9.2950179577,130.267047882,142.097117901,143.98507905
unit.000882,Euclidean_dist_110593_73729,9.322149992,9.3397400379,131.989274979,142.689162016,144.17551589
unit.000883,Euclidean_dist_110593_77825,8.1244440079,8.1267528534,61.6563379765,76.790874958,80.6577730179
unit.000884,Euclidean_dist_110593_81921,6.8731188774,6.875289917,9.1068539619,28.0883738995,29.392485857
unit.000885,Euclidean_dist_110593_86017,6.6224570274,6.625056982,7.3984680176,23.4699370861,25.2119679451
unit.000886,Euclidean_dist_110593_90113,6.5376150608,6.5399329662,6.84856987,23.4389760494,24.7379188538
unit.000887,Euclidean_dist_110593_94209,6.8532960415,6.8559069634,8.991494894,28.0807728767,29.243555069
unit.000888,Euclidean_dist_110593_98305,7.2096738815,7.2122519016,34.4240920544,45.3354480267,46.4126079082
unit.000889,Euclidean_dist_110593_102401,6.7708439827,6.773195982,8.4423229694,24.1896059513,27.414233923
unit.000890,Euclidean_dist_110593_106497,6.5474779606,6.5497989655,6.9006969929,23.4411349297,24.79220891
unit.000891,Euclidean_dist_110593_110593,24.2000029087,24.2899670601,174.829535007,177.425911903,178.66841507
unit.000892,Euclidean_dist_110593_114689,23.4840080738,23.868612051,160.249894857,162.530148029,163.841603994
unit.000893,Euclidean_dist_110593_118785,23.0869469643,23.2338199615,144.532557964,151.086462975,152.721474886
unit.000894,Euclidean_dist_110593_122881,24.177200079,24.2795329094,167.284029961,175.307695866,176.391362906
unit.000895,Euclidean_dist_110593_126977,6.6968290806,6.6991789341,7.8940429688,23.1060979366,26.6115438938
unit.000896,Euclidean_dist_114689_1,6.9972119331,7.0009088516,24.2555148602,30.4381070137,31.5994038582
unit.000897,Euclidean_dist_114689_4097,6.8616979122,6.8640060425,9.0339009762,28.0832629204,29.2957320213
unit.000898,Euclidean_dist_114689_8193,8.0627419949,8.0651090145,61.1406419277,76.6211259365,80.1647870541
unit.000899,Euclidean_dist_114689_12289,7.8475370407,7.8499670029,57.7600839138,76.1010630131,77.9736459255
unit.000900,Euclidean_dist_114689_16385,7.6592609882,7.662168026,46.2688319683,57.6197760105,60.0388388634
unit.000901,Euclidean_dist_114689_20481,9.2418589592,9.2445030212,130.015760899,142.166337967,143.453912973
unit.000902,Euclidean_dist_114689_24577,23.4794890881,23.8493080139,160.123225927,162.527050972,163.780036926
unit.000903,Euclidean_dist_114689_28673,6.5241219997,6.5272409916,6.7851068974,23.0601148605,24.6345469952
unit.000904,Euclidean_dist_114689_32769,23.6144070625,23.8987939358,162.442111015,166.870702028,169.053355932
unit.000905,Euclidean_dist_114689_36865,8.0386419296,8.0409929752,60.8792099953,76.7697570324,79.8987660408
unit.000906,Euclidean_dist_114689_40961,6.6922779083,6.6947050095,7.8464670181,23.103728056,26.5544469357
unit.000907,Euclidean_dist_114689_45057,8.8174109459,8.8195660114,101.475197077,109.774389982,110.547616959
unit.000908,Euclidean_dist_114689_49153,7.1919958592,7.1944580078,34.3301448822,44.9974150658,46.2513279915
unit.000909,Euclidean_dist_114689_53249,9.0062060356,9.0089960098,112.850667953,118.739647865,120.786925077
unit.000910,Euclidean_dist_114689_57345,23.0723998547,23.1684298515,144.438529015,151.107799053,152.553844929
unit.000911,Euclidean_dist_114689_61441,6.4938769341,6.496391058,6.6474969387,23.0452480316,24.3723120689
unit.000912,Euclidean_dist_114689_65537,6.6750059128,6.6774859428,7.7499120235,24.2030799389,26.3244960308
unit.000913,Euclidean_dist_114689_69633,6.9824540615,6.9849669933,24.1478099823,30.430574894,31.4409360886
unit.000914,Euclidean_dist_114689_73729,7.5176079273,7.5204079151,36.3519990444,45.7224149704,47.9144330025
unit.000915,Euclidean_dist_114689_77825,7.8237910271,7.8266189098,57.2873270512,60.9399929047,61.5468680859
unit.000916,Euclidean_dist_114689_81921,6.4990608692,6.5018289089,6.6750559807,23.0478730202,24.4231359959
unit.000917,Euclidean_dist_114689_86017,6.8142769337,6.8166019917,8.7034440041,23.4070489407,27.8343839645
unit.000918,Euclidean_dist_114689_90113,6.9061598778,6.9083619118,23.0178489685,28.1009850502,29.5520679951
unit.000919,Euclidean_dist_114689_94209,7.5039010048,7.5065069199,36.2751719952,45.7524650097,47.757365942
unit.000920,Euclidean_dist_114689_98305,7.59040308,7.5929560661,45.8871080875,57.2764389515,59.2881360054
unit.000921,Euclidean_dist_114689_102401,23.8638498783,24.0568618774,162.684484005,166.862818956,169.502326965
unit.000922,Euclidean_dist_114689_106497,8.094563961,8.0970640183,61.2683000565,76.7738490105,80.3304069042
unit.000923,Euclidean_dist_114689_110593,6.734705925,6.7370960712,8.1048579216,24.1867918968,26.9939188957
unit.000924,Euclidean_dist_114689_114689,8.8753950596,8.8776109219,101.855361938,109.14932394,111.18899107
unit.000925,Euclidean_dist_114689_118785,6.4885489941,6.4912319183,6.6207849979,23.0424878597,24.3705620766
unit.000926,Euclidean_dist_114689_122881,6.8043558598,6.8066718578,8.6230549812,23.4023370743,27.7290999889
unit.000927,Euclidean_dist_114689_126977,7.8915140629,7.8941719532,57.8886659145,76.5314040184,78.3865439892
unit.000928,Euclidean_dist_118785_1,6.5522038937,6.5550949574,6.9253430367,23.4441518784,24.8429589272
unit.000929,Euclidean_dist_118785_4097,8.507889986,8.5109798908,86.717648983,98.5149998665,99.9077889919
unit.000930,Euclidean_dist_118785_8193,7.013972044,7.0163619518,28.075097084,31.3686289787,31.7587208748
unit.000931,Euclidean_dist_118785_12289,9.2546858788,9.2641470432,130.087990046,142.181473017,143.579946041
unit.000932,Euclidean_dist_118785_16385,23.0478320122,23.0859589577,144.314615011,151.096760035,152.25859189
unit.000933,Euclidean_dist_118785_20481,23.9242289066,24.2630460262,167.114458084,174.810600996,176.009305
unit.000934,Euclidean_dist_118785_24577,6.6511929035,6.6535248756,7.6102790833,23.4846189022,25.4194879532
unit.000935,Euclidean_dist_118785_28673,6.945002079,6.9526729584,23.5098860264,30.4436290264,31.2193360329
unit.000936,Euclidean_dist_118785_32769,9.0262310505,9.0294299126,112.946214914,118.716682911,121.001461029
unit.000937,Euclidean_dist_118785_36865,7.515100956,7.5175850391,36.3325049877,45.7551450729,47.8629920483
unit.000938,Euclidean_dist_118785_40961,6.7150089741,6.7178270817,7.9876310825,24.2183060646,26.7798190117
unit.000939,Euclidean_dist_118785_45057,8.0029129982,8.0059039593,58.595705986,76.5142469406,79.5766370296
unit.000940,Euclidean_dist_118785_49153,9.1594660282,9.1652698517,127.149501085,129.998203993,131.534453869
unit.000941,Euclidean_dist_118785_53249,23.4407389164,23.705796957,158.256150961,160.236434937,162.269649982
unit.000942,Euclidean_dist_118785_57345,8.4954528809,8.4983599186,86.6330740452,97.5272259712,99.7447040081
unit.000943,Euclidean_dist_118785_61441,23.0332100391,23.0561618805,144.199341059,151.033377886,152.127102852
unit.000944,Euclidean_dist_118785_65537,7.140873909,7.1456310749,31.4764778614,35.5796990395,36.7147400379
unit.000945,Euclidean_dist_118785_69633,7.6389389038,7.6411569119,46.1506869793,57.6099328995,59.8217089176
unit.000946,Euclidean_dist_118785_73729,7.9829668999,7.9853239059,58.4904429913,76.5536260605,79.3643078804
unit.000947,Euclidean_dist_118785_77825,7.8758230209,7.8827650547,57.8337519169,76.528635025,78.2769830227
unit.000948,Euclidean_dist_118785_81921,23.7847759724,23.9384379387,162.485638857,166.847598076,169.16800499
unit.000949,Euclidean_dist_118785_86017,9.1227469444,9.1265618801,118.859663963,126.669247866,129.07466197
unit.000950,Euclidean_dist_118785_90113,6.7074918747,6.7097558975,7.9490618706,23.1111249924,26.7225539684
unit.000951,Euclidean_dist_118785_94209,7.0054769516,7.0081820488,25.9396078587,31.3572859764,31.6944320202
unit.000952,Euclidean_dist_118785_98305,8.1289339066,8.1311590672,61.6875488758,76.7649719715,80.711304903
unit.000953,Euclidean_dist_118785_102401,7.9175598621,7.9200360775,58.02303195,76.5728840828,78.6521470547
unit.000954,Euclidean_dist_118785_106497,24.1703648567,24.2770068645,167.257396936,175.316606998,176.335720062
unit.000955,Euclidean_dist_118785_110593,8.1948750019,8.197977066,76.7626450062,84.2087099552,85.4850440025
unit.000956,Euclidean_dist_118785_114689,9.2496159077,9.2523238659,130.055510998,142.186395884,143.520704031
unit.000957,Euclidean_dist_118785_118785,8.9998030663,9.003330946,112.821827888,118.727164984,120.731831074
unit.000958,Euclidean_dist_118785_122881,6.5295279026,6.5321068764,6.8095650673,23.8784809113,25.6811599731
unit.000959,Euclidean_dist_118785_126977,6.848512888,6.8509540558,8.9644219875,28.051347971,29.2343089581
unit.000960,Euclidean_dist_122881_1,24.2273099422,24.303401947,176.646484852,178.34405303,178.94324708
unit.000961,Euclidean_dist_122881_4097,6.6559569836,6.6583380699,7.6363220215,24.1819760799,26.1653459072
unit.000962,Euclidean_dist_122881_8193,8.0304989815,8.0330159664,58.7409849167,76.6076979637,79.8431110382
unit.000963,Euclidean_dist_122881_12289,9.1695280075,9.1735169888,127.177165985,130.003887892,131.589731932
unit.000964,Euclidean_dist_122881_16385,9.0213420391,9.023870945,112.919592857,118.713881969,120.947543859
unit.000965,Euclidean_dist_122881_20481,23.0796639919,23.1992490292,144.480473995,151.063049078,152.613731861
unit.000966,Euclidean_dist_122881_24577,23.9660139084,24.2745370865,167.230440855,175.304960012,176.281627893
unit.000967,Euclidean_dist_122881_28673,6.6874110699,6.6898510456,7.8186159134,23.1013388634,26.4848358631
unit.000968,Euclidean_dist_122881_32769,7.9019579887,7.9049069881,57.9406099319,76.5337269306,78.4933469296
