CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000000,cpptraj_ens0,5.43748903275,5.43902993202,5.58424806595,629.211709976,630.475655079
unit.000001,cpptraj_ens1,5.41859197617,5.42152786255,5.45750689507,648.660819054,650.210185051
unit.000002,cpptraj_ens2,5.41236186028,5.41747784615,5.42121005058,637.031676054,637.80281496
unit.000003,cpptraj_ens3,5.43571591377,5.43747496605,5.57293486595,659.780858994,661.496758938
unit.000004,cpptraj_ens4,5.42831492424,5.42983984947,5.5209569931,633.722918034,635.654567003
unit.000005,cpptraj_ens5,5.41507697105,5.41896796227,5.43424201012,636.629812002,637.756444931
unit.000006,cpptraj_ens6,5.41698384285,5.42027807236,5.44690704346,644.249300003,646.012512922
unit.000007,cpptraj_ens7,5.42351198196,5.42525196075,5.48978090286,616.078073978,617.189508915
unit.000008,cpptraj_ens8,5.42031407356,5.42277789116,5.46855998039,620.688163996,622.169949055
unit.000009,cpptraj_ens9,5.42510986328,5.42675089836,5.50033402443,613.868252993,615.084207058
unit.000010,cpptraj_ens10,5.43129992485,5.43274593353,5.54168891907,640.840785027,641.955616951
unit.000011,cpptraj_ens11,5.43275284767,5.43418908119,5.55198597908,618.181226969,619.290543079
unit.000012,cpptraj_ens12,5.42982697487,5.43130898476,5.53149390221,581.190690994,582.212231874
unit.000013,cpptraj_ens13,5.42676496506,5.42836499214,5.51052689552,644.253309965,646.062011957
unit.000014,cpptraj_ens14,5.42194795609,5.42400097847,5.47942996025,668.998657942,670.793966055
unit.000015,cpptraj_ens15,5.43420696259,5.43573498726,5.56235790253,623.998152018,625.296998978
