#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1481824325        0.105038          0.105038          0.003010          0.003010          0.000000          27.613800         0.003010         
1481824326        0.105042          0.105042          0.003052          0.003052          0.000000          27.613300         0.003052         
1481824327        0.105042          0.105042          0.003052          0.003052          0.000000          27.613400         0.003052         
1481824328        0.105042          0.105042          0.003052          0.003052          0.000000          27.613000         0.003052         
1481824329        0.105042          0.105042          0.003052          0.003052          0.000000          27.613500         0.003052         
1481824330        0.105042          0.105042          0.003052          0.003052          0.000000          27.612300         0.003052         
1481824331        0.105042          0.105042          0.003052          0.003052          0.000000          27.613500         0.003052         
1481824333        0.105042          0.105042          0.003052          0.003052          0.000000          27.613800         0.003052         
1481824334        0.105042          0.105042          0.003052          0.003052          0.000000          27.612800         0.003052         
1481824335        0.105042          0.105042          0.003052          0.003052          0.000000          27.613200         0.003052         
1481824336        0.105042          0.105042          0.003052          0.003052          0.000000          27.614400         0.003052         
1481824337        0.473061          0.472961          0.011341          0.011337          0.000000          27.606300         0.011337         
1481824338        0.581215          0.580917          0.028137          0.028137          0.000000          27.585300         0.028137         
1481824339        0.587570          0.587532          0.034668          0.034668          0.000000          27.578400         0.034668         
1481824340        0.587692          0.587654          0.034767          0.034767          0.000000          27.579000         0.034767         
1481824342        0.663414          0.655563          0.092548          0.085117          0.000000          27.508100         0.085117         
1481824343        0.693680          0.693642          0.120930          0.120930          0.000000          27.347600         0.120930         
1481824344        0.693680          0.693642          0.120930          0.120930          0.000000          27.275300         0.120930         
1481824345        0.693680          0.693642          0.120930          0.117901          0.000000          27.211200         0.120930         
1481824346        0.693680          0.693642          0.120930          0.117901          0.000000          27.149800         0.120930         
1481824347        0.693680          0.693642          0.120930          0.117901          0.000000          27.099000         0.120930         
1481824348        0.693680          0.693642          0.120930          0.117901          0.000000          27.043500         0.120930         
1481824349        0.693680          0.693642          0.120930          0.117901          0.000000          26.987100         0.120930         
1481824351        0.693680          0.693642          0.120930          0.117908          0.000000          26.921300         0.120930         
1481824352        0.693680          0.693642          0.120930          0.117908          0.000000          26.857200         0.120930         
1481824353        0.693680          0.693642          0.120930          0.117908          0.000000          26.773900         0.120930         
1481824354        0.693680          0.693642          0.120930          0.117790          0.000000          26.713100         0.120930         
1481824356        0.693680          0.693642          0.120930          0.117790          0.000000          26.658500         0.120930         
1481824357        0.693680          0.693642          0.120930          0.117790          0.000000          26.600700         0.120930         
1481824358        0.693680          0.693642          0.120930          0.117790          0.000000          26.549800         0.120930         
1481824359        0.693680          0.693642          0.120930          0.117798          0.000000          26.504200         0.120930         
1481824360        0.693680          0.693642          0.120930          0.117798          0.000000          26.448800         0.120930         
1481824361        0.693680          0.693642          0.120930          0.117798          0.000000          26.381900         0.120930         
