#HOST     VIRT_MAX  RES_MAX  FREE_MIN
c455-502 2.2475 0.1881 19.2143
c455-503 0.6937 0.1181 19.1808
c495-001 0.6937 0.1208 19.1755
c495-002 0.6937 0.1181 19.1834
c495-003 0.6937 0.1209 19.1837
c495-004 0.6937 0.1209 19.1866
c495-101 0.6937 0.1209 19.1794
c495-102 0.6937 0.1208 19.1899
c495-103 0.6937 0.1181 19.1877
c495-104 0.6937 0.1209 19.1838
c495-201 0.6937 0.1209 19.1715
c495-202 0.6937 0.1209 19.1743
c495-203 0.6937 0.1208 19.1762
c495-204 0.6937 0.1209 19.1831
c495-301 0.6937 0.1209 19.1794
c495-302 0.6937 0.1208 19.2328
