Index,Type,Block,Run,t_comp_avg,t_comp_max,t_all_frame_avg,t_all_frame_max,tot_time
0,XTC100,16,1,0.0001213684,0.0001234842,14.5214761347,16.1368091106,17.4621229172
1,XTC100,16,2,0.0001195857,0.0001210908,12.9423051029,13.0144279003,18.0778610706
2,XTC100,16,3,0.0001191051,0.000120498,12.9396154732,13.0381228924,18.1183199883
3,XTC100,16,4,0.0001191241,0.0001207319,12.9483609945,13.040364027,17.4685380459
4,XTC100,16,5,0.0001194283,0.0001215404,12.9530525953,13.0715279579,17.5236980915
5,XTC100,32,1,0.000119311,0.0001206506,6.5151590183,6.5685560703,11.1683239937
6,XTC100,32,2,0.0001197767,0.000123,6.5260713995,6.6044280529,11.1268239021
7,XTC100,32,3,0.0001194525,0.0001217722,6.5092150569,6.6011271477,11.1835608482
8,XTC100,32,4,0.0001199054,0.0001217748,6.5165366828,6.7112519741,18.4869809151
9,XTC100,32,5,0.0001197916,0.000123034,6.5727709532,6.8517098427,12.2063541412
10,XTC100,48,1,0.0001238957,0.0001502208,4.5164599915,5.4441859722,10.4971430302
11,XTC100,48,2,0.000121226,0.0001405283,4.4119379222,4.5897290707,10.1723730564
12,XTC100,48,3,0.0001218939,0.0001316232,4.4381748935,4.7113690376,9.7665309906
13,XTC100,48,4,0.000120391,0.0001227854,4.411994944,4.5698349476,10.2550110817
14,XTC100,48,5,0.0001217182,0.0001295249,4.4634186178,4.6096968651,9.3780150414
15,XTC100,64,1,0.0001287772,0.0002093912,3.5383294746,4.3414809704,9.8982181549
16,XTC100,64,2,0.0001264361,0.0001519429,3.4773128778,4.0680160523,9.3882892132
17,XTC100,64,3,0.0001318705,0.0001686447,3.6170411483,4.4405989647,9.3302688599
18,XTC100,64,4,0.0001286633,0.0001596018,3.5044965595,4.1048560143,9.3380498886
19,XTC100,64,5,0.0001304716,0.0001614677,3.5616633445,4.286356926,10.0281710625
20,XTC300,16,1,0.0001196031,0.0001219006,39.0114603341,39.3537318707,50.4434039593
21,XTC300,16,2,0.0001194031,0.0001212958,39.1008091271,40.2011599541,49.3731191158
22,XTC300,16,3,0.0001196578,0.0001212951,39.3334093094,40.4921169281,48.2381851673
23,XTC300,16,4,0.000119686,0.000121316,39.826615274,40.3294689655,48.3239691257
24,XTC300,16,5,0.0001217418,0.0001528288,39.9721682817,42.9122481346,51.1028761864
25,XTC300,32,1,0.0001201377,0.0001230451,22.075874649,25.2849419117,37.0893208981
26,XTC300,32,2,0.0001201221,0.0001219252,20.1585832909,20.558809042,28.212777853
27,XTC300,32,3,0.0001202183,0.0001222022,20.2281410694,21.3118510246,29.3211438656
28,XTC300,32,4,0.0001200023,0.0001228538,20.1713264734,20.5673489571,27.7036721706
29,XTC300,32,5,0.0001199008,0.0001215131,20.1964821443,20.6785030365,33.2537779808
30,XTC300,48,1,0.0001204949,0.0001230689,13.8562113345,15.2759017944,22.8857529163
31,XTC300,48,2,0.0001207114,0.0001239679,17.5191599776,23.8478441238,31.5479328632
32,XTC300,48,3,0.0001204691,0.0001226324,16.4601855725,22.1596059799,31.1969690323
33,XTC300,48,4,0.0001208077,0.0001227928,16.1386956076,19.8829379082,27.9587459564
34,XTC300,48,5,0.0001221232,0.0001331037,14.3047173023,17.2028799057,25.4216639996
35,XTC300,64,1,0.0001217384,0.0001277196,12.9024369903,16.6792600155,64.5190310478
36,XTC300,64,2,0.0001236016,0.0001346775,11.7979004979,16.9649701118,74.0547950268
37,XTC300,64,3,0.0001218128,0.0001262819,12.6554887109,17.6460340023,23.6174459457
38,XTC300,64,4,0.0001213166,0.0001349831,15.0628759302,21.065557003,61.6830871105
39,XTC300,64,5,0.0001223065,0.0001275834,11.8939410448,14.3327488899,56.0794670582
