Type Block Run t_comp_avg t_comp_max t_all_frame_avg t_all_frame_max tot_time
XTC100 16 1 0.000121368421628 0.000123484233343 14.5214761347 16.1368091106 17.4621229172
XTC100 16 2 0.000119585736193 0.000121090754612 12.9423051029 13.0144279003 18.0778610706
XTC100 16 3 0.000119105104417 0.000120498001692 12.9396154732 13.0381228924 18.1183199883
XTC100 16 4 0.000119124072948 0.000120731874019 12.9483609945 13.040364027 17.4685380459
XTC100 16 5 0.00011942826755 0.000121540350701 12.9530525953 13.0715279579 17.5236980915
XTC100 32 1 0.000119310961933 0.000120650624154 6.51515901834 6.56855607033 11.1683239937
XTC100 32 2 0.000119776744787 0.000123000008303 6.52607139945 6.6044280529 11.1268239021
XTC100 32 3 0.000119452509868 0.000121772239169 6.5092150569 6.60112714767 11.1835608482
XTC100 32 4 0.000119905379331 0.000121774808296 6.51653668284 6.71125197411 18.4869809151
XTC100 32 5 0.000119791582176 0.00012303397179 6.57277095318 6.85170984268 12.2063541412
XTC100 48 1 0.000123895702753 0.000150220842109 4.51645999153 5.44418597221 10.4971430302
XTC100 48 2 0.00012122603636 0.000140528278204 4.41193792224 4.58972907066 10.1723730564
XTC100 48 3 0.000121893865077 0.000131623236313 4.43817489346 4.71136903763 9.7665309906
XTC100 48 4 0.000120390950665 0.000122785431576 4.41199494402 4.56983494759 10.2550110817
XTC100 48 5 0.000121718188648 0.000129524890428 4.46341861784 4.60969686508 9.37801504135
XTC100 64 1 0.000128777248746 0.000209391199083 3.53832947463 4.34148097038 9.89821815491
XTC100 64 2 0.000126436097659 0.000151942852311 3.47731287777 4.06801605225 9.38828921318
XTC100 64 3 0.00013187053213 0.00016864468777 3.61704114825 4.44059896469 9.33026885986
XTC100 64 4 0.000128663328196 0.000159601798649 3.5044965595 4.10485601425 9.33804988861
XTC100 64 5 0.00013047155097 0.000161467680012 3.5616633445 4.28635692596 10.0281710625
XTC300 16 1 0.000119603139387 0.000121900603977 39.0114603341 39.3537318707 50.4434039593
XTC300 16 2 0.000119403124035 0.000121295846157 39.1008091271 40.2011599541 49.3731191158
XTC300 16 3 0.000119657757807 0.000121295068708 39.3334093094 40.4921169281 48.2381851673
XTC300 16 4 0.000119685954554 0.000121315993008 39.826615274 40.3294689655 48.3239691257
XTC300 16 5 0.000121741792071 0.000152828835912 39.9721682817 42.9122481346 51.1028761864
XTC300 32 1 0.000120137728428 0.000123045086988 22.075874649 25.2849419117 37.0893208981
XTC300 32 2 0.000120122112653 0.000121925204784 20.1585832909 20.558809042 28.212777853
XTC300 32 3 0.00012021832088 0.000122202185537 20.2281410694 21.3118510246 29.3211438656
XTC300 32 4 0.000120002306619 0.000122853758113 20.1713264734 20.5673489571 27.7036721706
XTC300 32 5 0.000119900755399 0.000121513071175 20.1964821443 20.6785030365 33.2537779808
XTC300 48 1 0.000120494886583 0.000123068911805 13.8562113345 15.2759017944 22.8857529163
XTC300 48 2 0.000120711445684 0.000123967876213 17.5191599776 23.8478441238 31.5479328632
XTC300 48 3 0.000120469108734 0.000122632444272 16.4601855725 22.1596059799 31.1969690323
XTC300 48 4 0.000120807655896 0.000122792783932 16.1386956076 19.8829379082 27.9587459564
XTC300 48 5 0.000122123217914 0.000133103729228 14.3047173023 17.2028799057 25.4216639996
XTC300 64 1 0.00012173836725 0.000127719582849 12.9024369903 16.6792600155 64.5190310478
XTC300 64 2 0.000123601558277 0.000134677476864 11.7979004979 16.9649701118 74.0547950268
XTC300 64 3 0.000121812838512 0.000126281928657 12.6554887109 17.6460340023 23.6174459457
XTC300 64 4 0.000121316613217 0.000134983095299 15.0628759302 21.065557003 61.6830871105
XTC300 64 5 0.000122306511507 0.000127583433899 11.8939410448 14.3327488899 56.0794670582
