Image_Dimensions,Image_size(MB),TTC
400,1,0.582051,wrangler
600,2,1.353961,wrangler
800,4,2.327965,wrangler
1050,8,3.893284,wrangler
1450,16,7.450739,wrangler
2050,32,17.197464,wrangler
2900,64,34.222112,wrangler
4100,128,67.641415,wrangler
5800,256,136.092317,wrangler
