Pilot Startuptime:34.6261899471CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,5.35044813156,N/A,5.4489030838,1090.50378418,1090.51696205,0.314843,1018.142034,0.003271
unit.000001,Mapper-0-2,N/A,5.3830139637,N/A,5.54986906052,1145.48905516,1145.50211596,0.201467,1037.217321,0.002244
unit.000002,Mapper-0-3,N/A,5.36495304108,N/A,5.49955201149,752.018290997,752.030765057,0.206772,714.333377,0.003624
unit.000003,Mapper-0-4,N/A,5.47424316406,N/A,5.60792708397,770.618335009,770.631998062,0.199136,718.881534,0.00381
unit.000004,Mapper-0-5,N/A,5.48858213425,N/A,5.61164617538,1172.94572616,1172.95722198,0.194265,1049.353596,0.002987
unit.000005,Mapper-0-6,N/A,5.53534603119,N/A,5.62388706207,1198.42235208,1198.43597817,0.276019,1052.743283,0.002433
unit.000006,Mapper-0-7,N/A,5.57120013237,N/A,5.63132715225,958.975409985,958.986519098,0.244977,931.071727,0.002539
unit.000007,Mapper-0-8,N/A,5.41252803802,N/A,5.59310913086,734.699913025,734.712207079,0.195497,709.170223,0.002692
unit.000008,Mapper-0-9,N/A,5.39760613441,N/A,5.58940815926,1033.01909018,1033.03162408,0.202705,940.094226,0.00261
unit.000009,Mapper-0-10,N/A,5.44519805908,N/A,5.60048604012,1068.08565307,1068.09814811,0.197074,1009.560859,0.002323
unit.000010,Mapper-0-11,N/A,5.34311413765,N/A,5.38681006432,1227.88106513,1229.53838301,0.20834,1058.272896,0.002473
unit.000011,Mapper-0-12,N/A,5.45977401733,N/A,5.604211092,1047.29091907,1047.30560708,0.290033,940.725863,0.003126
unit.000012,Mapper-0-13,N/A,5.42694711685,N/A,5.59680509567,1115.94866204,1115.96182919,0.374177,1025.966567,0.00238
unit.000013,Mapper-0-14,N/A,5.55333518982,N/A,5.62762117386,761.454915047,761.466892004,0.201543,716.430784,0.002646
unit.000014,Mapper-0-15,N/A,5.52105808258,N/A,5.62000513077,742.835783005,742.850373983,0.194598,713.452727,0.002923
unit.000015,Mapper-0-16,N/A,5.50660395622,N/A,5.6162071228,779.780451059,779.795173168,0.150564,731.077373,0.002495
unit.000016,Reducer-0,N/A,1234.80474496,N/A,1234.89848804,1240.75389004,1242.86711907,0.065688,0.022238,0.003071
unit.000017,Mapper-1-1,N/A,1260.57261395,N/A,1260.595608,2452.32646918,2452.34434605,0.177248,1048.753362,0.002051
unit.000018,Mapper-1-2,N/A,1258.93850517,N/A,1258.96428418,2361.180686,2361.19205213,0.178728,1042.164796,0.003125
unit.000019,Mapper-1-3,N/A,1256.969836,N/A,1256.99533796,2315.33378005,2315.3462801,0.18912,1028.655485,0.003324
unit.000020,Mapper-1-4,N/A,1259.82682514,N/A,1259.84968305,2432.42842197,2432.441468,0.161345,1048.812626,0.002512
unit.000021,Mapper-1-5,N/A,1256.06615305,N/A,1256.18041515,2392.04834199,2392.06180096,0.167985,1049.471205,0.002363
unit.000022,Mapper-1-6,N/A,1249.65762115,N/A,1255.13594818,2371.38126898,2371.39315796,0.180642,1052.632895,0.004191
unit.000023,Mapper-1-7,N/A,1260.58369899,N/A,1260.61017013,2352.00843215,2352.02073097,0.173655,1036.014995,0.002359
unit.000024,Mapper-1-8,N/A,1256.07329297,N/A,1256.19489598,2422.24992609,2422.26151419,0.169346,1052.330896,0.003132
unit.000025,Mapper-1-9,N/A,1259.83795905,N/A,1259.864218,2411.41917014,2411.43100309,0.263287,1046.404158,0.002105
unit.000026,Mapper-1-10,N/A,1261.34145808,N/A,1261.36064315,2333.65824008,2333.67083907,0.176967,1025.439299,0.002224
