Pilot Startuptime:30.6137969494CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,6.61594009399,N/A,6.67571902275,1104.60818887,1104.61901999,0.014574,1032.4703,0.016077
unit.000001,Mapper-0-2,N/A,6.45614886284,N/A,6.63799285889,1095.45001698,1095.46133208,0.013078,1032.152614,0.017364
unit.000002,Mapper-0-3,N/A,6.44170308113,N/A,6.6342689991,1113.78257394,1113.79393697,0.014363,1035.19523,0.014303
unit.000003,Mapper-0-4,N/A,6.59781908989,N/A,6.67198204994,1132.11737609,1132.12895608,0.01328,1039.820309,0.01785
unit.000004,Mapper-0-5,N/A,6.5215780735,N/A,6.65288496017,1037.30406594,1037.31563187,0.011375,995.505993,0.035853
unit.000005,Mapper-0-6,N/A,6.50716495514,N/A,6.64914608002,1176.90271688,1176.91425109,0.013062,1044.276078,0.01424
unit.000006,Mapper-0-7,N/A,6.47452092171,N/A,6.64169788361,1066.94278288,1066.95563698,0.018291,1016.685009,0.014594
unit.000007,Mapper-0-8,N/A,6.39450407028,N/A,6.49266505241,1150.06653404,1150.07836103,0.013627,1042.305842,0.013072
unit.000008,Mapper-0-9,N/A,6.38603305817,N/A,6.43084287643,1168.75012898,1168.76361203,0.014728,1044.250717,0.014332
unit.000009,Mapper-0-10,N/A,6.58340191841,N/A,6.6682779789,1057.78755188,1057.79973698,0.013297,1010.311032,0.014669
unit.000010,Mapper-0-11,N/A,6.40897393227,N/A,6.54708886147,1048.49368691,1048.50452709,0.013094,1003.069473,0.015533
unit.000011,Mapper-0-12,N/A,6.56900691986,N/A,6.66456794739,1158.56691289,1158.58024096,0.015444,1042.251288,0.014524
unit.000012,Mapper-0-13,N/A,6.42711091042,N/A,6.60524392128,1122.93961287,1122.95032692,0.013119,1036.430659,0.015726
unit.000013,Mapper-0-14,N/A,6.53603386879,N/A,6.65660691261,1077.11343598,1077.1262579,0.013963,1019.879472,0.016939
unit.000014,Mapper-0-15,N/A,6.48896288872,N/A,6.64543700218,1087.27045107,1087.28109503,0.015461,1025.657742,0.014514
