Pilot Startuptime:32.2203760147CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,77.0587079525,N/A,77.0799908638,283.980053902,283.992650032,0.013247,186.455615,0.004443
unit.000001,Mapper-0-2,N/A,80.2496440411,N/A,80.2756500244,269.013092041,269.02491188,0.01178,172.550453,0.00458
unit.000002,Mapper-0-3,N/A,82.2771890163,N/A,82.3424429893,266.955708981,266.97617507,0.045183,170.198697,0.004807
unit.000003,Mapper-0-4,N/A,83.7990789413,N/A,83.8169460297,284.993427038,285.005724907,0.017383,174.016572,0.004846
unit.000004,Mapper-0-5,N/A,86.4165868759,N/A,86.4489400387,301.546763897,301.559674978,0.041606,180.313455,0.003716
unit.000005,Mapper-0-6,N/A,88.3894650936,N/A,88.404129982,199.559985876,200.312396049,0.012329,81.11141,0.003544
unit.000006,Mapper-0-7,N/A,91.1582109928,N/A,91.1901140213,196.48207593,196.493577003,0.016737,65.488354,0.00407
unit.000007,Mapper-0-8,N/A,6.47114300728,N/A,6.60460996628,150.842453003,150.859555006,0.026888,111.225544,0.005917
unit.000008,Mapper-0-9,N/A,97.3072218895,N/A,97.3365969658,290.161345005,290.174803019,0.011382,169.508203,0.005069
unit.000009,Mapper-0-10,N/A,100.478110075,N/A,100.521606922,301.570610046,301.583739042,0.011848,170.16834,0.004096
unit.000010,Mapper-0-11,N/A,7.23251390457,N/A,7.70552206039,213.2054739,213.224462032,0.025911,168.6585,0.004993
unit.000011,Mapper-0-12,N/A,107.798996925,N/A,107.880517006,291.196979046,291.252424955,0.011844,159.949754,0.004741
unit.000012,Mapper-0-13,N/A,40.6889610291,N/A,40.7089929581,244.971458912,245.506450891,0.011365,186.451246,0.005077
unit.000013,Mapper-0-14,N/A,57.1781859398,N/A,57.2528429031,269.007030964,269.018905878,0.062949,197.01526,0.015257
unit.000014,Mapper-0-15,N/A,71.2652680874,N/A,71.2830920219,292.254534006,292.267190933,0.020712,189.64667,0.004608
unit.000015,Mapper-0-16,N/A,117.794924974,N/A,117.837707043,313.970548868,313.98587203,0.015691,153.132463,0.004788
unit.000016,Mapper-0-17,N/A,7.19672989845,N/A,7.69810295105,207.018286943,207.030102968,0.025872,156.724941,0.005178
unit.000017,Mapper-0-18,N/A,47.180366993,N/A,47.1957218647,280.84285593,280.855755091,0.020392,208.67911,0.004854
unit.000018,Mapper-0-19,N/A,42.4437329769,N/A,42.5100829601,248.576745033,248.589600086,0.012047,190.190591,0.004957
unit.000019,Mapper-0-20,N/A,46.2238070965,N/A,46.2397370338,264.88645792,264.898034096,0.021219,198.865278,0.00795
unit.000020,Mapper-0-21,N/A,7.16820907593,N/A,7.69067597389,203.422458887,203.435711861,0.022422,156.733306,0.004816
unit.000021,Mapper-0-22,N/A,52.4013519287,N/A,52.4238228798,253.728048086,253.742939949,0.072549,177.472865,0.004726
unit.000022,Mapper-0-23,N/A,38.2601079941,N/A,38.2759158611,249.608403921,249.62082386,0.068349,192.777666,0.004851
unit.000023,Mapper-0-24,N/A,54.0819590092,N/A,54.0977048874,292.278227091,292.290189981,0.011189,214.376349,0.004115
unit.000024,Mapper-0-25,N/A,62.0072050095,N/A,62.0246889591,261.804632902,261.81566906,0.019518,181.037766,0.004796
unit.000025,Mapper-0-26,N/A,82.4287660122,N/A,82.4520390034,261.763195038,261.774487972,0.027803,161.820015,0.005203
unit.000026,Mapper-0-27,N/A,98.0147759914,N/A,98.0795989037,307.79787302,307.810146093,0.011668,173.211006,0.004241
unit.000027,Mapper-0-28,N/A,116.079170942,N/A,116.124769926,210.123100042,210.135957956,0.012342,65.091696,0.003539
unit.000028,Mapper-0-29,N/A,73.8802170753,N/A,73.8951160908,303.654069901,303.666855097,0.019962,194.167673,0.004738
unit.000029,Mapper-0-30,N/A,94.6843960285,N/A,94.7071039677,306.772984028,306.785809994,0.01097,176.578976,0.004873
unit.000030,Mapper-0-31,N/A,120.359910965,N/A,120.446328878,318.442663908,318.455657959,0.016236,156.816102,0.004158
unit.000031,Mapper-0-32,N/A,80.6357049942,N/A,80.6686899662,287.061166048,287.073611975,0.010254,184.856321,0.004532
unit.000032,Mapper-0-33,N/A,83.1842019558,N/A,83.2062339783,285.01363802,285.026778936,0.01186,181.370452,0.004382
unit.000033,Mapper-0-34,N/A,27.2192389965,N/A,27.2557890415,228.118805885,228.132816076,0.011003,175.478793,0.005816
unit.000034,Mapper-0-35,N/A,7.2756319046,N/A,7.71659708023,214.272502899,214.28511405,0.024806,171.988564,0.005274
unit.000035,Mapper-0-36,N/A,72.7748010159,N/A,72.7971670628,295.431107044,295.44482398,0.019966,191.08831,0.004816
unit.000036,Mapper-0-37,N/A,94.5324659348,N/A,94.5399489403,293.315288067,293.327610016,0.011618,173.919234,0.004361
unit.000037,Mapper-0-38,N/A,6.95256090164,N/A,7.38894486427,224.24249506,224.259936094,0.022411,181.130702,0.004458
unit.000038,Mapper-0-39,N/A,102.544637918,N/A,102.571656942,307.806691885,307.818796873,0.014749,164.11561,0.004114
unit.000039,Mapper-0-40,N/A,21.0973129272,N/A,21.1597988605,236.738828897,236.750459909,0.011214,189.145129,0.005016
unit.000040,Mapper-0-41,N/A,109.307592869,N/A,109.32238102,305.725528002,305.738092899,0.010439,161.250218,0.004283
unit.000041,Mapper-0-42,N/A,112.283776999,N/A,112.368961096,302.610156059,302.622060061,0.012511,157.303398,0.004669
unit.000042,Mapper-0-43,N/A,114.478658915,N/A,114.528102875,308.841120005,308.857521057,0.010776,157.390771,0.003981
unit.000043,Mapper-0-44,N/A,84.9026319981,N/A,84.935972929,298.521190882,298.533441067,0.017569,179.853303,0.004684
unit.000044,Mapper-0-45,N/A,120.348840952,N/A,120.392762899,211.151445866,211.164676905,0.050875,62.017734,0.003718
unit.000045,Mapper-0-46,N/A,110.624523878,N/A,110.64980197,297.489130974,297.50125289,0.0118,159.283277,0.004661
unit.000046,Mapper-0-47,N/A,6.56847596169,N/A,6.91333198547,88.7592129707,88.7705888748,0.025993,75.055626,0.00437
unit.000047,Mapper-0-48,N/A,6.89165306091,N/A,7.37420201302,202.375060081,202.396538973,0.022375,156.204996,0.004919
unit.000048,Mapper-0-49,N/A,50.3910160065,N/A,50.4193460941,262.861844063,262.874227047,0.020482,198.840915,0.004962
