,Atoms,Cores,Duration,Type
574,4194304,128,281.857059956,total
575,4194304,128,0.0802280902863,setup
576,4194304,128,217.18825984,comp
577,4194304,128,62.4569630623,comm
578,4194304,128,33.9554851055,conn
579,4194304,128,279.725450993,total
580,4194304,128,0.173678874969,setup
581,4194304,128,214.564319134,comp
582,4194304,128,67.7296340466,comm
583,4194304,128,33.9619698524,conn
584,4194304,128,282.467632055,total
585,4194304,128,0.0968759059906,setup
586,4194304,128,216.365483046,comp
587,4194304,128,64.2090859413,comm
588,4194304,128,33.9897129536,conn
589,4194304,128,280.671444893,total
590,4194304,128,0.0474581718445,setup
591,4194304,128,213.994379997,comp
592,4194304,128,65.7504489422,comm
593,4194304,128,33.7401180267,conn
594,4194304,128,279.792287111,total
595,4194304,128,0.0738308429718,setup
596,4194304,128,215.181235075,comp
597,4194304,128,65.9166300297,comm
598,4194304,128,33.7983410358,conn
599,4194304,128,281.171695948,total
600,131072,256,0.00187492370605,setup
601,131072,256,2.56202507019,comp
602,131072,256,0.737051963806,comm
603,131072,256,0.673104047775,conn
604,131072,256,3.3009519577,total
605,131072,256,0.00182700157166,setup
606,131072,256,2.55700516701,comp
607,131072,256,0.741082906723,comm
608,131072,256,0.681272983551,conn
609,131072,256,3.2999150753,total
610,131072,256,0.00323987007141,setup
611,131072,256,2.59303402901,comp
612,131072,256,0.625222921371,comm
613,131072,256,0.677528142929,conn
614,131072,256,3.22149682045,total
615,131072,256,0.00647187232971,setup
616,131072,256,2.66623401642,comp
617,131072,256,0.62171792984,comm
618,131072,256,0.677190065384,conn
619,131072,256,3.29442381859,total
620,131072,256,0.00218319892883,setup
621,131072,256,2.65173101425,comp
622,131072,256,0.724639892578,comm
623,131072,256,0.677587985992,conn
624,131072,256,3.37855410576,total
625,131072,256,0.0021550655365,setup
626,131072,256,2.6367931366,comp
627,131072,256,0.629597902298,comm
628,131072,256,0.676288127899,conn
629,131072,256,3.26854610443,total
630,131072,256,0.00166797637939,setup
631,131072,256,2.67387890816,comp
632,131072,256,0.585272073746,comm
633,131072,256,0.67746090889,conn
634,131072,256,3.26081895828,total
635,131072,256,0.00178909301758,setup
636,131072,256,2.65596008301,comp
637,131072,256,0.972055912018,comm
638,131072,256,0.674367904663,conn
639,131072,256,3.62980508804,total
640,131072,256,0.00174593925476,setup
641,131072,256,2.55001211166,comp
642,131072,256,0.81076002121,comm
643,131072,256,0.6748919487,conn
644,131072,256,3.36251807213,total
645,262144,256,0.0029890537262,setup
646,262144,256,5.16903591156,comp
647,262144,256,1.43576717377,comm
648,262144,256,1.73252391815,conn
649,262144,256,6.60779213905,total
650,262144,256,0.00249099731445,setup
651,262144,256,5.27498292923,comp
652,262144,256,1.44595599174,comm
653,262144,256,1.74509716034,conn
654,262144,256,6.72342991829,total
655,262144,256,0.00190782546997,setup
656,262144,256,5.20403409004,comp
657,262144,256,1.37804508209,comm
658,262144,256,1.74354696274,conn
659,262144,256,6.5839869976,total
660,262144,256,0.00244808197021,setup
661,262144,256,5.22640895844,comp
662,262144,256,1.27403497696,comm
663,262144,256,1.72418093681,conn
664,262144,256,6.50289201736,total
665,262144,256,0.00371718406677,setup
666,262144,256,5.1209230423,comp
667,262144,256,1.47892379761,comm
668,262144,256,1.71853613853,conn
669,262144,256,6.60356402397,total
670,262144,256,0.00260806083679,setup
671,262144,256,5.03845310211,comp
672,262144,256,1.59728479385,comm
673,262144,256,1.72564101219,conn
674,262144,256,6.6383459568,total
675,262144,256,0.00292706489563,setup
676,262144,256,5.15436196327,comp
677,262144,256,1.41273593903,comm
678,262144,256,1.72468709946,conn
679,262144,256,6.57002496719,total
680,262144,256,0.0192959308624,setup
681,262144,256,5.19416904449,comp
682,262144,256,1.50984191895,comm
683,262144,256,1.72605609894,conn
684,262144,256,6.7233068943,total
685,262144,256,0.00226092338562,setup
686,262144,256,5.24521017075,comp
687,262144,256,1.16183495522,comm
688,262144,256,1.75259685516,conn
689,262144,256,6.40930604935,total
690,262144,256,0.00167393684387,setup
691,262144,256,5.11105322838,comp
692,262144,256,1.48759579659,comm
693,262144,256,1.73567914963,conn
694,262144,256,6.60032296181,total
695,524288,256,0.00342798233032,setup
696,524288,256,3.90430116653,comp
697,524288,256,3.80352091789,comm
698,524288,256,0.780717134476,conn
699,524288,256,7.71125006676,total
700,524288,256,0.00356101989746,setup
701,524288,256,3.89847898483,comp
702,524288,256,4.2272708416,comm
703,524288,256,0.782787084579,conn
704,524288,256,8.12931084633,total
705,524288,256,0.00385999679565,setup
706,524288,256,3.90740799904,comp
707,524288,256,3.79984211922,comm
708,524288,256,0.783814907074,conn
709,524288,256,7.71111011505,total
710,524288,256,0.00501108169556,setup
711,524288,256,3.88339781761,comp
712,524288,256,4.06844210625,comm
713,524288,256,0.78752207756,conn
714,524288,256,7.95685100555,total
715,524288,256,0.00372815132141,setup
716,524288,256,3.94896793365,comp
717,524288,256,4.09138989449,comm
718,524288,256,0.778659105301,conn
719,524288,256,8.04408597946,total
720,524288,256,0.00363993644714,setup
721,524288,256,3.88971304893,comp
722,524288,256,3.80894899368,comm
723,524288,256,0.786190032959,conn
724,524288,256,7.70230197906,total
725,524288,256,0.00486183166504,setup
726,524288,256,3.87385010719,comp
727,524288,256,3.9489428997,comm
728,524288,256,0.786839008331,conn
729,524288,256,7.82765483856,total
730,524288,256,0.00283813476562,setup
731,524288,256,3.85384488106,comp
732,524288,256,3.98770403862,comm
733,524288,256,0.785320043564,conn
734,524288,256,7.84438705444,total
735,524288,256,0.00341606140137,setup
736,524288,256,3.88935494423,comp
737,524288,256,3.86388707161,comm
738,524288,256,0.788698911667,conn
739,524288,256,7.75665807724,total
740,524288,256,0.0088849067688,setup
741,524288,256,3.96032094955,comp
