BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, NumberRecords, Scenario
1507180440000 ms, 2017-10-05T00:14:03, 4, 2429, 0,1_Producer_Count
1507180500000 ms, 2017-10-05T00:15:12, 1, 39005, 3493,1_Producer_Count
1507180560000 ms, 2017-10-05T00:16:30, 1, 132486, 9418,1_Producer_Count
1507180620000 ms, 2017-10-05T00:17:56, 47136, 199035, 8246,1_Producer_Count
1507180680000 ms, 2017-10-05T00:19:19, 115186, 294126, 10455,1_Producer_Count
1507180740000 ms, 2017-10-05T00:20:40, 213766, 452358, 13422,1_Producer_Count
1507180800000 ms, 2017-10-05T00:21:53, 378969, 551402, 13967,1_Producer_Count
1507180860000 ms, 2017-10-05T00:23:26, 458178, 596311, 12892,1_Producer_Count
1507180920000 ms, 2017-10-05T00:25:15, 487495, 660892, 16457,1_Producer_Count
1507180980000 ms, 2017-10-05T00:27:18, 537980, 728973, 18915,1_Producer_Count
1507181040000 ms, 2017-10-05T00:29:05, 621785, 805654, 18281,1_Producer_Count
1507181100000 ms, 2017-10-05T00:29:36, 774893, 801664, 2645,1_Producer_Count
1507181160000 ms, 2017-10-05T00:29:39, 798845, 806071, 644,1_Producer_Count
1507181220000 ms, 2017-10-05T00:29:40, 805309, 807282, 95,1_Producer_Count
1507181280000 ms, 2017-10-05T00:29:40, 807032, 808172, 12,1_Producer_Count
1507181340000 ms, 2017-10-05T00:29:40, 807946, 809089, 3,1_Producer_Count
1507181400000 ms, 2017-10-05T00:30:54, 735174, 739591, 343,1_Producer_Count
1507181460000 ms, 2017-10-05T00:31:04, 729304, 742514, 1279,1_Producer_Count
1507181520000 ms, 2017-10-05T00:32:07, 680090, 694337, 1351,1_Producer_Count
1507181580000 ms, 2017-10-05T00:33:19, 621709, 636105, 1373,1_Producer_Count
1507181640000 ms, 2017-10-05T00:34:26, 569441, 570694, 41,1_Producer_Count
1507181700000 ms, 2017-10-05T00:35:51, 485860, 487133, 0,1_Producer_Count
1507181760000 ms, 2017-10-05T00:36:01, 477098, 478356, 0,1_Producer_Count
1507181820000 ms, 2017-10-05T00:37:28, 391408, 392788, 0,1_Producer_Count
1507181880000 ms, 2017-10-05T00:39:06, 294750, 296048, 0,1_Producer_Count
1507181940000 ms, 2017-10-05T00:39:09, 292851, 294118, 0,1_Producer_Count
1507182000000 ms, 2017-10-05T00:40:28, 215069, 216317, 0,1_Producer_Count
1507182060000 ms, 2017-10-05T00:42:04, 120113, 121358, 0,1_Producer_Count
1507182120000 ms, 2017-10-05T00:42:07, 118276, 119551, 0,1_Producer_Count
1507182180000 ms, 2017-10-05T00:43:00, 66525, 67749, 0,1_Producer_Count
1507182240000 ms, 2017-10-05T00:44:00, 8546, 9794, 0,1_Producer_Count
1507182300000 ms, 2017-10-05T00:45:00, 1, 1268, 0,1_Producer_Count
1507182360000 ms, 2017-10-05T00:46:00, 0, 1246, 0,1_Producer_Count
1507182420000 ms, 2017-10-05T00:47:00, 1, 1265, 0,1_Producer_Count
1507182480000 ms, 2017-10-05T00:48:00, 1, 1290, 0,1_Producer_Count
1507182540000 ms, 2017-10-05T00:49:00, 1, 1270, 0,1_Producer_Count
1507182600000 ms, 2017-10-05T00:50:00, 1, 1244, 0,1_Producer_Count
