TIMESTAMP        home1-RQ         home1-RD         home1-WR         
1483661580 5728240 33243138197 221176052
1483661581 5728272 33263981801 221176052
1483661582 5728288 33263987260 221176052
1483661583 5728327 33288893183 221176052
1483661584 5728371 33313801678 221176457
1483661585 5728386 33313804565 221176457
1483661587 5728458 33338717567 221176862
1483661588 5728499 33338726364 221176862
1483661589 5728531 33363632189 221177266
1483661590 5728590 33388545540 221177670
1483661591 5728607 33388548427 221177670
1483661592 5728756 33388557621 221177670
1483661593 5729015 33388832397 221177670
1483661594 5729044 33414768681 221193205
1483661596 5729306 33634691346 221194636
1483661597 5729310 33634691346 221194636
1483661598 5729314 33634691346 221194636
1483661599 5729314 33634691346 221194636
1483661600 5729316 33634691346 221194636
1483661601 5729318 33634691346 221194636
1483661602 5729322 33634691346 221194636
1483661603 5729330 33634691346 221194636
1483661605 5729330 33634691346 221194636
1483661606 5729343 33634691346 221194636
1483661607 5729348 33634691346 221194636
1483661608 5729357 33634691346 221194636
1483661609 5729357 33634691346 221194636
1483661610 5729384 33634691346 221194636
1483661611 5729400 33634691346 221194636
1483661612 5729422 33634691346 221194636
1483661613 5729431 33634691346 221194636
1483661615 5729435 33634691346 221194636
1483661616 5729439 33634691346 221194636
1483661617 5729443 33634691346 221194636
1483661618 5729447 33634691346 221194636
1483661619 5729447 33634691346 221194636
1483661620 5729451 33634691346 221194636
1483661621 5729451 33634691346 221194636
1483661622 5729455 33634691346 221194636
1483661624 5729464 33634691346 221194636
1483661625 5729473 33634691346 221194636
1483661626 5729492 33634691346 221194636
1483661627 5729496 33634691346 221194636
1483661628 5729500 33634691346 221194636
1483661629 5729500 33634691346 221194636
1483661630 5729504 33634691346 221194636
1483661631 5729504 33634691346 221194636
1483661633 5729512 33634691346 221194636
1483661634 5729516 33634691346 221194636
1483661635 5729520 33634691346 221194636
1483661636 5729524 33634691346 221194636
1483661637 5729528 33634691346 221194636
1483661638 5729532 33634691346 221194636
1483661639 5729532 33634691346 221194636
1483661640 5729536 33634691346 221194636
1483661642 5729536 33634691346 221194636
1483661643 5729546 33634691346 221194636
1483661644 5729548 33634691346 221194636
1483661645 5729552 33634691346 221194636
1483661646 5729556 33634691346 221194636
1483661647 5729562 33634691346 221194636
1483661648 5729564 33634691346 221194636
1483661649 5729564 33634691346 221194636
1483661651 5729568 33634691346 221194636
1483661652 5729568 33634691346 221194636
1483661653 5729581 33634691346 221194636
1483661654 5729585 33634691346 221194636
1483661655 5729589 33634691346 221194636
1483661656 5729593 33634691346 221194636
1483661657 5729597 33634691346 221194636
1483661658 5729597 33634691346 221194636
1483661659 5729598 33634691346 221194636
1483661661 5729602 33634691346 221194636
1483661662 5729603 33634691346 221194636
1483661663 5729615 33634691346 221194636
1483661664 5729619 33634691346 221194636
1483661665 5729627 33634691346 221194636
1483661666 5729627 33634691346 221194636
1483661667 5729631 33634691346 221194636
1483661668 5729631 33634691346 221194636
1483661670 5729631 33634691346 221194636
1483661671 5729635 33634691346 221194636
1483661672 5729635 33634691346 221194636
1483661673 5729649 33634691346 221194636
1483661674 5729653 33634691346 221194636
1483661675 5729659 33634691346 221194636
1483661676 5729661 33634691346 221194636
1483661677 5729665 33634691346 221194636
1483661678 5729665 33634691346 221194636
1483661680 5729665 33634691346 221194636
1483661681 5729669 33634691346 221194636
1483661682 5729673 33634691346 221194636
1483661683 5729681 33634691346 221194636
1483661684 5729685 33634691346 221194636
1483661685 5729693 33634691346 221194636
1483661686 5729693 33634691346 221194636
1483661687 5729697 33634691346 221194636
1483661689 5729697 33634691346 221194636
1483661690 5729697 33634691346 221194636
1483661691 5729701 33634691346 221194636
1483661692 5729707 33634691346 221194636
1483661693 5729715 33634691346 221194636
1483661694 5729719 33634691346 221194636
