CU,Name,Scheduling,StagingInput,AgentStagingInputPending,AgentStagingInput,AllocatingPending,Allocating,ExecutingPending,Executing,AgentStagingOutputPending,AgentStagingOutput,PendingOutputStaging,StagingOutput,Done
unit.000032,Euclidean_dist_1_1,N/A,161.670177937,161.670177937,86.0214550495,86.0239450932,86.0251979828,86.0256559849,86.0406079292,89.767580986,89.7692320347,89.7727401257,167.078722954,167.105935097
unit.000033,Euclidean_dist_1_16385,N/A,91.5195629597,91.5195629597,15.8515129089,15.8538551331,15.8550779819,15.8553569317,15.8695559502,19.57782197,19.5794279575,19.5844590664,97.6139719486,97.639441967
unit.000034,Euclidean_dist_1_32769,N/A,93.7617530823,93.7617530823,18.1027350426,18.1055519581,18.1070299149,18.1073710918,18.1087810993,21.8944940567,21.8959319592,21.8993399143,99.7779529095,99.8037600517
unit.000035,Euclidean_dist_1_49153,N/A,92.2032160759,92.2032160759,16.6037631035,16.6061420441,16.607252121,16.6075289249,16.6215789318,20.2832670212,20.2849991322,20.2886300087,97.622081995,97.6475789547
unit.000036,Euclidean_dist_1_65537,N/A,94.4451589584,94.4451589584,18.8508520126,18.8531241417,18.8545861244,18.8549189568,18.8563630581,22.6995971203,22.700979948,22.7044389248,100.855814934,100.88175106
unit.000037,Euclidean_dist_1_81921,N/A,95.8480291367,95.8480291367,20.203109026,20.2052540779,20.2064340115,20.2067129612,20.2215790749,23.907241106,23.9087030888,23.9121210575,101.054307938,101.080371141
unit.000038,Euclidean_dist_1_98305,N/A,97.7843470573,97.7843470573,22.306278944,22.3089461327,22.3104529381,22.3107879162,22.3122780323,26.0224459171,26.0239019394,26.0276620388,103.364135981,103.39064002
unit.000039,Euclidean_dist_1_114689,N/A,98.5110800266,98.5110800266,23.0573611259,23.0594580173,23.0604820251,23.0607941151,23.0751149654,26.8296370506,26.8311200142,26.8345170021,104.544292927,104.569862127
unit.000040,Euclidean_dist_1_131073,N/A,99.1950790882,99.1950790882,23.658550024,23.6605961323,23.6617190838,23.662140131,23.6768960953,27.3326239586,27.33416605,27.3378241062,104.645817995,104.671916962
unit.000041,Euclidean_dist_1_147457,N/A,100.56190896,100.56190896,25.0031509399,25.0058550835,25.0072760582,25.0076029301,25.0090110302,28.7421150208,28.743637085,28.7472169399,106.854412079,106.880285978
