CU,Name,Scheduling,StagingInput,AgentStagingInputPending,AgentStagingInput,AllocatingPending,Allocating,ExecutingPending,Executing,AgentStagingOutputPending,AgentStagingOutput,PendingOutputStaging,StagingOutput,Done
unit.000220,Euclidean_dist_20481_114689,N/A,170.170165062,170.170165062,239.196020126,239.198179007,239.199473143,239.199768066,239.201243162,239.825835943,239.827250004,239.834462166,171.975037098,172.001569986
unit.000221,Euclidean_dist_20481_118785,N/A,171.805678129,171.805678129,240.845512152,240.848513126,240.849749088,240.850033998,240.851456165,241.53626895,241.537662029,241.541193962,174.288700104,174.315351963
unit.000222,Euclidean_dist_20481_122881,N/A,173.860100985,173.860100985,242.944129944,242.946836948,242.948158979,242.948446989,242.949803114,243.649098158,243.650546074,243.654240131,176.656070948,176.682687998
unit.000223,Euclidean_dist_20481_126977,N/A,276.118232012,276.118232012,345.571766138,345.573914051,345.575112104,345.575376987,345.588176966,346.340816021,346.345438004,346.348895073,278.878644943,278.907752991
unit.000224,Euclidean_dist_24577_1,N/A,176.598526955,176.598526955,245.645444155,245.648635149,245.650279999,245.650763988,245.652296066,246.36540103,246.366727114,246.370319128,180.005608082,180.032401085
unit.000225,Euclidean_dist_24577_4097,N/A,178.713111162,178.713111162,247.754500151,247.75706315,247.758463144,247.758769035,247.760127068,248.478520155,248.480108976,248.483369112,181.242906094,181.271804094
unit.000226,Euclidean_dist_24577_8193,N/A,180.076235056,180.076235056,249.103701115,249.10694313,249.10811615,249.108406067,249.109816074,249.78659606,249.787961006,249.792024136,182.48014617,182.50676012
unit.000227,Euclidean_dist_24577_12289,N/A,182.002505064,182.002505064,251.07425499,251.077604055,251.078881979,251.079208136,251.080523014,251.797924042,251.799406052,251.803666115,184.800416946,184.827087164
unit.000228,Euclidean_dist_24577_16385,N/A,183.373729944,183.373729944,252.428965092,252.431900978,252.433168173,252.433459044,252.434959173,253.206179142,253.207587957,253.211011171,186.037523031,186.064255953
unit.000229,Euclidean_dist_24577_20481,N/A,184.243826151,184.243826151,253.328176975,253.331197023,253.332462072,253.332862139,253.334211111,254.011538982,254.0128901,254.016776085,187.222488165,187.249078989
unit.000230,Euclidean_dist_24577_24577,N/A,185.436242104,185.436242104,254.527889967,254.530531168,254.531785965,254.532084942,254.533339024,255.21835494,255.21975112,255.223845959,188.415001154,188.441807032
unit.000231,Euclidean_dist_24577_28673,N/A,186.799932003,186.799932003,255.909101009,255.912182093,255.913650036,255.913980007,255.915560007,256.627249956,256.628761053,256.633588076,189.494436979,189.521249056
unit.000232,Euclidean_dist_24577_32769,N/A,-5.76068687439,-5.76068687439,63.4871530533,63.4896249771,63.4908261299,63.4911751747,63.5038261414,64.2166981697,64.2222981453,64.2250709534,-3.18564486504,-3.1588280201
unit.000233,Euclidean_dist_24577_36865,N/A,189.274641991,189.274641991,258.323444128,258.326820135,258.32813096,258.328416109,258.329684019,259.044154167,259.045556068,259.04965806,191.806879997,191.833734989
unit.000234,Euclidean_dist_24577_40961,N/A,190.419847012,190.419847012,259.525772095,259.529271126,259.53057909,259.530874014,259.532348156,260.251312971,260.252737045,260.257603168,192.892740011,192.921399117
unit.000235,Euclidean_dist_24577_45057,N/A,191.787342072,191.787342072,260.878877163,260.881946087,260.883213043,260.883507967,260.88481307,261.659705162,261.661111116,261.665505171,194.026286125,194.052662134
