CU,Name,Scheduling,StagingInput,AgentStagingInputPending,AgentStagingInput,AllocatingPending,Allocating,ExecutingPending,Executing,AgentStagingOutputPending,AgentStagingOutput,PendingOutputStaging,StagingOutput,Done
unit.000032,Euclidean_dist_1_1,N/A,178.104596138,178.104596138,102.319950104,102.322602034,102.323925972,102.324248075,102.325628996,106.093002081,106.094700098,106.098016977,183.958765984,183.985224962
unit.000033,Euclidean_dist_1_16385,N/A,402.530503035,402.530503035,327.251816034,327.254086018,327.255496979,327.255849123,327.257326126,331.120123148,331.121618986,331.125169039,408.894642115,408.921627998
unit.000034,Euclidean_dist_1_32769,N/A,401.50606513,401.50606513,326.350099087,326.35334301,326.354737997,326.355087996,326.356452942,330.011132002,330.012624025,330.017089128,407.809498072,407.839756966
unit.000035,Euclidean_dist_1_49153,N/A,403.214339018,403.214339018,328.003319025,328.005928993,328.007313013,328.007669926,328.009057045,331.724877119,331.726341009,331.73577404,408.946794987,408.973858118
unit.000036,Euclidean_dist_1_65537,N/A,403.917793036,403.917793036,328.658885956,328.662132025,328.663732052,328.66409111,328.665454149,332.430474043,332.431941032,332.435701132,410.025918961,410.052894115
unit.000037,Euclidean_dist_1_81921,N/A,406.232083082,406.232083082,331.076406002,331.078906059,331.080323935,331.080673933,331.082044125,334.748255968,334.749863148,334.753973007,411.805309057,411.832138062
unit.000038,Euclidean_dist_1_98305,N/A,407.454620123,407.454620123,332.280393124,332.283056974,332.284605026,332.284955978,332.28636694,335.957957983,335.959428072,335.963616133,412.991636038,413.019206047
unit.000039,Euclidean_dist_1_114689,N/A,408.825092077,408.825092077,333.637535095,333.640218973,333.64193511,333.64248395,333.6439991,337.369637012,337.371196985,337.375006914,415.260813951,415.39875412
unit.000040,Euclidean_dist_1_131073,N/A,411.372894049,411.372894049,335.742545128,335.745237112,335.746716022,335.74724102,335.749228001,339.487622976,339.48921299,339.493556976,417.741960049,417.768577099
unit.000041,Euclidean_dist_1_147457,N/A,413.050814152,413.050814152,337.409636974,337.412653923,337.414009094,337.414359093,337.415704012,341.301532984,341.302977085,341.306695938,418.925502062,418.952291965
unit.000042,Euclidean_dist_1_163841,N/A,415.106915951,415.106915951,339.420346022,339.422960997,339.42444706,339.424803972,339.42632103,343.116778135,343.118263006,343.122514963,420.192033052,420.21893692
unit.000043,Euclidean_dist_1_180225,N/A,417.258556128,417.258556128,341.53341198,341.536297083,341.537668943,341.538003922,341.539304018,345.234727144,345.23633194,345.239758015,422.568876982,422.597053051
unit.000044,Euclidean_dist_1_196609,N/A,418.632328033,418.632328033,342.888539076,342.891853094,342.893624067,342.894145966,342.895821095,346.548111916,346.549855947,346.553719044,423.758250952,423.785771132
unit.000045,Euclidean_dist_1_212993,N/A,420.580979109,420.580979109,344.858434916,344.861544132,344.863209009,344.863703012,344.865227938,348.669326067,348.671031952,348.674561024,426.133440018,426.160340071
unit.000046,Euclidean_dist_1_229377,N/A,422.049886942,422.049886942,346.228775024,346.230982065,346.232021093,346.23230195,346.246020079,350.083743095,350.085214138,350.089170933,428.378329039,428.405183077
unit.000047,Euclidean_dist_1_245761,N/A,424.251268148,424.251268148,348.571794033,348.575020075,348.576663017,348.576997042,348.578676939,352.305158138,352.306977034,352.310775995,429.560779095,429.587639093
unit.000048,Euclidean_dist_1_262145,N/A,425.63706398,425.63706398,349.933532953,349.93689394,349.938657045,349.939157963,349.940860033,353.721415997,353.723026991,353.726863146,430.697675943,430.724741936
unit.000049,Euclidean_dist_1_278529,N/A,427.638136148,427.638136148,351.893891096,351.896446943,351.897825956,351.898175001,351.899820089,355.639925957,355.641597033,355.645071983,432.872678995,432.899629116
unit.000050,Euclidean_dist_1_294913,N/A,429.005317926,429.005317926,353.258482933,353.261291981,353.262836933,353.263185024,353.264780045,356.953367949,356.954996109,356.958882093,434.003852129,434.030903101
unit.000051,Euclidean_dist_1_311297,N/A,430.374067068,430.374067068,354.615771055,354.618690968,354.620146036,354.620501041,354.62206912,358.366322041,358.36818099,358.372349024,436.164432049,436.191679955
unit.000052,Euclidean_dist_1_327681,N/A,432.464946032,432.464946032,356.72895503,356.731585026,356.732986927,356.733330011,356.734724045,360.486851931,360.488528967,360.492089987,438.384582996,438.412055969
unit.000053,Euclidean_dist_1_344065,N/A,433.251302958,433.251302958,357.487647057,357.490154028,357.491259098,357.491548061,357.505409956,361.29571414,361.297342062,361.30043602,439.489511967,439.516799927
unit.000054,Euclidean_dist_1_360449,N/A,434.525393963,434.525393963,358.892965078,358.895558119,358.897028923,358.897380114,358.898842096,362.607335091,362.609009981,362.612409115,440.596487045,440.623708963
unit.000055,Euclidean_dist_1_376833,N/A,435.453799963,435.453799963,359.65063405,359.653267145,359.654608965,359.654953003,359.669166088,363.415035009,363.416707993,363.419538975,441.702574015,441.729526043
unit.000056,Euclidean_dist_1_393217,N/A,436.696758032,436.696758032,361.001191139,361.004380941,361.00625205,361.006755114,361.008373976,364.728755951,364.730448008,364.910964966,442.809106112,442.837024927
unit.000057,Euclidean_dist_1_409601,N/A,438.946583986,438.946583986,363.264981985,363.267431021,363.268926144,363.269279957,363.27078104,367.249196053,367.250741005,367.254090071,445.050734043,445.078819036
unit.000058,Euclidean_dist_1_425985,N/A,440.998274088,440.998274088,365.528995037,365.555077076,365.556744099,365.557085037,365.558411121,369.264713049,369.266147137,369.269824028,447.26615715,447.293311119
unit.000059,Euclidean_dist_1_442369,N/A,443.963387966,443.963387966,368.255927086,368.258676052,368.260093927,368.260436058,368.262254953,372.182708979,372.184195042,372.188508034,449.502269983,449.529920101
unit.000060,Euclidean_dist_1_458753,N/A,188.286593914,188.286593914,112.438723087,112.441841125,112.443377018,112.443721056,112.445203066,116.179537058,116.181097984,116.184642076,193.991683006,194.017949104
unit.000061,Euclidean_dist_1_475137,N/A,224.476547003,224.476547003,148.64291501,148.645828962,148.647222996,148.647582054,148.64893508,152.390160084,152.391786098,152.396063089,230.701967955,230.730487108
unit.000062,Euclidean_dist_1_491521,N/A,225.8396101,225.8396101,150.006216049,150.008970022,150.010429144,150.010782003,150.012184143,153.700037003,153.701486111,153.705358982,230.808545113,230.835653067
unit.000063,Euclidean_dist_1_507905,N/A,202.545665979,202.545665979,126.728214979,126.730620146,126.732006073,126.732351065,126.733859062,130.497733116,130.499336958,130.503102064,208.458580017,208.484539032
