CU,Name,Scheduling,StagingInput,AgentStagingInputPending,AgentStagingInput,AllocatingPending,Allocating,ExecutingPending,Executing,AgentStagingOutputPending,AgentStagingOutput,PendingOutputStaging,StagingOutput,Done
unit.000032,Euclidean_dist_1_1,N/A,178.029108047,178.029108047,246.76968503,246.772626162,246.774125099,246.774435997,246.776028156,247.474838018,247.476315022,247.482568979,180.850182056,180.877333164
unit.000033,Euclidean_dist_1_4097,N/A,95.6503679752,95.6503679752,164.463666201,164.466204166,164.469161987,164.469477177,164.470880032,165.166659117,165.168205976,165.172044039,98.0981271267,98.1247241497
unit.000034,Euclidean_dist_1_8193,N/A,96.7450251579,96.7450251579,165.509230137,165.511332035,165.512796164,165.5131042,165.514708996,166.273939133,166.275559187,166.279312134,99.2252612114,99.2515451908
unit.000035,Euclidean_dist_1_12289,N/A,96.0572931767,96.0572931767,164.912655115,164.915096998,164.916435003,164.916733027,164.918070078,165.569013119,165.570387125,165.574728012,98.1461200714,98.1723761559
unit.000036,Euclidean_dist_1_16385,N/A,98.107281208,98.107281208,166.856196165,166.858846188,166.860514164,166.860889196,166.862679005,167.684092045,167.68564415,167.689661026,100.356058121,100.383275032
unit.000037,Euclidean_dist_1_20481,N/A,99.8399720192,99.8399720192,168.662728071,168.665955067,168.667416096,168.667734146,168.669037104,169.394734144,169.396153212,169.399983168,102.517858982,102.545620203
unit.000038,Euclidean_dist_1_24577,N/A,101.910020113,101.910020113,170.757175207,170.759885073,170.761237144,170.761522055,170.762914181,171.508167982,171.509636164,171.513844013,104.74180913,104.768468142
unit.000039,Euclidean_dist_1_28673,N/A,103.787011147,103.787011147,172.559864998,172.563196182,172.564635992,172.564942122,172.566464186,173.419224024,173.420802116,173.425700188,106.940845013,106.967468977
unit.000040,Euclidean_dist_1_32769,N/A,105.156906128,105.156906128,173.907598019,173.911015034,173.912433147,173.912734032,173.914138079,174.628344059,174.629884005,174.634859085,108.071932077,108.098760128
unit.000041,Euclidean_dist_1_36865,N/A,106.06282711,106.06282711,174.806986094,174.810568094,174.811957121,174.812260151,174.813793182,175.534558058,175.535893202,175.540090084,109.163963079,109.190457106
unit.000042,Euclidean_dist_1_40961,N/A,107.953055143,107.953055143,176.816671133,176.819820166,176.821287155,176.821582079,176.823029995,177.546159983,177.547688007,177.552079201,111.438233137,111.466516018
unit.000043,Euclidean_dist_1_45057,N/A,109.319928169,109.319928169,178.170612097,178.200992107,178.202322006,178.202619076,178.20404911,178.954961061,178.956449986,178.961228132,111.543891191,111.570981026
unit.000044,Euclidean_dist_1_49153,N/A,110.778012991,110.778012991,179.667801142,179.670381069,179.673644066,179.673950195,179.675296068,180.363087177,180.364735126,180.36908412,112.68535018,112.712083101
unit.000045,Euclidean_dist_1_53249,N/A,111.614385128,111.614385128,180.418941021,180.422888041,180.424411058,180.424813986,180.426305056,181.168207169,181.171020031,181.175095081,113.764567137,113.794097185
unit.000046,Euclidean_dist_1_57345,N/A,112.404744148,112.404744148,181.16675806,181.170001984,181.181635141,181.181920052,181.183181047,181.874771118,181.876154184,181.880576134,114.848093033,114.875265121
unit.000047,Euclidean_dist_1_61441,N/A,113.671639204,113.671639204,182.524477005,182.527865171,182.529284,182.529622078,182.531075001,183.181143999,183.18268013,183.18693614,115.982527018,116.008854151
unit.000048,Euclidean_dist_1_65537,N/A,115.053654194,115.053654194,183.873421192,183.876170158,183.877624035,183.877940178,183.879495144,184.593283176,184.594876051,184.598829985,118.143555164,118.171342134
unit.000049,Euclidean_dist_1_69633,N/A,115.854803085,115.854803085,184.621659994,184.624575138,184.625941992,184.626245975,184.627607107,185.298463106,185.3000772,185.303919077,118.197278023,118.225453138
unit.000050,Euclidean_dist_1_73729,N/A,117.112721205,117.112721205,185.825324059,185.82826519,185.829709053,185.830007076,185.831418037,186.605467081,186.606891155,186.611090183,119.330809116,119.357849121
