CU,Name,Scheduling,StagingInput,AgentStagingInputPending,AgentStagingInput,AllocatingPending,Allocating,ExecutingPending,Executing,AgentStagingOutputPending,AgentStagingOutput,PendingOutputStaging,StagingOutput,Done
unit.000044,Euclidean_dist_81921_65537,-62.9393870831,-38.4364309311,-38.4364309311,11.802850008,11.8043949604,11.8051469326,11.8054320812,12.7720720768,65.5150699615,65.5878870487,65.5898449421,67.6027929783,67.6300470829
unit.000045,Euclidean_dist_81921_81921,-62.9392259121,-38.8527059555,-38.8527059555,11.8004140854,11.8019731045,11.8027620316,11.8030309677,12.7528879642,65.5238630772,65.6357691288,65.6379539967,67.5521790981,67.5789060593
unit.000046,Euclidean_dist_81921_98305,-62.9390668869,-36.8330159187,-36.8330159187,11.8127560616,11.8144199848,11.815196991,11.8154649734,12.8955209255,65.5161249638,65.5934491158,65.5952329636,67.7080349922,67.7351760864
unit.000047,Euclidean_dist_81921_114689,-62.938904047,-58.9416189194,-58.9416189194,11.6685941219,11.6703231335,11.6713891029,11.6717209816,11.7692830563,65.5290269852,65.6637310982,65.6655180454,66.2451429367,66.2720451355
unit.000048,Euclidean_dist_98305_1,-62.9387378693,-59.7433700562,-59.7433700562,11.6624939442,11.6644289494,11.6655790806,11.6658940315,11.7430510521,65.5172119141,65.5986549854,65.6009280682,66.1929240227,66.219823122
unit.000049,Euclidean_dist_98305_16385,-62.9385800362,-57.7594759464,-57.7594759464,11.6770260334,11.6788210869,11.6797940731,11.680109024,11.8077890873,65.501636982,65.5185930729,65.521780014,66.3463511467,66.3731799126
unit.000050,Euclidean_dist_98305_32769,-62.9384169579,-52.9291989803,-52.9291989803,11.710034132,11.7116589546,11.7125661373,11.7128710747,11.9796180725,65.5049729347,65.5360980034,65.5378899574,66.6603591442,66.6872210503
unit.000051,Euclidean_dist_98305_49153,-62.9382610321,-54.9257118702,-54.9257118702,11.6966059208,11.6982650757,11.6991860867,11.6994769573,11.8983500004,65.5187079906,65.6069879532,65.6088199615,66.5065090656,66.5333909988
unit.000052,Euclidean_dist_98305_65537,-62.9380888939,-54.1248049736,-54.1248049736,11.7019889355,11.7037191391,11.7046320438,11.7049119473,11.9253749847,65.5258791447,65.6469070911,65.6487619877,66.5587389469,66.5854980946
unit.000053,Euclidean_dist_98305_81921,-62.9379329681,-56.9534800053,-56.9534800053,11.6824719906,11.6841490269,11.6852099895,11.6855211258,11.8327710629,65.5022289753,65.5225811005,65.5243461132,66.3986480236,66.4256100655
unit.000054,Euclidean_dist_98305_98305,-62.937764883,-60.9823210239,-60.9823210239,11.6529459953,11.6548550129,11.655821085,11.6561760902,11.701638937,65.4991691113,65.5075111389,65.5095050335,66.1354651451,66.1625699997
unit.000055,Euclidean_dist_98305_114689,-62.937609911,-58.1375460625,-58.1375460625,11.6743369102,11.6760210991,11.6769690514,11.6772921085,11.7955570221,65.5177271366,65.6017389297,65.6035261154,66.2975370884,66.3242919445
unit.000056,Euclidean_dist_114689_1,-62.9374530315,-46.0704669952,-46.0704669952,11.7536680698,11.7552630901,11.7560961246,11.7563989162,12.3835840225,65.5300540924,65.669408083,65.6714551449,67.083739996,67.1106009483
unit.000057,Euclidean_dist_114689_16385,-62.9372990131,-36.4294018745,-36.4294018745,11.8152699471,11.8167700768,11.8175640106,11.8178570271,12.9268040657,65.5325980186,65.6833980083,65.6851761341,67.7100520134,67.7372019291
unit.000058,Euclidean_dist_114689_32769,-62.9371430874,-42.0631148815,-42.0631148815,11.7800309658,11.7817480564,11.7825620174,11.7828369141,12.5811100006,65.5227940083,65.6297781467,65.6322641373,67.3447310925,67.3716080189
unit.000059,Euclidean_dist_114689_49153,-62.9369819164,-45.2695350647,-45.2695350647,11.758769989,11.7606711388,11.7614929676,11.761785984,12.4151580334,65.5217940807,65.6244029999,65.6264491081,67.1360089779,67.162925005
unit.000060,Euclidean_dist_114689_65537,-62.9368269444,-48.0759758949,-48.0759758949,11.74091506,11.7424819469,11.743309021,11.7435929775,12.2754449844,65.5084350109,65.554049015,65.5561211109,66.9741220474,67.0010929108
unit.000061,Euclidean_dist_114689_81921,-62.9366550446,-52.1296730042,-52.1296730042,11.7150530815,11.7166640759,11.717539072,11.7178399563,12.0284800529,65.5056209564,65.538697958,65.5413820744,66.7126290798,66.7393839359
unit.000062,Euclidean_dist_114689_98305,-62.9364979267,-49.7010118961,-49.7010118961,11.7304401398,11.7323999405,11.7334201336,11.7337059975,12.1628549099,65.5072939396,65.5482549667,65.5500619411,66.8691260815,66.896337986
unit.000063,Euclidean_dist_114689_114689,-62.9363229275,-51.715775013,-51.715775013,11.7175190449,11.7193000317,11.7202439308,11.7205359936,12.0488939285,65.5196859837,65.6120541096,65.6147041321,66.7155239582,66.7422840595
unit.000064,ConnComp,71.0158650875,71.7287580967,71.7287580967,73.8495359421,73.9488921165,73.9527020454,73.9533679485,73.9571270943,144.891765118,144.982443094,144.983664989,146.564314127,148.144140005
