CU,Name,Scheduling,StagingInput,AgentStagingInputPending,AgentStagingInput,AllocatingPending,Allocating,ExecutingPending,Executing,AgentStagingOutputPending,AgentStagingOutput,PendingOutputStaging,StagingOutput,Done
unit.000000,Euclidean_dist_1_1,-1737.17020392,-1553.6502099,-1553.6502099,14.1920859814,14.1936910152,14.5669920444,14.5675001144,53.5831980705,59.8256011009,60.0145010948,60.0178561211,61.7748129368,61.8022689819
unit.000001,Euclidean_dist_1_4097,-1737.16992402,-1452.474823,-1452.474823,19.650908947,19.6529049873,19.6688771248,19.6731901169,88.1287360191,91.3953099251,91.5263459682,91.5302560329,92.5517239571,92.5798430443
unit.000002,Euclidean_dist_1_8193,-1737.16968608,-1451.66676402,-1451.66676402,19.6537790298,19.6558420658,19.6833100319,19.6837899685,88.1413509846,91.3991551399,91.5474200249,91.5494170189,92.5972859859,92.625330925
unit.000003,Euclidean_dist_1_12289,-1737.16943002,-1450.04070592,-1450.04070592,19.6656429768,19.6672811508,19.7158219814,19.7197101116,88.1939649582,91.3997311592,91.5502231121,91.5530431271,92.704061985,92.7318429947
unit.000004,Euclidean_dist_1_16385,-1737.16912794,-1449.23636699,-1449.23636699,19.6738300323,19.6773040295,19.7477300167,19.7519259453,88.6558470726,94.9179210663,94.9218659401,94.9237201214,96.0130839348,96.0463240147
unit.000005,Euclidean_dist_1_20481,-1737.16883397,-1447.62323189,-1447.62323189,19.686191082,19.6877980232,19.784610033,19.7868480682,88.737249136,94.9227371216,94.9270689487,94.9291410446,96.1243400574,96.1527769566
unit.000006,Euclidean_dist_1_24577,-1737.16852403,-1445.20892286,-1445.20892286,19.7007689476,19.7024381161,19.8350851536,19.836468935,88.817002058,94.9346079826,95.0411159992,95.0451519489,96.2570030689,96.2845189571
unit.000007,Euclidean_dist_1_28673,-1737.16821885,-1442.70736885,-1442.70736885,19.7158911228,19.7175009251,19.8921051025,19.894354105,88.9047629833,94.9326739311,95.0278301239,95.0313301086,96.4174771309,96.445909977
unit.000008,Euclidean_dist_1_32769,-1737.16792202,-1441.88083696,-1441.88083696,19.7237260342,19.7253010273,19.9202039242,19.9212429523,88.9508259296,94.9270710945,94.9485960007,94.9522631168,96.5156710148,96.547770977
unit.000009,Euclidean_dist_1_36865,-1737.16762805,-1440.26862288,-1440.26862288,19.73163414,19.7330949306,19.9449141026,19.9475381374,88.9936540127,94.9363250732,95.0513420105,95.0537519455,96.5803880692,96.6083459854
unit.000010,Euclidean_dist_1_40961,-1737.16732287,-1439.32743096,-1439.32743096,19.7413020134,19.7428381443,19.9534950256,19.9540660381,89.0371820927,96.3758630753,96.3888940811,96.3910999298,96.6337199211,96.6617240906
unit.000011,Euclidean_dist_1_45057,-1737.1670289,-1438.52564406,-1438.52564406,19.7459981441,19.7473371029,19.956236124,19.9568300247,91.3484520912,96.3773591518,96.3949990273,96.3975529671,96.6869390011,96.7157859802
unit.000012,Euclidean_dist_1_49153,-1737.16672301,-1437.71884894,-1437.71884894,19.7515370846,19.7530181408,19.9591281414,19.9597380161,91.5236530304,96.3765730858,96.3919510841,96.3941550255,96.741243124,96.7705700397
unit.000013,Euclidean_dist_1_53249,-1737.16641998,-1435.35750699,-1435.35750699,19.7643971443,19.766381979,19.9661109447,19.9667580128,94.8509969711,98.3979420662,98.4126460552,98.4147019386,98.9626741409,98.9917271137
unit.000014,Euclidean_dist_1_57345,-1737.16611886,-1434.37559104,-1434.37559104,19.7725229263,19.7757499218,19.9704239368,19.9710400105,94.8986809254,98.3919250965,98.3986830711,98.4014370441,99.0199160576,99.0480360985
unit.000015,Euclidean_dist_1_61441,-1737.16581202,-1433.57252598,-1433.57252598,19.7801351547,19.8022191525,19.9733951092,19.9739911556,94.9308669567,98.394712925,98.4021799564,98.404291153,99.0733129978,99.1061799526
unit.000016,Euclidean_dist_1_65537,-1737.16550899,-1432.7624619,-1432.7624619,19.8182079792,19.8205940723,19.976377964,19.9769921303,95.0215101242,98.396394968,98.4050381184,98.4072020054,99.1315691471,99.1594190598
unit.000017,Euclidean_dist_1_69633,-1737.16520286,-1431.95348597,-1431.95348597,19.8240721226,19.826018095,19.9791901112,19.9798090458,95.051156044,98.3970520496,98.4079380035,98.411878109,99.1847920418,99.2172391415
unit.000018,Euclidean_dist_1_73729,-1737.16492391,-1429.529598,-1429.529598,19.843362093,19.8461220264,19.987942934,19.9885339737,96.3799319267,101.012696028,101.01879406,101.020936012,102.439976931,102.470525026
unit.000019,Euclidean_dist_1_77825,-1737.16464591,-1427.19703293,-1427.19703293,19.8572700024,19.8592140675,19.9949860573,19.9955871105,96.4546220303,101.018162012,101.045297146,101.047227144,102.601725101,102.62977314
unit.000020,Euclidean_dist_1_81921,-1737.16435885,-1424.02292895,-1424.02292895,19.8735749722,19.875772953,20.003401041,20.0040149689,96.5422360897,101.023167133,101.059337139,101.061674118,102.763540983,102.791820049
unit.000021,Euclidean_dist_1_86017,-1737.16408086,-1521.10098505,-1521.10098505,15.2662250996,15.2679960728,15.269053936,15.2696321011,62.4904611111,68.5246009827,68.5278799534,68.5298409462,70.1387300491,70.1670150757
unit.000022,Euclidean_dist_1_90113,-1737.16379499,-1421.43744993,-1421.43744993,19.8951921463,19.8967959881,20.0132460594,20.0138380527,98.4174230099,102.735265017,102.752840042,102.75537014,102.92616415,102.956428051
unit.000023,Euclidean_dist_1_94209,-1737.16350698,-1419.82598591,-1419.82598591,19.9053840637,19.9076690674,20.0188019276,20.0194060802,100.940289021,107.376863003,107.383887053,107.389441013,108.182177067,108.210232019
unit.000024,Euclidean_dist_1_98305,-1737.16322207,-1418.32811308,-1418.32811308,19.9133789539,19.9149580002,20.0230259895,20.0236520767,100.987232924,107.384902954,107.458503962,107.46085906,108.235873938,108.264908075
unit.000025,Euclidean_dist_1_102401,-1737.16294503,-1417.39329004,-1417.39329004,19.9221489429,19.9242680073,20.0273799896,20.027971983,101.036920071,107.378983021,107.399090052,107.425034046,108.290529013,108.318438053
unit.000026,Euclidean_dist_1_106497,-1737.16266394,-1415.90998697,-1415.90998697,19.9353671074,19.9373469353,20.0315599442,20.0321519375,101.080461025,107.397717953,112.276047945,112.278576136,113.893181086,113.921940088
unit.000027,Euclidean_dist_1_110593,-1737.16237998,-1414.95824099,-1414.95824099,19.9431581497,19.9447939396,20.0357339382,20.0363409519,101.121284008,107.387297153,107.469388008,107.471873045,108.397333145,108.425092936
unit.000028,Euclidean_dist_1_114689,-1737.16210103,-1413.48045492,-1413.48045492,19.9507141113,19.9531750679,20.0399479866,20.0405409336,101.161684036,107.380424023,107.432323933,107.435709,108.45026207,108.48131299
unit.000029,Euclidean_dist_1_118785,-1737.16180706,-1412.67635989,-1412.67635989,19.9570109844,19.9585940838,20.0427970886,20.0434160233,101.187747955,107.388678074,107.475562096,107.477221966,108.507014036,108.536644936
unit.000030,Euclidean_dist_1_122881,-1737.16152191,-1411.77834487,-1411.77834487,19.9617619514,19.9633910656,20.0456380844,20.0462470055,101.213197947,107.389341116,107.477988958,107.480735064,108.507590055,108.538125992
unit.000031,Euclidean_dist_1_126977,-1737.16123796,-1410.93831706,-1410.93831706,19.9704170227,19.9718990326,20.0497910976,20.050399065,101.253121138,107.399605989,112.286100149,112.288493156,114.056538105,114.085371971
unit.000032,Euclidean_dist_4097_1,-1737.16095901,-1700.63436294,-1700.63436294,8.82165813446,8.82349300385,8.82425498962,8.82467603683,14.1777470112,19.6499991417,19.6599321365,19.6620149612,20.7288460732,20.7557549477
unit.000033,Euclidean_dist_4097_4097,-1737.16068196,-1601.86124992,-1601.86124992,13.9112000465,13.9126701355,13.9135870934,13.9141330719,37.4745759964,44.5307710171,44.6095740795,44.6113419533,47.1526141167,47.1792960167
unit.000034,Euclidean_dist_4097_8193,-1737.16039205,-1591.22277999,-1591.22277999,13.9763460159,13.9780499935,14.0402989388,14.0441091061,44.4967870712,49.2954111099,49.3363499641,49.3389420509,49.9342069626,49.9617011547
unit.000035,Euclidean_dist_4097_12289,-1737.16011,-1569.38006091,-1569.38006091,14.1031730175,14.1046209335,14.5158131123,14.5163910389,49.4657230377,53.2358491421,53.2406640053,53.2426669598,54.4422950745,54.4700911045
unit.000036,Euclidean_dist_4097_16385,-1737.15982699,-1514.67908096,-1514.67908096,15.3454811573,15.3470089436,15.3784461021,15.3789999485,66.3251099586,69.1391761303,69.1424689293,69.1442670822,70.6705589294,70.6984980106
unit.000037,Euclidean_dist_4097_20481,-1737.15954304,-1464.9609189,-1464.9609189,16.3313369751,16.3329610825,16.3337919712,16.3344230652,76.2562410831,86.7499370575,88.0543069839,88.0566489697,89.4985430241,89.5273060799
unit.000038,Euclidean_dist_4097_24577,-1737.15926099,-1550.41581893,-1550.41581893,14.2107350826,14.2121469975,14.5770931244,14.5776031017,53.6891789436,59.8397729397,60.0683460236,60.0716540813,61.9915101528,62.0296440125
unit.000039,Euclidean_dist_4097_28673,-1737.15898299,-1384.25874996,-1384.25874996,20.15715909,22.3040070534,22.3610041142,22.3617391586,112.407984972,116.102613926,116.399410009,116.401329994,117.855968952,117.886376143
unit.000040,Euclidean_dist_4097_32769,-1737.15870094,-1529.20232987,-1529.20232987,14.3321690559,14.3338370323,14.644972086,14.6455061436,60.0257799625,66.9035460949,68.4224481583,68.4254820347,69.5878190994,69.6158730984
