CU,Name,Scheduling,StagingInput,AgentStagingInputPending,AgentStagingInput,AllocatingPending,Allocating,ExecutingPending,Executing,AgentStagingOutputPending,AgentStagingOutput,PendingOutputStaging,StagingOutput,Done
unit.000000,Euclidean_dist_1_1,-69.4124069214,116.98792696,116.98792696,119.20352602,120.126874924,120.128348112,120.128782988,120.130108118,122.324692965,122.325932026,122.331974983,123.571504116,123.599262953
unit.000001,Euclidean_dist_1_8193,-69.4122300148,-36.4679419994,-36.4679419994,6.57897591591,6.58121991158,6.58198213577,6.5823059082,36.9586310387,51.4260089397,74.7135710716,74.7188060284,76.1605980396,76.1874370575
unit.000002,Euclidean_dist_1_16385,-69.4120659828,-25.5786368847,-25.5786368847,6.74530911446,6.75316810608,6.75560593605,6.75591492653,37.3922080994,74.7948560715,75.8492810726,75.8517100811,76.9165189266,76.9432499409
unit.000003,Euclidean_dist_1_24577,-69.411906004,-37.2687609196,-37.2687609196,6.56855893135,6.57227993011,6.57304191589,6.57335400581,8.06620907784,51.6308329105,74.7531819344,74.7694559097,76.1077489853,76.1352159977
unit.000004,Euclidean_dist_1_32769,-69.4117538929,-66.3653640747,-66.3653640747,6.33407497406,6.33595108986,6.33702898026,6.33742499352,6.39558410645,37.0122859478,37.0859599113,37.0881659985,38.5695939064,38.5962889194
unit.000005,Euclidean_dist_1_40961,-69.411618948,100.780455112,100.780455112,102.464606047,103.645575047,103.647089958,103.647506952,103.648895025,105.868794918,105.969777107,105.971904039,106.602884054,106.631176949
unit.000006,Euclidean_dist_1_49153,-69.4114840031,-1.14215707779,-1.14215707779,7.03085303307,7.03260111809,7.03351807594,7.03384399414,39.0360851288,74.813808918,81.9798190594,81.9849131107,84.5061850548,84.5332369804
unit.000007,Euclidean_dist_1_57345,-69.4113500118,-44.5800368786,-44.5800368786,6.49033212662,6.49566102028,6.49646806717,6.49680495262,7.48184704781,37.0517699718,37.2924079895,37.2952039242,40.0077810287,40.0361139774
unit.000008,Euclidean_dist_1_65537,-69.4111690521,109.735255003,109.735255003,111.857192993,111.86759305,111.868720055,111.869101048,111.87026906,114.900929928,114.902147055,114.913996935,115.138485909,115.165858984
unit.000009,Euclidean_dist_1_73729,-69.4110209942,16.9912900925,16.9912900925,38.545238018,38.5471689701,38.5483109951,38.5486330986,40.0180160999,74.8232409954,82.035449028,82.0411200523,85.1867089272,85.2140021324
unit.000010,Euclidean_dist_1_81921,-69.410875082,11.3551681042,11.3551681042,37.0216939449,37.0309679508,37.0371980667,37.0405070782,39.6300020218,74.8443760872,82.2164990902,82.2203221321,85.0487709045,85.0759270191
unit.000011,Euclidean_dist_1_90113,-69.4107289314,13.1359210014,13.1359210014,37.0423030853,37.0448429585,37.0715301037,37.0752530098,39.8367741108,61.5733759403,75.0517940521,75.0581290722,77.1816279888,77.2089059353
unit.000012,Euclidean_dist_1_98305,-69.4105920792,-2.27218008041,-2.27218008041,7.02752590179,7.03006410599,7.03086805344,7.03120803833,39.015734911,74.831788063,82.1375780106,82.1419279575,84.4661169052,84.4930109978
unit.000013,Euclidean_dist_1_106497,-69.4104590416,0.00881791114807,0.00881791114807,7.04841303825,7.05109596252,7.05191111565,7.05224895477,39.1193699837,74.8322739601,82.1426820755,82.1469171047,84.5709979534,84.597671032
unit.000014,Euclidean_dist_1_114689,-69.4103159904,2.36739301682,2.36739301682,7.08245491982,7.08670592308,7.08763313293,7.0879650116,39.2011039257,74.8327541351,82.147660017,82.1502439976,84.6767160892,84.7037189007
unit.000015,Euclidean_dist_1_122881,-69.4100840092,5.99508595467,5.99508595467,7.89158797264,7.89346694946,7.89481306076,7.89531993866,39.3447561264,74.8438539505,82.2125580311,82.2156569958,84.837553978,84.8646740913
unit.000016,Euclidean_dist_8193_1,-69.4099490643,106.710608959,106.710608959,109.614202023,109.617985964,109.619420052,109.619851112,109.621279001,113.092952967,113.094226122,113.104468107,114.005300999,114.032951117
unit.000017,Euclidean_dist_8193_8193,-69.4098138809,-63.8813409805,-63.8813409805,6.35538697243,6.35707807541,6.35800290108,6.35836005211,6.47463607788,37.002177,37.0370090008,37.039276123,38.7268610001,38.7537910938
unit.000018,Euclidean_dist_8193_16385,-69.4096810818,111.600237131,111.600237131,113.333976984,113.363522053,113.364682913,113.365047932,113.366171122,116.505206108,116.506587029,116.508740902,117.245047092,117.273545027
