CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Euclidean_dist_1_1,N/A,26.5986499786,26.6091468334,26.6135468483,87.5559439659,83.8999910355
unit.000001,Euclidean_dist_1_5399,N/A,5.83055090904,5.83722901344,6.00513696671,229.579783916,226.490936995
unit.000002,Euclidean_dist_1_10797,N/A,5.84840393066,5.85723400116,6.08103585243,281.276448965,278.169306993
unit.000003,Euclidean_dist_1_16195,N/A,5.86384892464,5.8772649765,6.16560697556,177.246196032,173.577982903
unit.000004,Euclidean_dist_1_21593,N/A,5.87503290176,5.88599300385,6.21081805229,196.662626028,195.286067963
unit.000005,Euclidean_dist_1_26991,N/A,5.88386392593,5.89267897606,6.25110983849,177.791947842,174.616286039
unit.000006,Euclidean_dist_1_32389,N/A,5.90358090401,5.91242790222,6.33974099159,201.780169964,198.464232922
unit.000007,Euclidean_dist_1_37787,N/A,5.91450500488,5.92111182213,6.38204288483,251.428700924,248.462296009
unit.000008,Euclidean_dist_1_43185,N/A,5.9318728447,5.94056987762,6.46846199036,178.422262907,174.641198874
unit.000009,Euclidean_dist_1_48583,N/A,5.93842887878,5.94929504395,6.50821495056,197.09563899,195.290855885
unit.000010,Euclidean_dist_1_53981,N/A,5.9472079277,5.95573782921,6.55032396317,178.849215031,175.671399832
unit.000011,Euclidean_dist_1_59379,N/A,5.95779705048,5.96844696999,6.58789896965,202.197438955,199.508645058
unit.000012,Euclidean_dist_1_64777,N/A,5.97684884071,5.98320889473,6.67509198189,116.148753881,116.156913042
unit.000013,Euclidean_dist_1_70175,N/A,5.98526597023,5.99379301071,6.71788692474,179.444773912,175.690520048
unit.000014,Euclidean_dist_1_75573,N/A,6.00017786026,6.01365995407,7.61062288284,251.852571964,248.479058981
unit.000015,Euclidean_dist_1_80971,N/A,6.01157903671,6.02201199532,7.65467405319,204.038585901,204.895210981
unit.000016,Euclidean_dist_1_86369,N/A,6.02827501297,6.03667902946,7.74263286591,229.584398031,226.648453951
unit.000017,Euclidean_dist_1_91767,N/A,6.03869485855,6.04728102684,7.7866230011,114.39429903,111.083598852
unit.000018,Euclidean_dist_1_97165,N/A,6.05774402618,6.06411194801,8.01718997955,209.052247047,205.936426878
unit.000019,Euclidean_dist_1_102563,N/A,6.06617903709,6.0745909214,8.05527687073,174.091547966,170.473709822
unit.000020,Euclidean_dist_1_107961,N/A,6.08313298225,6.09168100357,8.13493990898,166.040436983,163.235245943
unit.000021,Euclidean_dist_1_113359,N/A,6.09370684624,6.10208296776,8.1732339859,209.060766935,205.952039957
unit.000022,Euclidean_dist_1_118757,N/A,6.09999394417,6.10907793045,8.21535682678,120.362936974,138.721062899
unit.000023,Euclidean_dist_1_124155,N/A,6.11111283302,6.11950087547,8.2581179142,241.768885851,238.57830596
unit.000024,Euclidean_dist_1_129553,N/A,57.5772879124,57.5817329884,57.5861208439,306.79111886,303.806788921
unit.000025,Euclidean_dist_1_134951,N/A,56.8271279335,56.8315839767,56.8359620571,306.980928898,303.801374912
unit.000026,Euclidean_dist_1_140349,N/A,57.7838199139,57.788836956,57.7932069302,306.783305883,303.822940826
unit.000027,Euclidean_dist_5399_5399,N/A,58.6682970524,58.7439849377,58.7502028942,157.399788857,158.01312995
unit.000028,Euclidean_dist_5399_10797,N/A,58.7418470383,58.7522008419,58.756403923,317.251970053,314.130465984
unit.000029,Euclidean_dist_5399_16195,N/A,60.6470398903,60.6539800167,60.660378933,307.858970881,303.844082832
