CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000055,Euclidean_dist_10797_21593,N/A,20.4617440701,20.5031099319,22.1357240677,253.744745016,254.449351072
unit.000056,Euclidean_dist_10797_26991,N/A,11.7381401062,11.7505030632,12.0597479343,269.147797108,268.676820993
unit.000057,Euclidean_dist_10797_32389,N/A,12.1976411343,12.2129509449,15.2096910477,292.994536161,290.560513973
unit.000058,Euclidean_dist_10797_37787,N/A,12.5027699471,12.5179481506,16.4928939342,282.376857996,280.363144159
unit.000059,Euclidean_dist_10797_43185,N/A,13.9356181622,13.9484491348,20.251363039,272.413686037,270.335664034
unit.000060,Euclidean_dist_10797_48583,N/A,15.4357709885,15.4511449337,21.2472281456,257.90510416,255.728970051
unit.000061,Euclidean_dist_10797_53981,N/A,12.0534319878,12.0687890053,14.2047870159,290.646619081,289.334383965
unit.000062,Euclidean_dist_10797_59379,N/A,12.1177239418,12.1300320625,14.4415471554,285.161489964,285.060918093
unit.000063,Euclidean_dist_10797_64777,N/A,12.1821870804,12.2007040977,15.1656620502,293.013700962,290.48854208
unit.000064,Euclidean_dist_10797_70175,N/A,20.9169540405,20.9261701107,22.214122057,282.345200062,285.315505981
unit.000065,Euclidean_dist_10797_75573,N/A,11.9765441418,11.985763073,13.8775091171,268.607969999,265.381438971
unit.000066,Euclidean_dist_10797_80971,N/A,12.3949279785,12.4132320881,16.1348540783,288.728322029,286.633002043
unit.000067,Euclidean_dist_10797_86369,N/A,12.4467329979,12.4625821114,16.3156139851,293.811799049,294.512573957
unit.000068,Euclidean_dist_10797_91767,N/A,15.4135389328,15.4263341427,21.2409529686,263.240682125,263.44451499
unit.000069,Euclidean_dist_10797_97165,N/A,12.5392439365,12.5546369553,16.6131789684,252.275856018,254.12285614
unit.000070,Euclidean_dist_10797_102563,N/A,16.5355329514,16.5507280827,21.7814531326,282.323018074,280.551306009
unit.000071,Euclidean_dist_10797_107961,N/A,16.5660760403,16.5781970024,21.7877380848,288.829991102,286.761458158
unit.000072,Euclidean_dist_10797_113359,N/A,13.6946790218,13.7039520741,18.9451129436,243.662349939,248.211127996
unit.000073,Euclidean_dist_10797_118757,N/A,13.8869299889,13.896214962,20.09720397,262.806858063,263.338684082
unit.000074,Euclidean_dist_10797_124155,N/A,14.1829121113,14.1984920502,21.0526280403,272.356558084,270.357970953
unit.000075,Euclidean_dist_10797_129553,N/A,14.3954341412,14.4107661247,21.1028499603,313.798716068,312.013664961
unit.000076,Euclidean_dist_10797_134951,N/A,18.4183549881,18.4273450375,21.8253800869,275.526081085,278.684513092
unit.000077,Euclidean_dist_10797_140349,N/A,19.9958491325,20.0110650063,22.0605640411,292.981783152,294.510797977
unit.000078,Euclidean_dist_16195_16195,N/A,20.008054018,20.0232100487,22.0636861324,137.85634613,135.624834061
unit.000079,Euclidean_dist_16195_21593,N/A,20.0394260883,20.0546710491,22.0699329376,248.916840076,248.564798117
unit.000080,Euclidean_dist_16195_26991,N/A,20.051651001,20.0638420582,22.0730650425,246.498186111,248.580912113
unit.000081,Euclidean_dist_16195_32389,N/A,20.0758280754,20.090927124,22.0793111324,245.805495024,248.586189032
unit.000082,Euclidean_dist_16195_37787,N/A,20.1031360626,20.1153409481,22.0855660439,288.772891998,286.873162985
unit.000083,Euclidean_dist_16195_43185,N/A,20.1182739735,20.127491951,22.0886900425,269.206946135,268.799710035
unit.000084,Euclidean_dist_16195_48583,N/A,20.1497960091,20.1591970921,22.0949349403,263.133553028,264.031718969
unit.000085,Euclidean_dist_16195_53981,N/A,20.174339056,20.1894581318,22.1012079716,293.622375011,294.635332108
unit.000086,Euclidean_dist_16195_59379,N/A,20.2015609741,20.2138650417,22.1074941158,282.351526976,285.207720041
unit.000087,Euclidean_dist_16195_64777,N/A,20.2199420929,20.2289309502,22.1106259823,250.014824152,248.601068974
unit.000088,Euclidean_dist_16195_70175,N/A,20.2451059818,20.2603290081,22.1168739796,260.688773155,259.2318151
unit.000089,Euclidean_dist_16195_75573,N/A,20.2573060989,20.2694959641,22.1200020313,272.400901079,270.662820101
unit.000090,Euclidean_dist_16195_80971,N/A,20.4033911228,20.4094600677,22.126333952,275.885084152,278.740175009
unit.000091,Euclidean_dist_16195_86369,N/A,20.4355449677,20.464771986,22.1325900555,257.96529007,256.052549124
unit.000092,Euclidean_dist_16195_91767,N/A,20.5000779629,20.5128030777,22.1388511658,269.85107708,268.821565151
unit.000093,Euclidean_dist_16195_97165,N/A,20.5157310963,20.5278921127,22.1419839859,263.626929045,264.033591986
unit.000094,Euclidean_dist_16195_102563,N/A,20.5433101654,20.5635311604,22.1482520103,282.526741982,285.211764097
unit.000095,Euclidean_dist_16195_107961,N/A,20.5664689541,20.5756700039,22.1513860226,282.469308138,285.228341103
unit.000096,Euclidean_dist_16195_113359,N/A,20.5907411575,20.6172070503,22.1577141285,282.338850975,285.25236702
unit.000097,Euclidean_dist_16195_118757,N/A,20.6545779705,20.6698830128,22.1671471596,273.665297031,271.804280043
unit.000098,Euclidean_dist_16195_124155,N/A,20.666852951,20.6900930405,22.1702780724,269.346807957,268.913129091
unit.000099,Euclidean_dist_16195_129553,N/A,20.6930260658,20.7132351398,22.1734149456,259.998984098,259.354386091
unit.000100,Euclidean_dist_16195_134951,N/A,20.7628791332,20.7752001286,22.1828131676,267.063848019,265.361983061
unit.000101,Euclidean_dist_16195_140349,N/A,20.7781460285,20.7902891636,22.1859400272,290.280153036,289.422742128
unit.000102,Euclidean_dist_21593_21593,N/A,20.8146829605,20.8302240372,22.1953320503,137.924230099,135.684688091
unit.000103,Euclidean_dist_21593_26991,N/A,20.8424811363,20.8578460217,22.2016050816,267.010035038,265.47785306
unit.000104,Euclidean_dist_21593_32389,N/A,20.8546090126,20.8675310612,22.204734087,258.264006138,256.05550313
unit.000105,Euclidean_dist_21593_37787,N/A,20.8805260658,20.9048299789,22.2078659534,272.327960968,270.667190075
unit.000106,Euclidean_dist_21593_43185,N/A,20.9291040897,20.9383080006,22.2172501087,269.478713036,268.939842939
unit.000107,Euclidean_dist_21593_48583,N/A,20.9412441254,20.9565081596,22.2203850746,253.185827971,254.48822403
unit.000108,Euclidean_dist_21593_53981,N/A,20.9887471199,21.0041110516,22.2297959328,262.749778032,264.063979149
unit.000109,Euclidean_dist_21593_59379,N/A,18.4548420906,18.4609110355,21.8347740173,252.031538963,254.388465166
unit.000110,Euclidean_dist_21593_64777,N/A,18.4794590473,18.4856481552,21.8410561085,298.221033096,295.74485898
