CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Euclidean_dist_1_1,N/A,6.23225688934,6.23523592949,6.47984790802,127.798649788,126.167111874
unit.000001,Euclidean_dist_1_5399,N/A,6.89601993561,6.89881181717,239.413659811,473.659158945,477.735664845
unit.000002,Euclidean_dist_1_10797,N/A,6.90173578262,6.9046227932,239.513807774,475.037172794,477.754553795
unit.000003,Euclidean_dist_1_16195,N/A,7.38712000847,7.39017081261,248.821982861,487.724948883,488.929342985
unit.000004,Euclidean_dist_1_21593,N/A,7.4447247982,7.44757699966,250.244676828,486.166612864,484.859048843
unit.000005,Euclidean_dist_1_26991,N/A,7.47214698792,7.47504496574,250.787119865,487.572319984,488.899551868
unit.000006,Euclidean_dist_1_32389,N/A,7.51500797272,7.51785993576,254.76342988,496.887851,500.571455956
unit.000007,Euclidean_dist_1_37787,N/A,6.93370485306,6.93665885925,240.515752792,470.668448925,470.199034929
unit.000008,Euclidean_dist_1_43185,N/A,7.56754899025,7.57052397728,274.547626972,507.592615843,508.717664957
unit.000009,Euclidean_dist_1_48583,N/A,7.59423398972,7.59720492363,279.043849945,514.26194191,513.859661818
unit.000010,Euclidean_dist_1_53981,N/A,7.19670987129,7.19978499413,244.419357777,481.221566916,483.565580845
unit.000011,Euclidean_dist_1_59379,N/A,6.18116497993,6.18434691429,6.25022578239,264.223677874,263.18372798
unit.000012,Euclidean_dist_1_64777,N/A,6.19374299049,6.19659686089,6.29128694534,272.293923855,271.790892839
unit.000013,Euclidean_dist_1_70175,N/A,6.20832180977,6.21113681793,6.39605879784,246.698124886,245.777136803
unit.000014,Euclidean_dist_1_75573,N/A,6.27043890953,6.27368879318,6.61636590958,245.823138952,244.681833982
unit.000015,Euclidean_dist_1_80971,N/A,6.22932386398,6.23219895363,6.47052288055,251.672997952,251.186903
unit.000016,Euclidean_dist_1_86369,N/A,6.55321478844,6.5561709404,7.61760187149,259.345557928,258.780183792
unit.000017,Euclidean_dist_1_91767,N/A,6.25591778755,6.25868296623,6.5678358078,256.7196908,256.164000988
unit.000018,Euclidean_dist_1_97165,N/A,6.267567873,6.27044296265,6.60685777664,240.808402777,239.765440941
unit.000019,Euclidean_dist_1_102563,N/A,6.27952194214,6.28241896629,6.64491891861,239.453588009,238.653594971
unit.000020,Euclidean_dist_1_107961,N/A,7.49951291084,7.50246191025,252.411634922,491.941738844,491.026451826
unit.000021,Euclidean_dist_1_113359,N/A,6.17233085632,6.17517590523,6.22100877762,256.465794802,255.110917807
unit.000022,Euclidean_dist_1_118757,N/A,6.23816585541,6.24096298218,6.50164580345,243.635475874,242.377995968
unit.000023,Euclidean_dist_1_124155,N/A,6.30052089691,6.30339193344,6.71137499809,254.729992867,253.713228941
unit.000024,Euclidean_dist_1_129553,N/A,6.48160600662,6.48460292816,7.31515097618,253.203235865,252.502260923
unit.000025,Euclidean_dist_1_134951,N/A,6.60564398766,6.60846090317,7.79597687721,259.577544928,258.789870977
unit.000026,Euclidean_dist_1_140349,N/A,6.83228683472,6.83497977257,128.345187902,364.848160982,367.355409861
unit.000027,Euclidean_dist_5399_5399,N/A,7.14569878578,7.14852595329,243.720659971,364.450195789,365.286652803
unit.000028,Euclidean_dist_5399_10797,N/A,7.38385295868,7.38711190224,248.79320693,485.636164904,484.856492996
unit.000029,Euclidean_dist_5399_16195,N/A,7.56185293198,7.56462788582,272.91463685,503.915835857,502.666209936
unit.000030,Euclidean_dist_5399_21593,N/A,6.20543885231,6.20828485489,6.37245297432,252.608446836,252.322566986
unit.000031,Euclidean_dist_5399_26991,N/A,6.29763889313,6.30047893524,6.70155191422,249.447418928,249.022464991
unit.000032,Euclidean_dist_5399_32389,N/A,6.29126286507,6.2946138382,6.68249893188,252.20844388,251.206247807
unit.000033,Euclidean_dist_5399_37787,N/A,6.30342483521,6.3063287735,6.72063779831,272.906494856,271.791642904
unit.000034,Euclidean_dist_5399_43185,N/A,6.30942893028,6.31238389015,6.73998880386,244.66514492,243.453638792
unit.000035,Euclidean_dist_5399_48583,N/A,6.31241488457,6.35489177704,6.74961495399,242.35717392,241.310751915
unit.000036,Euclidean_dist_5399_53981,N/A,6.35793399811,6.36081385612,6.77085590363,255.541520834,253.714271784
unit.000037,Euclidean_dist_5399_59379,N/A,6.36091899872,6.36390781403,6.80055689812,254.873881817,253.766555786
unit.000038,Euclidean_dist_5399_64777,N/A,6.36393284798,6.36677598953,6.82047700882,258.926452875,258.650563955
unit.000039,Euclidean_dist_5399_70175,N/A,6.36684298515,6.36972093582,6.83036994934,244.053550005,243.47196579
unit.000040,Euclidean_dist_5399_75573,N/A,6.37274193764,6.38544797897,6.86437487602,256.948973894,256.310367823
unit.000041,Euclidean_dist_5399_80971,N/A,7.2247979641,7.23402285576,244.942381859,476.027310848,480.647280931
unit.000042,Euclidean_dist_5399_86369,N/A,7.25538396835,7.25843977928,245.772738934,474.228278875,480.70496583
unit.000043,Euclidean_dist_5399_91767,N/A,7.30002188683,7.30397081375,246.251917839,480.613306999,483.60428381
unit.000044,Euclidean_dist_5399_97165,N/A,6.39648199081,6.39943885803,6.92092084885,253.435269833,252.331833839
unit.000045,Euclidean_dist_5399_102563,N/A,6.39943981171,6.40267896652,6.93054294586,264.644355774,263.259100914
unit.000046,Euclidean_dist_5399_107961,N/A,6.40555477142,6.40858697891,6.96202397346,248.928064823,247.952935934
unit.000047,Euclidean_dist_5399_113359,N/A,6.40859389305,6.41167497635,6.97895884514,274.536131859,276.499956846
unit.000048,Euclidean_dist_5399_118757,N/A,6.41481900215,6.4176838398,7.00011277199,274.94609499,276.501501799
unit.000049,Euclidean_dist_5399_124155,N/A,6.41765093803,6.42048788071,7.01027393341,248.555815935,247.966105938
unit.000050,Euclidean_dist_5399_129553,N/A,6.42053198814,6.42419600487,7.02056789398,264.291943789,263.365144968
unit.000051,Euclidean_dist_5399_134951,N/A,6.42548298836,6.42843580246,7.05554485321,245.067223787,243.490147829
unit.000052,Euclidean_dist_5399_140349,N/A,5.90217280388,5.90608692169,6.17825198174,251.471455812,250.073649883
unit.000053,Euclidean_dist_10797_10797,N/A,6.17811393738,6.18114089966,6.24007892609,147.078826904,147.138060808
unit.000054,Euclidean_dist_10797_16195,N/A,6.19027400017,6.19367289543,6.28086495399,241.644181967,241.001418829
unit.000055,Euclidean_dist_10797_21593,N/A,6.20240092278,6.20539879799,6.36242580414,270.96694994,269.601660967
unit.000056,Euclidean_dist_10797_26991,N/A,6.45670795441,6.46137189865,7.20809483528,256.534896851,255.129884958
unit.000057,Euclidean_dist_10797_32389,N/A,6.46149992943,6.46449995041,7.21815180779,252.805455923,252.490842819
unit.000058,Euclidean_dist_10797_37787,N/A,6.46736192703,6.4701359272,7.24661278725,239.662910938,238.655792952
unit.000059,Euclidean_dist_10797_43185,N/A,6.47014379501,6.47312092781,7.256980896,246.849821806,245.79773283
unit.000060,Euclidean_dist_10797_48583,N/A,6.26165485382,6.26465892792,6.5875108242,247.184843779,245.795150995
unit.000061,Euclidean_dist_10797_53981,N/A,6.4787299633,6.48158288002,7.30531191826,246.22930479,244.712451935
unit.000062,Euclidean_dist_10797_59379,N/A,6.61400198936,6.6167550087,7.82998681068,255.34243679,253.765850782
unit.000063,Euclidean_dist_10797_64777,N/A,6.61675977707,6.61955094337,7.84018492699,239.885852814,238.674453974
unit.000064,Euclidean_dist_10797_70175,N/A,6.6250398159,6.62793397903,7.8688249588,248.166325808,246.888342857
unit.000065,Euclidean_dist_10797_75573,N/A,6.63082289696,6.63362193108,7.97121977806,262.18795681,260.986653805
unit.000066,Euclidean_dist_10797_80971,N/A,6.63640499115,6.63921284676,7.99990391731,262.538813829,260.987864971
unit.000067,Euclidean_dist_10797_86369,N/A,6.64197587967,6.64478182793,8.02599978447,257.605964899,256.373647928
unit.000068,Euclidean_dist_10797_91767,N/A,6.64759492874,6.6504509449,8.06019496918,261.99613595,261.005252838
unit.000069,Euclidean_dist_10797_97165,N/A,6.65314793587,6.65598082542,8.08106398582,255.887201786,255.14720583
unit.000070,Euclidean_dist_10797_102563,N/A,6.66161990166,6.66434288025,8.13997387886,240.598908901,239.888264894
unit.000071,Euclidean_dist_10797_107961,N/A,6.66777300835,6.67055487633,8.16167378426,257.145684958,256.435014009
unit.000072,Euclidean_dist_10797_113359,N/A,6.6764819622,6.67924380302,8.18960785866,249.340888977,247.99337697
unit.000073,Euclidean_dist_10797_118757,N/A,6.68246078491,6.68594479561,8.20857691765,251.166837931,250.132050991
unit.000074,Euclidean_dist_10797_124155,N/A,6.36974787712,6.37272191048,6.84008193016,242.786500931,241.327570915
unit.000075,Euclidean_dist_10797_129553,N/A,6.69469094276,6.69744586945,8.24678087234,245.962976933,244.731765985
unit.000076,Euclidean_dist_10797_134951,N/A,6.42843580246,6.43160200119,7.08935284615,275.761459827,276.523517847
unit.000077,Euclidean_dist_10797_140349,N/A,6.70611190796,6.70896482468,8.29342484474,247.923553944,246.907149792
unit.000078,Euclidean_dist_16195_16195,N/A,6.4873239994,6.49038386345,7.3370578289,128.478775978,127.448147774
unit.000079,Euclidean_dist_16195_21593,N/A,6.72456097603,6.72732281685,8.38907384872,244.311621904,243.528445005
unit.000080,Euclidean_dist_16195_26991,N/A,6.53597187996,6.54171180725,7.56750893593,263.723991871,262.074543953
unit.000081,Euclidean_dist_16195_32389,N/A,6.74994587898,6.75294089317,8.50722694397,248.306797981,246.91084981
unit.000082,Euclidean_dist_16195_37787,N/A,7.54456186295,7.54741477966,265.470837831,503.831092834,502.648081779
unit.000083,Euclidean_dist_16195_43185,N/A,7.36281991005,7.36597490311,247.579903841,482.347413778,483.624074936
unit.000084,Euclidean_dist_16195_48583,N/A,6.21117782593,6.21437478065,6.4059278965,243.420925856,242.375155926
unit.000085,Euclidean_dist_16195_53981,N/A,6.76131296158,6.76416993141,8.54975700378,244.929342985,243.53628993
unit.000086,Euclidean_dist_16195_59379,N/A,6.77262282372,6.77915287018,8.57830095291,270.23908186,269.60302496
unit.000087,Euclidean_dist_16195_64777,N/A,6.75851583481,6.76125788689,8.53564977646,239.084503889,238.681883812
unit.000088,Euclidean_dist_16195_70175,N/A,6.61117982864,6.61401391029,7.81493282318,258.583011866,257.545728922
unit.000089,Euclidean_dist_16195_75573,N/A,6.67923593521,6.68245482445,8.19893693924,253.845019817,253.682801008
unit.000090,Euclidean_dist_16195_80971,N/A,6.82942485809,6.83225893974,128.327014923,363.931975842,365.253931999
unit.000091,Euclidean_dist_16195_86369,N/A,6.99585795403,6.99938893318,241.746393919,473.421883821,480.069595814
unit.000092,Euclidean_dist_16195_91767,N/A,6.84532284737,6.86391878128,132.391642809,379.116461992,378.120554924
unit.000093,Euclidean_dist_16195_97165,N/A,7.15793180466,7.18186283112,243.807911873,482.498445988,483.54873395
unit.000094,Euclidean_dist_16195_102563,N/A,6.48458790779,6.48729586601,7.32521796227,254.163590908,253.63841486
unit.000095,Euclidean_dist_16195_107961,N/A,6.49085378647,6.49430084229,7.36406183243,252.935863972,252.556320906
unit.000096,Euclidean_dist_16195_113359,N/A,6.49430298805,6.49726390839,7.37398791313,247.68542099,246.874269009
unit.000097,Euclidean_dist_16195_118757,N/A,6.50015497208,6.50334382057,7.39429879189,249.178728819,247.975180864
unit.000098,Euclidean_dist_16195_124155,N/A,6.50331997871,6.50636386871,7.43987584114,249.847480774,250.114322901
unit.000099,Euclidean_dist_16195_129553,N/A,6.50636792183,6.50916481018,7.45057487488,262.998973846,262.063912868
unit.000100,Euclidean_dist_16195_134951,N/A,6.50916099548,6.51206588745,7.46059799194,260.438447952,259.862654924
unit.000101,Euclidean_dist_16195_140349,N/A,6.51521682739,6.51817297935,7.48128294945,258.018433809,257.514360905
unit.000102,Euclidean_dist_21593_21593,N/A,6.51815295219,6.52109384537,7.50880885124,132.38356185,133.147295952
unit.000103,Euclidean_dist_21593_26991,N/A,6.52436685562,6.52718091011,7.52801084518,260.645963907,259.897172928
unit.000104,Euclidean_dist_21593_32389,N/A,6.5272128582,6.53008985519,7.53794384003,258.76569891,258.661664009
unit.000105,Euclidean_dist_21593_37787,N/A,6.53008580208,6.53315782547,7.54748296738,251.535205841,251.230613947
unit.000106,Euclidean_dist_21593_43185,N/A,6.53314900398,6.53594493866,7.55732393265,260.85341382,260.926977873
unit.000107,Euclidean_dist_21593_48583,N/A,6.54171395302,6.54460597038,7.57764387131,264.942445993,264.441626787
unit.000108,Euclidean_dist_21593_53981,N/A,6.54462194443,6.54747700691,7.58704781532,263.592410803,262.082254887
unit.000109,Euclidean_dist_21593_59379,N/A,6.55040597916,6.55319595337,7.60732293129,258.438459873,257.526811838
unit.000110,Euclidean_dist_21593_64777,N/A,6.55616998672,6.55931782722,7.6274638176,265.193361998,264.450847864
unit.000111,Euclidean_dist_21593_70175,N/A,6.5593059063,6.56216478348,7.63664698601,278.112859964,278.575527906
unit.000112,Euclidean_dist_21593_75573,N/A,6.56215286255,6.56492495537,7.64589691162,261.060961008,260.930624008
unit.000113,Euclidean_dist_21593_80971,N/A,6.5649368763,6.5678229332,7.65580797195,258.202449799,257.537434816
unit.000114,Euclidean_dist_21593_86369,N/A,6.56784296036,6.57059693336,7.66537189484,255.750748873,255.131635904
unit.000115,Euclidean_dist_21593_91767,N/A,6.57342791557,6.57691788673,7.68788194656,263.175890923,262.092342854
unit.000116,Euclidean_dist_21593_97165,N/A,6.57693886757,6.57990884781,7.69775986671,293.041359901,293.003782988
unit.000117,Euclidean_dist_21593_102563,N/A,6.57988286018,6.58291387558,7.7073237896,254.308956861,253.639384985
unit.000118,Euclidean_dist_21593_107961,N/A,6.58293199539,6.58569288254,7.71895194054,287.464369774,289.543600798
unit.000119,Euclidean_dist_21593_113359,N/A,6.58566379547,6.58846879005,7.72910690308,279.03339982,278.584908009
unit.000120,Euclidean_dist_21593_118757,N/A,6.58853077888,6.59134078026,7.73866295815,294.461477995,295.021145821
unit.000121,Euclidean_dist_21593_124155,N/A,6.5941119194,6.5969479084,7.75795698166,262.362021923,260.969433784
unit.000122,Euclidean_dist_21593_129553,N/A,6.59689879417,6.60013484955,7.76729488373,264.461474895,263.40150094
unit.000123,Euclidean_dist_21593_134951,N/A,6.6001060009,6.60289287567,7.77672886848,276.593828917,278.593207836
unit.000124,Euclidean_dist_21593_140349,N/A,6.60842680931,6.6111907959,7.80507898331,240.087705851,239.885715961
unit.000125,Euclidean_dist_26991_26991,N/A,6.88095593452,6.88386893272,238.179474831,354.929078817,355.148673773
unit.000126,Euclidean_dist_26991_32389,N/A,6.88717579842,6.88997578621,238.724281788,472.75331378,476.601674795
unit.000127,Euclidean_dist_26991_37787,N/A,7.32199382782,7.32481598854,246.613873005,479.80903697,480.777844906
unit.000128,Euclidean_dist_26991_43185,N/A,6.90460896492,6.90742397308,239.618512869,469.368752956,469.150210857
unit.000129,Euclidean_dist_26991_48583,N/A,6.910187006,6.91374993324,239.82699585,472.43580389,476.651326895
unit.000130,Euclidean_dist_26991_53981,N/A,7.57053399086,7.57345795631,274.956631899,505.938327789,504.711578846
unit.000131,Euclidean_dist_26991_59379,N/A,6.91928982735,6.92211890221,240.008631945,484.934857845,484.780207872
unit.000132,Euclidean_dist_26991_64777,N/A,7.39677882195,7.41081500053,249.410688877,483.81782794,483.66159296
unit.000133,Euclidean_dist_26991_70175,N/A,7.53864693642,7.54181480408,263.328545809,499.518968821,500.59095788
unit.000134,Euclidean_dist_26991_75573,N/A,7.49651694298,7.49951791763,252.102017879,491.790566921,491.00977087
unit.000135,Euclidean_dist_26991_80971,N/A,6.16918778419,6.17230200768,6.21142077446,264.155829906,263.154098988
unit.000136,Euclidean_dist_26991_86369,N/A,6.96491980553,6.97208285332,241.188036919,492.695091963,491.034540892
unit.000137,Euclidean_dist_26991_91767,N/A,6.97490382195,6.97790288925,241.241234779,473.540510893,477.851444006
unit.000138,Euclidean_dist_26991_97165,N/A,6.98107290268,6.9840939045,241.307691813,475.684362888,477.889335871
unit.000139,Euclidean_dist_26991_102563,N/A,6.60285592079,6.60566592216,7.78665399551,261.725435972,260.950200796
unit.000140,Euclidean_dist_26991_107961,N/A,6.22019386292,6.2231118679,6.43941378593,253.711093903,253.611045837
unit.000141,Euclidean_dist_26991_113359,N/A,7.00546598434,7.0083398819,241.944992781,481.737038851,481.994860888
unit.000142,Euclidean_dist_26991_118757,N/A,6.24700093269,6.24987483025,6.53162693977,238.67651391,238.636598825
unit.000143,Euclidean_dist_26991_124155,N/A,7.02048993111,7.02371478081,242.228423834,473.774211884,480.423401833
unit.000144,Euclidean_dist_26991_129553,N/A,7.03024077415,7.04940199852,242.36833787,476.123783827,480.441761971
unit.000145,Euclidean_dist_26991_134951,N/A,6.26466989517,6.26753497124,6.59724998474,252.01946497,251.188070774
unit.000146,Euclidean_dist_26991_140349,N/A,7.07891988754,7.08704900742,242.888589859,473.89830184,480.469783783
unit.000147,Euclidean_dist_32389_32389,N/A,7.09074997902,7.09383583069,242.989545822,365.08779788,367.384008884
unit.000148,Euclidean_dist_32389_37787,N/A,6.38731980324,6.39064097404,6.89099884033,275.97010684,276.51924181
unit.000149,Euclidean_dist_32389_43185,N/A,7.12380599976,7.1268248558,243.298504829,475.895095825,480.490310907
unit.000150,Euclidean_dist_32389_48583,N/A,6.44060492516,6.44398784637,7.14062285423,246.103486776,244.711730957
unit.000151,Euclidean_dist_32389_53981,N/A,7.14278888702,7.14569497108,243.69605279,470.532763958,470.23504591
unit.000152,Euclidean_dist_32389_59379,N/A,6.49726891518,6.50016498566,7.3843100071,247.313243866,245.813471794
unit.000153,Euclidean_dist_32389_64777,N/A,6.52109885216,6.52435088158,7.51819181442,260.232553959,259.880559921
unit.000154,Euclidean_dist_32389_70175,N/A,6.54749679565,6.55038380623,7.59737181664,264.008793831,263.392107964
unit.000155,Euclidean_dist_32389_75573,N/A,6.57061100006,6.57341599464,7.67845892906,250.758471966,250.130025864
unit.000156,Euclidean_dist_32389_80971,N/A,7.22186398506,7.22478199005,244.838480949,483.662311792,483.58572197
unit.000157,Euclidean_dist_32389_86369,N/A,6.28838181496,6.29121589661,6.67322778702,257.353432894,256.226382971
unit.000158,Euclidean_dist_32389_91767,N/A,6.29460597038,6.29760789871,6.69200277328,247.454724789,246.870643854
unit.000159,Euclidean_dist_32389_97165,N/A,6.71166300774,6.7147629261,8.31609678268,245.328294992,244.747924805
unit.000160,Euclidean_dist_32389_102563,N/A,6.75294589996,6.75572896004,8.51679396629,254.593190908,254.065358877
unit.000161,Euclidean_dist_32389_107961,N/A,6.82666897774,6.82941389084,128.115000963,383.689906836,382.191813946
unit.000162,Euclidean_dist_32389_113359,N/A,6.88997578621,6.8929309845,239.0970819,468.21152091,468.114499807
unit.000163,Euclidean_dist_32389_118757,N/A,6.93066477776,6.9336669445,240.483481884,472.135573864,476.159996986
unit.000164,Euclidean_dist_32389_124155,N/A,6.98688292503,6.98972392082,241.608120918,475.561003923,477.996522903
unit.000165,Euclidean_dist_32389_129553,N/A,7.05235886574,7.05566191673,242.645251989,478.694922924,480.451499939
unit.000166,Euclidean_dist_32389_134951,N/A,7.13972091675,7.14279484749,243.617813826,479.306189775,480.535212994
unit.000167,Euclidean_dist_32389_140349,N/A,6.38247394562,6.3892428875,6.88045597076,251.80687499,251.206948996
unit.000168,Euclidean_dist_37787_37787,N/A,6.39065289497,6.39355778694,6.90077280998,128.107465982,127.388170004
unit.000169,Euclidean_dist_37787_43185,N/A,6.39350581169,6.39644598961,6.91055679321,240.997986794,241.02814579
unit.000170,Euclidean_dist_37787_48583,N/A,7.33080077171,7.33361983299,247.026898861,485.460392952,484.821748972
unit.000171,Euclidean_dist_37787_53981,N/A,7.37786197662,7.38095092773,248.273766994,488.878272772,490.971783876
unit.000172,Euclidean_dist_37787_59379,N/A,7.43863677979,7.44176197052,249.929044962,496.708493948,500.553043842
unit.000173,Euclidean_dist_37787_64777,N/A,7.46199297905,7.46499681473,250.621682882,482.641620874,483.679703951
unit.000174,Euclidean_dist_37787_70175,N/A,7.50923991203,7.51210379601,253.945266008,501.825264931,500.553693771
unit.000175,Euclidean_dist_37787_75573,N/A,7.5322740078,7.5351099968,261.593279839,497.033024788,500.590287924
unit.000176,Euclidean_dist_37787_80971,N/A,7.55884385109,7.56184387207,272.301364899,509.953220844,509.854807854
unit.000177,Euclidean_dist_37787_86369,N/A,7.58826398849,7.59118700027,278.123170853,515.264258862,515.903275967
unit.000178,Euclidean_dist_37787_91767,N/A,6.43168187141,6.4376308918,7.10085082054,262.783429861,260.965201855
unit.000179,Euclidean_dist_37787_97165,N/A,6.43720889091,6.44035482407,7.12875294685,286.446613789,289.525883913
unit.000180,Euclidean_dist_37787_102563,N/A,6.44393587112,6.45291495323,7.15265488625,276.117566824,276.538633823
unit.000181,Euclidean_dist_37787_107961,N/A,6.4537768364,6.45670080185,7.19697594643,284.012159824,288.592697859
unit.000182,Euclidean_dist_37787_113359,N/A,6.21738290787,6.22014784813,6.42813897133,246.560883999,245.779603958
