CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Euclidean_dist_1_1,N/A,175.969245911,175.973771095,559.400825024,613.91740489,611.18591404
unit.000001,Euclidean_dist_1_5399,N/A,128.752484083,128.763217926,360.016417027,482.874531031,480.305685043
unit.000002,Euclidean_dist_1_10797,N/A,131.175219059,131.183722973,364.616430044,475.626470089,472.543051004
unit.000003,Euclidean_dist_1_16195,N/A,133.549019098,133.560082912,365.509484053,476.41535306,478.263900042
unit.000004,Euclidean_dist_1_21593,N/A,134.266189098,134.712899923,368.334887981,487.391825914,483.863096952
unit.000005,Euclidean_dist_1_26991,N/A,135.150746107,135.175523043,368.345506907,489.320223093,498.812726974
unit.000006,Euclidean_dist_1_32389,N/A,135.865181923,136.331176043,369.460279942,486.555834055,483.871227026
unit.000007,Euclidean_dist_1_37787,N/A,137.635883093,137.896528959,374.546215057,489.707634926,498.825093031
unit.000008,Euclidean_dist_1_43185,N/A,139.452301025,139.683650017,383.780175924,502.787796974,499.873748064
unit.000009,Euclidean_dist_1_48583,N/A,140.882208109,140.983786106,405.65714407,521.849602938,518.867491007
unit.000010,Euclidean_dist_1_53981,N/A,142.211849928,142.311733007,409.160829067,526.855688095,524.276802063
unit.000011,Euclidean_dist_1_59379,N/A,143.097197056,143.184420109,409.606447935,543.544423103,541.068211079
unit.000012,Euclidean_dist_1_64777,N/A,143.473144054,143.683624983,411.413808107,526.859982967,524.29600811
unit.000013,Euclidean_dist_1_70175,N/A,144.902004957,145.020055056,421.926939964,543.635565042,541.100004911
unit.000014,Euclidean_dist_1_75573,N/A,145.616137981,145.621036053,422.253384113,543.629100084,541.10225296
unit.000015,Euclidean_dist_1_80971,N/A,147.422861099,147.427431107,447.67692399,559.391833067,556.504127979
unit.000016,Euclidean_dist_1_86369,N/A,148.314167976,148.388391972,452.725528955,561.127715111,558.528398991
unit.000017,Euclidean_dist_1_91767,N/A,149.457309961,149.463452101,462.706896067,588.418997049,585.544836044
unit.000018,Euclidean_dist_1_97165,N/A,86.4957990646,86.5005500317,242.196623087,354.335082054,352.060657024
unit.000019,Euclidean_dist_1_102563,N/A,93.8624820709,93.8665950298,248.297034979,363.493863106,360.065769911
unit.000020,Euclidean_dist_1_107961,N/A,209.857089043,209.863169909,658.985035896,775.98509407,773.042845964
unit.000021,Euclidean_dist_1_113359,N/A,105.53323698,105.537446022,347.034528017,458.942436934,459.110198975
unit.000022,Euclidean_dist_1_118757,N/A,109.386044979,109.390901089,352.152501106,462.736687899,460.176435947
unit.000023,Euclidean_dist_1_124155,N/A,117.676407099,118.626225948,356.695225,468.321683884,465.842226982
unit.000024,Euclidean_dist_1_129553,N/A,112.242186069,112.246917009,352.458487988,466.42899394,465.792649031
unit.000025,Euclidean_dist_1_134951,N/A,126.68700099,126.693264008,358.909882069,472.344084978,469.716304064
unit.000026,Euclidean_dist_1_140349,N/A,229.027564049,229.035893917,691.840440989,800.635684967,798.649591923
unit.000027,Euclidean_dist_5399_5399,N/A,231.050900936,231.059443951,693.448457956,751.60193491,748.040951014
unit.000028,Euclidean_dist_5399_10797,N/A,149.461402893,149.467514992,462.708956957,567.618639946,565.097919941
unit.000029,Euclidean_dist_5399_16195,N/A,242.175683975,242.182640076,699.977356911,825.391238928,822.994426966
unit.000030,Euclidean_dist_5399_21593,N/A,158.50868988,158.513367891,470.140680075,581.011032104,577.882683039
unit.000031,Euclidean_dist_5399_26991,N/A,163.044214964,163.048384905,482.889648914,591.262070894,588.64508605
unit.000032,Euclidean_dist_5399_32389,N/A,167.162260056,167.167079926,489.386866093,608.900049925,605.65498805
unit.000033,Euclidean_dist_5399_37787,N/A,170.611788034,170.61649704,524.597568035,634.624643087,631.611656904
unit.000034,Euclidean_dist_5399_43185,N/A,173.791683912,173.841770887,543.651007891,658.980562925,655.857928991
