Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec,TimeStamp
0,5000,0,5000,0.0,0.0,20171108-153140
5000,10000,1,5000,310.0,3182.68305698,20171108-153140
0,5000,2,5000,619.0,3368.13655858,20171108-153141
5000,10000,3,5000,930.0,3332.06571358,20171108-153141
10000,15000,4,5000,1240.0,3624.62668541,20171108-153141
15000,20000,5,5000,1553.0,3555.45918518,20171108-153141
20000,25000,6,5000,1858.0,3936.05593804,20171108-153141
25000,30000,7,5000,2166.0,4242.20012374,20171108-153141
30000,35000,8,5000,2470.0,4499.65378495,20171108-153141
35000,40000,9,5000,2779.0,4653.99809863,20171108-153141
40000,45000,10,5000,3086.0,4851.4907765,20171108-153141
45000,50000,11,5000,3396.0,5032.01970435,20171108-153141
50000,55000,12,5000,3706.0,5192.97676838,20171108-153141
55000,60000,13,5000,4017.0,5282.88466716,20171108-153141
60000,65000,14,5000,4322.0,5535.82261701,20171108-153141
65000,70000,15,5000,4638.0,5789.14816486,20171108-153141
70000,75000,16,5000,4950.0,5941.15641596,20171108-153141
75000,80000,17,5000,5261.0,6136.4929321,20171108-153141
80000,85000,18,5000,5572.0,6324.6872827,20171108-153141
85000,90000,19,5000,5883.0,6525.98547494,20171108-153141
90000,95000,20,5000,6192.0,6585.50318408,20171108-153141
95000,100000,21,5000,6504.0,6668.73637694,20171108-153141
0,5000,22,5000,6815.0,5728.28145835,20171108-153142
5000,10000,23,5000,7137.0,5403.74300098,20171108-153142
10000,15000,24,5000,7459.0,5321.75925987,20171108-153142
15000,20000,25,5000,7776.0,5362.96567067,20171108-153142
20000,25000,26,5000,8092.0,5400.70822278,20171108-153142
25000,30000,27,5000,8404.0,5536.80450183,20171108-153142
30000,35000,28,5000,8716.0,5618.46928946,20171108-153142
35000,40000,29,5000,9024.0,5697.43666916,20171108-153142
40000,45000,30,5000,9333.0,5717.40785203,20171108-153142
45000,50000,31,5000,9635.0,5732.38540547,20171108-153142
50000,55000,32,5000,9938.0,5747.20552575,20171108-153142
55000,60000,33,5000,10250.0,5817.7220178,20171108-153142
60000,65000,34,5000,10563.0,5885.25943852,20171108-153142
65000,70000,35,5000,10869.0,5987.50225753,20171108-153142
70000,75000,36,5000,11175.0,6047.26734462,20171108-153142
75000,80000,37,5000,11476.0,6132.33979044,20171108-153142
80000,85000,38,5000,11776.0,6214.93930962,20171108-153142
85000,90000,39,5000,12089.0,6272.81139259,20171108-153142
90000,95000,40,5000,12401.0,6370.78462381,20171108-153142
95000,100000,41,5000,12712.0,6449.7631326,20171108-153142
100000,105000,42,5000,13024.0,6545.08194572,20171108-153142
105000,110000,43,5000,13328.0,6630.38728978,20171108-153142
110000,115000,44,5000,13633.0,6700.85001794,20171108-153142
115000,120000,45,5000,13936.0,6769.98424293,20171108-153142
120000,125000,46,5000,14240.0,6838.07615309,20171108-153142
125000,130000,47,5000,14560.0,6888.93509107,20171108-153142
130000,135000,48,5000,14880.0,6972.30744481,20171108-153142
135000,140000,49,5000,15193.0,7056.91715118,20171108-153143
140000,145000,50,5000,15506.0,7120.32034046,20171108-153143
145000,150000,51,5000,15813.0,7181.18523172,20171108-153143
150000,155000,52,5000,16119.0,7240.71618246,20171108-153143
155000,160000,53,5000,16434.0,7303.22070575,20171108-153143
160000,165000,54,5000,16748.0,7338.16624012,20171108-153143
165000,170000,55,5000,17053.0,7406.1939413,20171108-153143
170000,175000,56,5000,17359.0,7475.15208078,20171108-153143
175000,180000,57,5000,17659.0,7501.88357696,20171108-153143
180000,185000,58,5000,17958.0,7552.86070469,20171108-153143
185000,190000,59,5000,18266.0,7605.24978499,20171108-153143
190000,195000,60,5000,18575.0,7630.96548625,20171108-153143
195000,200000,61,5000,18899.0,7651.2027394,20171108-153143
200000,205000,62,5000,19223.0,7681.15313766,20171108-153143
205000,210000,63,5000,19526.0,7717.61573731,20171108-153143
210000,215000,64,5000,19829.0,7743.84548222,20171108-153143
215000,220000,65,5000,20134.0,7740.96093051,20171108-153143
220000,225000,66,5000,20439.0,7727.0445955,20171108-153143
225000,230000,67,5000,20746.0,7748.12772871,20171108-153143
230000,235000,68,5000,21053.0,7746.51523657,20171108-153143
235000,240000,69,5000,21368.0,7772.97108384,20171108-153143
240000,245000,70,5000,21683.0,7796.99237037,20171108-153143
245000,250000,71,5000,21983.0,7802.59192521,20171108-153143
250000,255000,72,5000,22284.0,7819.8549708,20171108-153143
255000,260000,73,5000,22596.0,7870.00608462,20171108-153143
260000,265000,74,5000,22907.0,7864.89659714,20171108-153143
265000,270000,75,5000,23219.0,7881.72155059,20171108-153143
270000,275000,76,5000,23530.0,7906.58836772,20171108-153143
275000,280000,77,5000,23830.0,7927.70462664,20171108-153143
280000,285000,78,5000,24129.0,7946.86643244,20171108-153143
285000,290000,79,5000,24436.0,7915.47838694,20171108-153143
290000,295000,80,5000,24743.0,7890.4325627,20171108-153144
295000,300000,81,5000,25057.0,7939.88788373,20171108-153144
300000,305000,82,5000,25371.0,7979.6944983,20171108-153144
305000,310000,83,5000,25675.0,8014.75607404,20171108-153144
310000,315000,84,5000,25979.0,8048.07697639,20171108-153144
315000,320000,85,5000,26276.0,8069.78869482,20171108-153144
320000,325000,86,5000,26573.0,8112.28535968,20171108-153144
325000,330000,87,5000,26888.0,8148.07375951,20171108-153144
330000,335000,88,5000,27202.0,8162.84101816,20171108-153144
335000,340000,89,5000,27514.0,8178.92444376,20171108-153144
340000,345000,90,5000,27827.0,8213.75857729,20171108-153144
345000,350000,91,5000,28137.0,8225.95872046,20171108-153144
350000,355000,92,5000,28447.0,8258.12400887,20171108-153144
355000,360000,93,5000,28749.0,8288.26262225,20171108-153144
360000,365000,94,5000,29052.0,8299.46163483,20171108-153144
365000,370000,95,5000,29357.0,8310.14721165,20171108-153144
370000,375000,96,5000,29662.0,8318.61185357,20171108-153144
375000,380000,97,5000,29974.0,8349.19846848,20171108-153144
380000,385000,98,5000,30285.0,8336.37935155,20171108-153144
385000,390000,99,5000,30599.0,8352.62774369,20171108-153144
390000,395000,100,5000,30913.0,8355.81992803,20171108-153144
395000,400000,101,5000,31223.0,8364.11971765,20171108-153144
400000,405000,102,5000,31534.0,8374.98132587,20171108-153144
405000,410000,103,5000,31842.0,8393.0235496,20171108-153144
410000,415000,104,5000,32149.0,8392.3513923,20171108-153144
415000,420000,105,5000,32463.0,8404.16177011,20171108-153144
420000,425000,106,5000,32777.0,8433.37174131,20171108-153144
425000,430000,107,5000,33086.0,8460.06623094,20171108-153144
430000,435000,108,5000,33394.0,8486.61295357,20171108-153144
435000,440000,109,5000,33693.0,8511.86059018,20171108-153144
440000,445000,110,5000,33992.0,8536.44991009,20171108-153144
445000,450000,111,5000,34308.0,8546.50561291,20171108-153144
450000,455000,112,5000,34625.0,8573.30104596,20171108-153144
455000,460000,113,5000,34939.0,8608.83035149,20171108-153144
460000,465000,114,5000,35254.0,8635.08790608,20171108-153144
465000,470000,115,5000,35566.0,8668.1012567,20171108-153144
470000,475000,116,5000,35879.0,8692.47717448,20171108-153144
475000,480000,117,5000,36192.0,8699.77195907,20171108-153145
480000,485000,118,5000,36506.0,8724.35689047,20171108-153145
485000,490000,119,5000,36815.0,8747.5911787,20171108-153145
490000,495000,120,5000,37124.0,8779.45800536,20171108-153145
495000,500000,121,5000,37423.0,8800.84737654,20171108-153145
500000,505000,122,5000,37724.0,8821.57857838,20171108-153145
505000,510000,123,5000,38038.0,8839.23615379,20171108-153145
510000,515000,124,5000,38353.0,8872.81089116,20171108-153145
515000,520000,125,5000,38654.0,8892.78428299,20171108-153145
