CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000057,Mapper-0-58,N/A,0.572,N/A,0.919,14.591,14.593,0.010486,4.805207,0.003787

unit.000058,Mapper-0-59,N/A,0.573,N/A,0.928,12.434,12.435,0.014064,3.87601,0.00387

unit.000059,Mapper-0-60,N/A,0.576,N/A,0.946,12.434,12.436,0.024665,3.870203,0.00378

unit.000060,Mapper-0-61,N/A,0.578,N/A,0.964,12.436,12.438,0.010988,3.821494,0.003777

unit.000061,Mapper-0-62,N/A,0.58,N/A,0.986,13.48,13.481,0.006998,4.216332,0.003679

unit.000062,Mapper-0-63,N/A,0.583,N/A,1.004,12.437,12.439,0.020414,3.81029,0.004735

unit.000063,Mapper-0-64,N/A,0.584,N/A,1.013,12.439,12.442,0.023704,3.710825,0.004766

unit.000064,Mapper-0-65,N/A,0.585,N/A,1.023,13.482,13.485,0.023593,3.825486,0.00386

unit.000065,Mapper-0-66,N/A,0.588,N/A,1.041,13.485,13.491,0.020597,4.063524,0.003778

unit.000066,Mapper-0-67,N/A,0.589,N/A,1.059,13.491,13.492,0.02625,3.876181,0.003579

unit.000067,Mapper-0-68,N/A,0.591,N/A,1.078,14.596,14.604,0.026518,3.893658,0.003554

unit.000068,Mapper-0-69,N/A,0.542,N/A,0.644,12.424,12.426,0.030191,3.863499,0.003704

unit.000069,Mapper-0-70,N/A,0.534,N/A,0.575,12.418,12.42,0.030065,4.456054,0.003838

unit.000070,Mapper-0-71,N/A,0.536,N/A,0.595,13.449,13.451,0.03013,5.053867,0.004009

unit.000071,Mapper-0-72,N/A,0.537,N/A,0.605,13.456,13.458,0.030108,4.962735,0.00388

unit.000072,Mapper-0-73,N/A,0.54,N/A,0.624,12.421,12.422,0.030232,3.939879,0.003659

unit.000073,Mapper-0-74,N/A,0.541,N/A,0.634,12.421,12.424,0.030091,4.314901,0.003813

unit.000074,Mapper-0-75,N/A,0.543,N/A,0.653,12.425,12.426,0.030179,3.823554,0.003829

unit.000075,Mapper-0-76,N/A,0.548,N/A,0.682,12.429,12.43,0.030129,4.021068,0.004002

unit.000076,Mapper-0-77,N/A,0.637,N/A,1.388,13.547,13.549,0.03025,3.955085,0.003781

unit.000077,Mapper-0-78,N/A,0.552,N/A,0.712,13.456,13.459,0.024731,4.046179,0.003994

unit.000078,Mapper-0-79,N/A,0.538,N/A,0.614,12.419,12.421,0.030178,4.038177,0.00401

unit.000079,Mapper-0-80,N/A,0.628,N/A,1.332,14.619,14.621,0.037914,3.854682,0.00358

unit.000080,Mapper-0-81,N/A,0.555,N/A,0.74,13.46,13.462,0.024665,3.979914,0.003689

unit.000081,Mapper-0-82,N/A,0.554,N/A,0.731,13.459,13.461,0.024507,4.094447,0.00372

unit.000082,Mapper-0-83,N/A,0.558,N/A,0.76,13.462,13.465,0.024531,4.055318,0.004863

unit.000083,Mapper-0-84,N/A,0.576,N/A,0.955,14.594,14.595,0.011253,5.250044,0.004021

unit.000084,Mapper-0-85,N/A,0.609,N/A,1.219,12.442,12.443,0.015709,3.895578,0.00369

unit.000085,Mapper-0-86,N/A,0.568,N/A,0.828,13.472,13.474,0.024496,4.142685,0.003858

