t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1509121565,1155,24.496472,0.160900,0.001213,0.927277,0.099642,0.180213,0.280189,0.408752,0.648491,12.568710,110.801495,16.087508,3.960258,1.859277,calls/second,milliseconds
1509121575,2319,24.496472,0.138313,0.001241,0.918891,0.022599,0.147106,0.250321,0.344959,0.545243,11.696779,114.070987,33.553270,8.235626,3.331796,calls/second,milliseconds
1509121585,2319,24.496472,0.138313,0.001241,0.918891,0.022599,0.147106,0.250321,0.344959,0.545243,11.696779,76.459494,28.402230,7.965630,3.294981,calls/second,milliseconds
1509121595,2319,24.496472,0.138313,0.001241,0.918891,0.022599,0.147106,0.250321,0.344959,0.545243,11.696779,57.506499,24.041969,7.704486,3.258573,calls/second,milliseconds
1509121605,2319,24.496472,0.138313,0.001241,0.918891,0.022599,0.147106,0.250321,0.344959,0.545243,11.696779,46.078119,20.351087,7.451903,3.222567,calls/second,milliseconds
1509121615,2319,24.496472,0.138313,0.001241,0.918891,0.022599,0.147106,0.250321,0.344959,0.545243,11.696779,38.440501,17.226823,7.207600,3.186959,calls/second,milliseconds
1509121625,3350,11.696779,0.101126,0.000750,0.309844,0.006090,0.159380,0.322248,0.385188,0.464038,1.811345,47.635778,30.567075,10.323952,4.278307,calls/second,milliseconds
1509121635,4248,8.548755,0.122557,0.000750,0.353654,0.077602,0.169293,0.358164,0.435198,0.548846,8.548755,52.884952,39.855510,12.971915,5.237632,calls/second,milliseconds
1509121645,4248,8.548755,0.122557,0.000750,0.353654,0.077602,0.169293,0.358164,0.435198,0.548846,8.548755,47.030469,33.736961,12.546645,5.179758,calls/second,milliseconds
1509121655,4248,8.548755,0.122557,0.000750,0.353654,0.077602,0.169293,0.358164,0.435198,0.548846,8.548755,42.342250,28.557721,12.135317,5.122523,calls/second,milliseconds
1509121665,4248,8.548755,0.122557,0.000750,0.353654,0.077602,0.169293,0.358164,0.435198,0.548846,8.548755,38.504882,24.173589,11.737474,5.065922,calls/second,milliseconds
1509121675,4248,8.548755,0.122557,0.000750,0.353654,0.077602,0.169293,0.358164,0.435198,0.548846,8.548755,35.304964,20.462501,11.352674,5.009945,calls/second,milliseconds
1509121685,4456,8.548755,0.110039,0.000750,0.451745,0.003355,0.140757,0.344099,0.392049,0.544462,8.548755,34.191837,20.336556,11.644308,5.179441,calls/second,milliseconds
1509121695,4826,10.046082,0.131945,0.000750,0.543051,0.003305,0.221148,0.335047,0.381252,0.444783,10.046082,34.389812,19.920315,11.850214,5.320827,calls/second,milliseconds
1509121705,5237,10.046082,0.156460,0.000756,0.540561,0.003666,0.224025,0.380862,0.700518,1.183897,10.046082,34.838028,25.694172,13.409928,5.922159,calls/second,milliseconds
1509121715,5407,10.046082,0.201562,0.000756,0.580257,0.146132,0.288701,0.401891,0.544462,1.183897,10.046082,33.725590,24.424070,13.543498,6.050031,calls/second,milliseconds
1509121725,5615,10.046082,0.169415,0.000814,0.563070,0.003543,0.264681,0.399954,0.452749,0.872884,10.046082,32.966871,23.703385,13.766505,6.209130,calls/second,milliseconds
1509121735,5786,10.046082,0.196758,0.000814,0.527403,0.166802,0.291020,0.405115,0.469114,0.824427,10.046082,32.087285,22.715856,13.876910,6.329595,calls/second,milliseconds
1509121745,6421,6.945998,0.134012,0.000815,0.354910,0.005981,0.251059,0.353500,0.413738,0.452749,6.760545,33.737167,28.583138,15.479052,6.956322,calls/second,milliseconds
1509121755,7151,6.945998,0.161163,0.000815,0.446776,0.003774,0.251370,0.407151,0.814809,1.171413,6.760545,35.693166,35.505556,17.384975,7.692764,calls/second,milliseconds
1509121765,7530,6.945998,0.153012,0.000400,0.405748,0.003706,0.264054,0.364682,0.717618,0.917902,6.760545,35.800258,36.016357,18.066280,8.028261,calls/second,milliseconds
1509121775,7659,6.945998,0.167932,0.000400,0.392272,0.103802,0.281813,0.382725,0.657974,0.871700,6.760545,34.761827,32.228311,17.836860,8.061349,calls/second,milliseconds
1509121785,8106,6.945998,0.139633,0.000400,0.331501,0.080322,0.250041,0.347081,0.492969,0.768174,6.105194,35.193920,34.136719,18.767097,8.485756,calls/second,milliseconds
1509121795,8106,6.945998,0.139633,0.000400,0.331501,0.080322,0.250041,0.347081,0.492969,0.768174,6.105194,33.729341,28.896109,18.151838,8.391991,calls/second,milliseconds
1509121805,8303,10.817144,0.134906,0.000207,0.552276,0.002212,0.217209,0.330291,0.463015,0.814809,10.817144,33.169022,27.363512,18.197429,8.516360,calls/second,milliseconds
1509121815,9074,10.817144,0.146000,0.000207,0.502850,0.002635,0.225607,0.348939,0.560251,0.917902,10.817144,34.856373,35.296242,20.141189,9.275610,calls/second,milliseconds
1509121825,9143,10.817144,0.166034,0.000207,0.520621,0.005303,0.248836,0.384740,0.560251,1.434697,10.817144,33.822588,30.803830,19.672559,9.237378,calls/second,milliseconds
1509121835,9459,10.817144,0.151435,0.000207,0.490414,0.002539,0.243791,0.369957,0.560251,0.917902,10.817144,33.743068,31.133923,20.101315,9.496818,calls/second,milliseconds
1509121845,9545,10.817144,0.176914,0.000207,0.491745,0.090228,0.271961,0.389482,0.581653,1.712207,10.817144,32.877191,27.563229,19.693277,9.476061,calls/second,milliseconds
1509121855,10035,10.817144,0.138208,0.000481,0.371156,0.080322,0.246997,0.362617,0.443151,0.716539,2.766613,33.414415,30.688039,20.673190,9.922300,calls/second,milliseconds
1509121865,10233,10.817144,0.122472,0.000481,0.385433,0.002255,0.208892,0.347469,0.436222,0.834823,3.704425,32.975257,28.880348,20.636121,10.029760,calls/second,milliseconds
