Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
490000,495000,120,5000,37497.0,8829.00380513
495000,500000,121,5000,37825.0,8839.05611427
500000,505000,122,5000,38153.0,8865.59922022
505000,510000,123,5000,38471.0,8874.6449274
510000,515000,124,5000,38790.0,8882.36538782
515000,520000,125,5000,39095.0,8886.05140803
520000,525000,126,5000,39400.0,8890.12045344
525000,530000,127,5000,39710.0,8912.43186227
530000,535000,128,5000,40020.0,8917.412334
535000,540000,129,5000,40323.0,8936.37737149
540000,545000,130,5000,40625.0,8954.95624467
545000,550000,131,5000,40946.0,8984.28406999
550000,555000,132,5000,41266.0,9005.69799818
555000,560000,133,5000,41579.0,9004.16465045
560000,565000,134,5000,41892.0,9009.31708597
565000,570000,135,5000,42202.0,9021.56752207
570000,575000,136,5000,42513.0,9026.34074716
575000,580000,137,5000,42823.0,9043.63012835
580000,585000,138,5000,43132.0,9062.86026154
585000,590000,139,5000,43453.0,9084.29530527
590000,595000,140,5000,43773.0,9104.33208972
595000,600000,141,5000,44079.0,9106.80629212
600000,605000,142,5000,44384.0,9110.82791012
605000,610000,143,5000,44710.0,9116.90051503
610000,615000,144,5000,45035.0,9121.33418283
615000,620000,145,5000,45346.0,9138.8102884
620000,625000,146,5000,45658.0,9141.87547305
625000,630000,147,5000,45969.0,9158.16174289
630000,635000,148,5000,46279.0,9160.40546349
635000,640000,149,5000,46580.0,9174.54119095
640000,645000,150,5000,46880.0,9188.74244511
645000,650000,151,5000,47207.0,9193.3253346
650000,655000,152,5000,47533.0,9169.88202576
655000,660000,153,5000,47852.0,9145.44915075
660000,665000,154,5000,48172.0,9120.75558103
665000,670000,155,5000,48485.0,9124.86377665
670000,675000,156,5000,48798.0,9128.92615965
675000,680000,157,5000,49112.0,9105.36356086
680000,685000,158,5000,49425.0,9059.32227966
685000,690000,159,5000,49734.0,9019.13345452
690000,695000,160,5000,50044.0,9003.87893813
695000,700000,161,5000,50358.0,8976.74085895
700000,705000,162,5000,50672.0,8950.68908883
705000,710000,163,5000,50976.0,8935.36855885
710000,715000,164,5000,51281.0,8938.17959163
715000,720000,165,5000,51579.0,8934.16229071
720000,725000,166,5000,51877.0,8954.75488754
725000,730000,167,5000,52192.0,8972.72827861
730000,735000,168,5000,52506.0,8972.34165101
735000,740000,169,5000,52822.0,8965.10414959
740000,745000,170,5000,53138.0,8942.31820086
745000,750000,171,5000,53446.0,8921.493554
750000,755000,172,5000,53754.0,8901.31050241
755000,760000,173,5000,54058.0,8921.6397491
760000,765000,174,5000,54363.0,8936.68068805
765000,770000,175,5000,54676.0,8934.88931601
770000,775000,176,5000,54989.0,8933.84430848
775000,780000,177,5000,55288.0,8930.33950287
780000,785000,178,5000,55588.0,8937.65988833
785000,790000,179,5000,55903.0,8935.67024668
790000,795000,180,5000,56218.0,8919.78670897
795000,800000,181,5000,56525.0,8915.50529356
800000,805000,182,5000,56832.0,8930.15549515
805000,810000,183,5000,57145.0,8934.56137324
810000,815000,184,5000,57457.0,8949.7093061
815000,820000,185,5000,57757.0,8963.65112057
820000,825000,186,5000,58056.0,8977.79811485
825000,830000,187,5000,58356.0,8991.82351599
830000,835000,188,5000,58656.0,9011.09201166
835000,840000,189,5000,58961.0,9030.28526692
840000,845000,190,5000,59266.0,9043.9706848
845000,850000,191,5000,59583.0,9048.00421863
850000,855000,192,5000,59899.0,9051.2445042
855000,860000,193,5000,60210.0,9064.94926998
860000,865000,194,5000,60520.0,9067.30928439
865000,870000,195,5000,60836.0,9081.7214716
870000,875000,196,5000,61152.0,9084.29711625
875000,880000,197,5000,61467.0,9087.5489908
880000,885000,198,5000,61783.0,9107.33558041
885000,890000,199,5000,62097.0,9112.69454646
890000,895000,200,5000,62411.0,9127.60706617
895000,900000,201,5000,62724.0,9146.51624008
900000,905000,202,5000,63038.0,9160.66243346
905000,910000,203,5000,63347.0,9180.58080993
910000,915000,204,5000,63655.0,9181.59268475
915000,920000,205,5000,63957.0,9161.71386017
920000,925000,206,5000,64259.0,9087.15770562
925000,930000,207,5000,64572.0,9099.50400223
930000,935000,208,5000,64885.0,9110.33891988
935000,940000,209,5000,65202.0,9113.47491414
940000,945000,210,5000,65519.0,9096.123985
945000,950000,211,5000,65821.0,9114.71065781
950000,955000,212,5000,66122.0,9126.09898754
955000,960000,213,5000,66445.0,9129.35039729
960000,965000,214,5000,66768.0,9118.38914123
965000,970000,215,5000,67082.0,9091.97107991
970000,975000,216,5000,67397.0,9094.78206022
975000,980000,217,5000,67715.0,9097.61933836
980000,985000,218,5000,68033.0,9090.11334333
985000,990000,219,5000,68333.0,9091.40747139
990000,995000,220,5000,68634.0,9107.4768569
995000,1000000,221,5000,68950.0,9111.09640608
0,5000,222,5000,69266.0,7453.88638577
5000,10000,223,5000,69580.0,7423.12960452
10000,15000,224,5000,69894.0,7440.58200081
15000,20000,225,5000,70208.0,7457.96265443
20000,25000,226,5000,70522.0,7474.8900796
25000,30000,227,5000,70835.0,7493.04263329
30000,35000,228,5000,71149.0,7507.14457396
35000,40000,229,5000,71463.0,7514.52367077
40000,45000,230,5000,71777.0,7521.70125259
45000,50000,231,5000,72090.0,7529.14685263
50000,55000,232,5000,72404.0,7536.37366532
55000,60000,233,5000,72718.0,7543.98315617
60000,65000,234,5000,73032.0,7551.59061449
65000,70000,235,5000,73345.0,7546.12818619
70000,75000,236,5000,73659.0,7540.94180752
75000,80000,237,5000,73973.0,7539.44802027
80000,85000,238,5000,74287.0,7534.65537262
85000,90000,239,5000,74600.0,7541.84938745
90000,95000,240,5000,74914.0,7548.98899589
95000,100000,241,5000,75228.0,7555.82416051
100000,105000,242,5000,75542.0,7562.78532096
105000,110000,243,5000,75861.0,7570.09674087
110000,115000,244,5000,76179.0,7564.87468524
115000,120000,245,5000,76498.0,7571.5959925
120000,125000,246,5000,76817.0,7588.28957061
125000,130000,247,5000,77135.0,7605.16811627
130000,135000,248,5000,77454.0,7617.78912249
135000,140000,249,5000,77772.0,7624.41285985
140000,145000,250,5000,78091.0,7631.21852718
145000,150000,251,5000,78410.0,7638.30085365
150000,155000,252,5000,78729.0,7645.28019515
155000,160000,253,5000,79047.0,7652.194427
160000,165000,254,5000,79366.0,7658.94114249
165000,170000,255,5000,79684.0,7665.85410467
170000,175000,256,5000,80003.0,7666.52332917
175000,180000,257,5000,80322.0,7658.56542021
