,Atoms,Cores,Framework,Approach,Type,Time
0,131,32.0,Spark,1,Overhead,1.89614899953
1,131,64.0,Spark,1,Overhead,1.90902034442
2,131,128.0,Spark,1,Overhead,1.89374534289
3,131,256.0,Spark,1,Overhead,1.95046337446
4,131,32.0,Spark,1,Edge Disc,18.9948573112
5,131,64.0,Spark,1,Edge Disc,13.1998586655
6,131,128.0,Spark,1,Edge Disc,11.8160930475
7,131,256.0,Spark,1,Edge Disc,12.7865549723
8,131,32.0,Spark,1,ConnComp,3.74133300781
9,131,64.0,Spark,1,ConnComp,3.6140786012
10,131,128.0,Spark,1,ConnComp,3.59373990695
11,131,256.0,Spark,1,ConnComp,3.71909205119
12,131,32.0,Spark,1,TotalTime,24.6400288741
13,131,64.0,Spark,1,TotalTime,18.7304550012
14,131,128.0,Spark,1,TotalTime,17.3111302853
15,131,256.0,Spark,1,TotalTime,18.4636233648
0,262,32.0,Spark,1,Overhead,1.94615896543
1,262,64.0,Spark,1,Overhead,1.89490731557
2,262,128.0,Spark,1,Overhead,1.94196534157
3,262,256.0,Spark,1,Overhead,1.93380514781
4,262,32.0,Spark,1,Edge Disc,51.4011110465
5,262,64.0,Spark,1,Edge Disc,30.0138285955
6,262,128.0,Spark,1,Edge Disc,19.4496428967
7,262,256.0,Spark,1,Edge Disc,15.0526479085
8,262,32.0,Spark,1,ConnComp,6.99726430575
9,262,64.0,Spark,1,ConnComp,7.02118213971
10,262,128.0,Spark,1,ConnComp,7.06027563413
11,262,256.0,Spark,1,ConnComp,7.26589369774
12,262,32.0,Spark,1,TotalTime,60.3577549458
13,262,64.0,Spark,1,TotalTime,38.9392630259
14,262,128.0,Spark,1,TotalTime,28.460505565
15,262,256.0,Spark,1,TotalTime,24.2656733195
0,524,32.0,Spark,1,Overhead,1.93731872241
1,524,64.0,Spark,1,Overhead,1.94105799993
2,524,128.0,Spark,1,Overhead,2.10750929515
3,524,256.0,Spark,1,Overhead,1.9601829052
4,524,32.0,Spark,1,Edge Disc,182.382382631
5,524,64.0,Spark,1,Edge Disc,95.9411633809
6,524,128.0,Spark,1,Edge Disc,53.4561870893
7,524,256.0,Spark,1,Edge Disc,33.4643610319
8,524,32.0,Spark,1,ConnComp,15.0077530543
9,524,64.0,Spark,1,ConnComp,14.8874173164
10,524,128.0,Spark,1,ConnComp,14.9530069828
11,524,256.0,Spark,1,ConnComp,14.8068839709
12,524,32.0,Spark,1,TotalTime,199.339584668
