Number_Clusters,Number_Points_per_Cluster,        Number_Dim,Number_Points_per_Message,Interval,        Number_Partitions, Time
100,100,3,5000,120,384,0.07213
100,1000,3,5000,120,384,1.10293
100,10000,3,5000,120,384,6.11646
100,100000,3,5000,120,384,61.88385
100,1000000,3,5000,120,384,671.99291
