TIMESTAMP        work-RQ          work-RD          work-WR          
1481755758 1318246 46172655807 43776543042
1481755760 1318246 46172655807 43776543042
1481755762 1318246 46172655807 43776543042
1481755763 1318246 46172655807 43776543042
1481755764 1318246 46172655807 43776543042
1481755766 1318246 46172655807 43776543042
1481755767 1318246 46172655807 43776543042
1481755768 1318246 46172655807 43776543042
1481755769 1318246 46172655807 43776543042
1481755771 1318246 46172655807 43776543042
1481755772 1318246 46172655807 43776543042
1481755773 1318246 46172655807 43776543042
1481755774 1318246 46172655807 43776543042
1481755775 1318246 46172655807 43776543042
1481755776 1318246 46172655807 43776543042
1481755777 1318246 46172655807 43776543042
1481755778 1318246 46172655807 43776543042
1481755780 1318246 46172655807 43776543042
1481755781 1318246 46172655807 43776543042
1481755782 1318246 46172655807 43776543042
1481755783 1318246 46172655807 43776543042
1481755784 1318246 46172655807 43776543042
1481755785 1318247 46172655807 43776543042
1481755786 1318247 46172655807 43776543042
1481755787 1318248 46172655807 43776543042
1481755789 1318248 46172655807 43776543042
1481755790 1318248 46172655807 43776543042
1481755791 1318248 46172655807 43776543042
1481755793 1318248 46172655807 43776543042
1481755795 1318248 46172655807 43776543042
1481755796 1318248 46172655807 43776543042
1481755797 1318248 46172655807 43776543042
1481755799 1318248 46172655807 43776543042
1481755800 1318248 46172655807 43776543042
1481755801 1318248 46172655807 43776543042
1481755802 1318248 46172655807 43776543042
1481755804 1318248 46172655807 43776543042
1481755805 1318248 46172655807 43776543042
1481755806 1318249 46172655807 43776543042
1481755807 1318249 46172655807 43776543042
1481755808 1318249 46172655807 43776543042
1481755809 1318249 46172655807 43776543042
1481755810 1318249 46172655807 43776543042
1481755812 1318249 46172655807 43776543042
1481755813 1318250 46172655807 43776543042
1481755814 1318250 46172655807 43776543042
1481755815 1318250 46172655807 43776543042
1481755816 1318250 46172655807 43776543042
1481755817 1318250 46172655807 43776543042
1481755818 1318250 46172655807 43776543042
1481755820 1318250 46172655807 43776543042
1481755821 1318250 46172655807 43776543042
1481755822 1318250 46172655807 43776543042
1481755823 1318250 46172655807 43776543042
1481755824 1318250 46172655807 43776543042
1481755825 1318250 46172655807 43776543042
1481755826 1318250 46172655807 43776543042
1481755828 1318250 46172655807 43776543042
1481755829 1318250 46172655807 43776543042
1481755831 1318250 46172655807 43776543042
1481755832 1318250 46172655807 43776543042
1481755833 1318250 46172655807 43776543042
1481755835 1318251 46172655807 43776543042
1481755836 1318251 46172655807 43776543042
1481755838 1318252 46172655807 43776543042
1481755839 1318252 46172655807 43776543042
1481755841 1318252 46172655807 43776543042
1481755843 1318252 46172655807 43776543042
1481755844 1318252 46172655807 43776543042
1481755845 1318252 46172655807 43776543042
1481755846 1318252 46172655807 43776543042
1481755847 1318252 46172655807 43776543042
1481755848 1318252 46172655807 43776543042
1481755849 1318252 46172655807 43776543042
1481755850 1318252 46172655807 43776543042
1481755852 1318252 46172655807 43776543042
1481755853 1318252 46172655807 43776543042
1481755854 1318252 46172655807 43776543042
1481755855 1318252 46172655807 43776543042
1481755856 1318252 46172655807 43776543042
1481755857 1318252 46172655807 43776543042
1481755858 1318252 46172655807 43776543042
1481755860 1318253 46172655807 43776543042
1481755861 1318253 46172655807 43776543042
1481755862 1318254 46172655807 43776543042
1481755864 1318254 46172655807 43776543042
1481755865 1318254 46172655807 43776543042
1481755866 1318254 46172655807 43776543042
1481755867 1318254 46172655807 43776543042
1481755869 1318254 46172655807 43776543042
1481755870 1318254 46172655807 43776543042
1481755871 1318254 46172655807 43776543042
1481755872 1318254 46172655807 43776543042
1481755873 1318254 46172655807 43776543042
1481755875 1318254 46172655807 43776543042
1481755877 1318254 46172655807 43776543042
1481755878 1318254 46172655807 43776543042
1481755879 1318254 46172655807 43776543042
1481755880 1318254 46172655807 43776543042
1481755881 1318254 46172655807 43776543042
1481755883 1318254 46172655807 43776543042
1481755884 1318254 46172655807 43776543042
1481755885 1318255 46172655807 43776543042
1481755886 1318256 46172655807 43776543042
1481755887 1318256 46172655807 43776543042
1481755888 1318256 46172655807 43776543042
1481755889 1318256 46172655807 43776543042
1481755890 1318256 46172655807 43776543042
1481755892 1318256 46172655807 43776543042
1481755893 1318256 46172655807 43776543042
1481755894 1318256 46172655807 43776543042
1481755895 1318256 46172655807 43776543042
1481755896 1318256 46172655807 43776543042
1481755897 1318256 46172655807 43776543042
1481755898 1318256 46172655807 43776543042
1481755900 1318256 46172655807 43776543042
1481755901 1318256 46172655807 43776543042
1481755902 1318256 46172655807 43776543042
1481755903 1318256 46172655807 43776543042
1481755904 1318256 46172655807 43776543042
1481755906 1318256 46172655807 43776543042
1481755908 1318256 46172655807 43776543042
1481755909 1318256 46172655807 43776543042
1481755911 1318258 46172655807 43776543042
1481755912 1318258 46172655807 43776543042
1481755913 356268 12676652519 30417065537
