#HOST     VIRT_MAX  RES_MAX  FREE_MIN
c405-004 2.2481 0.1882 19.0354
c405-501 0.6937 0.1182 19.0813
c415-304 0.6937 0.1208 19.0928
c416-403 0.6937 0.1208 19.0940
c416-701 0.6937 0.1196 19.0947
c417-702 0.6937 0.1208 19.0942
c419-002 0.6937 0.1208 19.0825
c419-003 0.6937 0.1208 19.0931
c419-501 0.6937 0.1208 19.0868
c419-603 0.6937 0.1208 19.0971
c419-604 0.6937 0.1208 19.0981
c419-702 0.6937 0.1208 19.0997
c419-703 0.6937 0.1208 19.0986
c420-702 0.6937 0.1208 19.0653
c421-502 0.6937 0.1208 19.0841
c421-503 0.6937 0.1208 19.1376
