TIMESTAMP        work-RQ          work-RD          work-WR          
1481824334 5888049 12015310774250 43549226661
1481824335 5888835 12015310861898 43549266614
1481824336 5889637 12015310949546 43549306565
1481824337 5890465 12015311057078 43549351473
1481824338 5891286 12015311164626 43549396378
1481824339 5892133 12015311292090 43549446278
1481824341 5892976 12015311431466 43549499154
1481824342 5893908 12015412243292 43549554023
1481824343 5894784 12015466936384 43549613840
1481824344 5895708 12015626476342 43549670674
1481824345 5896600 12015756686658 43549735421
1481824346 5897585 12015979192624 43549805110
1481824347 5898547 12016226864390 43549874782
1481824348 5899469 12016432611810 43549949419
1481824350 5900459 12016768415556 43550031986
1481824351 5901461 12017116810090 43550116514
1481824352 5902403 12017498757946 43550201054
1481824353 5903445 12017964612944 43550290565
1481824355 5904476 12018455634900 43550380064
1481824356 5905510 12018997006076 43550474539
1481824357 5906507 12019437733692 43550573945
1481824358 5907569 12020025255166 43550671457
1481824359 5908580 12020633770782 43550774809
1481824360 5909687 12021309412308 43550882108
1481824361 5910832 12022031258334 43551006329
1481824362 5911932 12022820251738 43551140356
1481824364 5913098 12023605051976 43551274365
1481824365 5914255 12024503098462 43551408395
1481824366 5915360 12025451475382 43551542393
1481824367 5916556 12026471157830 43551679171
1481824368 5917681 12027398563294 43551813184
1481824369 5918788 12028330163062 43551947196
1481824370 5919915 12029253374198 43552081206
1481824371 5921040 12030184973942 43552215217
1481824373 5922145 12031091407886 43552349234
1481824374 5923272 12032010424742 43552483244
1481824375 5924389 12032942024498 43552617258
1481824376 5925510 12033886207142 43552751249
1481824377 5926613 12034822001178 43552885248
1481824378 5927746 12035694880694 43553019259
1481824379 5928851 12036613897554 43553153275
1481824380 5929996 12037537108706 43553287287
1481824382 5931103 12038602926210 43553421296
1481824383 5932234 12039542914558 43553555303
1481824384 5933339 12040461931362 43553689312
1481824385 5934462 12041439668410 43553823302
1481824386 5935581 12042455154246 43553957310
1481824387 5936692 12043432891326 43554091315
1481824388 5937805 12044444182814 43554225306
1481824389 5938936 12045400948410 43554359312
1481824391 5940059 12046282216538 43554493318
1481824392 5941166 12047167678934 43554627321
1481824393 5942299 12048032169834 43554761331
1481824394 5943406 12048884077834 43554895341
1481824395 5944553 12049752763050 43555029354
1481824396 5945656 12050634031190 43555163367
1481824397 5946761 12051523687914 43555297372
1481824399 5947880 12052396567410 43555431377
1481824400 5949013 12053323972862 43555565380
1481824401 5950126 12054184269474 43555699388
1481824402 5951229 12055069731914 43555833401
1481824403 5952362 12055951000038 43555967409
1481824404 5953467 12056765159310 43556101426
1481824405 5954614 12057612873018 43556235435
1481824406 5955721 12058510918350 43556369445
1481824408 5956828 12059358632054 43556503454
1481824409 5957949 12060210540114 43556637472
1481824410 5959082 12060986950726 43556771512
1481824411 5960193 12061796915746 43556905534
1481824412 5961296 12062661406742 43557039569
1481824413 5962425 12063462983166 43557173582
1481824414 5963536 12064285531098 43557307604
1481824415 5964679 12065112273338 43557441632
1481824417 5965784 12065871906742 43557575659
1481824418 5966909 12066669288882 43557709692
1481824419 5968024 12067428922286 43557843732
1481824420 5969145 12068184361362 43557977765
1481824421 5970266 12068960771990 43558111801
1481824423 5971369 12069779125634 43558245817
1481824424 5972490 12070584896390 43558379855
1481824425 5973629 12071394861402 43558513888
1481824426 5974746 12072188049226 43558647912
1481824427 5975851 12072939294022 43558781944
1481824428 5976984 12073862505266 43558915972
1481824429 5978101 12074676664642 43559050017
1481824430 5979220 12075474046766 43559184054
1481824432 5980333 12076288206106 43559318077
1481824433 5981456 12077056228114 43559452108
1481824434 5982559 12077861998858 43559586133
1481824435 5983700 12078676158198 43559720158
1481824436 5984811 12079481928930 43559854192
1481824437 5985914 12080220590798 43559988219
1481824438 5987047 12081022167214 43560122233
1481824439 5988160 12081811160706 43560256263
1481824441 5989301 12082608542834 43560390303
1481824442 5990408 12083397536334 43560524336
1481824443 5991523 12084119420990 43560658376
1481824444 5992654 12084933580286 43560792403
