['block_rmsd-678e6b30d1329190365ad7a7972bbd5c', 'processing', 'memory', 'tcp://129.114.91.3:38199', 47363083609856, [('compute', 1496176361.612907, 1496176368.962791)]]
['getitem-0b51235f6695e9caa84da1922ff17ef5', 'processing', 'memory', 'tcp://129.114.91.3:38199', 47363083609856, [('compute', 1496176368.963767, 1496176368.963773)]]
['block_rmsd-bd5cdab86d3c994e2d0ecf13e6e4a69e', 'processing', 'memory', 'tcp://129.114.91.1:60519', 47891426555648, [('compute', 1496176360.667956, 1496176369.119086)]]
['getitem-2963cfc010b0141c1046ec7758e6e33b', 'processing', 'memory', 'tcp://129.114.91.1:60519', 47891426555648, [('compute', 1496176369.1201901, 1496176369.120198)]]
['block_rmsd-5390e789e7af7b9584dd9ca496711683', 'processing', 'memory', 'tcp://129.114.91.3:47287', 47363083609856, [('compute', 1496176362.679323, 1496176369.168158)]]
['getitem-49f2f5e00008a245d36221436064e79a', 'processing', 'memory', 'tcp://129.114.91.3:47287', 47363083609856, [('compute', 1496176369.169127, 1496176369.169132)]]
['block_rmsd-f405cf8d91727261320f7514dfb668b5', 'processing', 'memory', 'tcp://129.114.90.254:33736', 47520476657408, [('compute', 1496176363.2399018, 1496176369.2310138)]]
['getitem-465a266fd6ba328d57fad6a51e41d799', 'processing', 'memory', 'tcp://129.114.90.254:33736', 47520476657408, [('compute', 1496176369.2320368, 1496176369.2320418)]]
['block_rmsd-dbd6cf1b3efff9aa285744bc9a16abe4', 'processing', 'memory', 'tcp://129.114.91.2:38443', 46941277345536, [('compute', 1496176352.881046, 1496176369.2677472)]]
['block_rmsd-baf1058aec2af616e287605505e88624', 'processing', 'memory', 'tcp://129.114.91.1:43114', 47891426555648, [('compute', 1496176361.096328, 1496176369.902036)]]
['getitem-32c1a625c4c05245930da45b040df0d6', 'processing', 'memory', 'tcp://129.114.91.1:43114', 47891426555648, [('compute', 1496176369.902927, 1496176369.902932)]]
['block_rmsd-740eaeda0668c6157d41e58d43b07ed7', 'processing', 'memory', 'tcp://129.114.91.3:53066', 47363083609856, [('compute', 1496176360.999827, 1496176370.002174)]]
['getitem-48a9978e3afba3309174ee7914d4b755', 'processing', 'memory', 'tcp://129.114.91.3:53066', 47363083609856, [('compute', 1496176370.0031028, 1496176370.0031087)]]
['block_rmsd-b126839a1a0fe0ee5f94d79096a51d57', 'processing', 'memory', 'tcp://129.114.91.3:40168', 47363083609856, [('compute', 1496176361.521304, 1496176370.321762)]]
['getitem-0490a6a746fc267c2e86b102332d61df', 'processing', 'memory', 'tcp://129.114.91.3:40168', 47363083609856, [('compute', 1496176370.322756, 1496176370.322761)]]
['block_rmsd-ec71662b0621bb983247d7c949fbcc6d', 'processing', 'memory', 'tcp://129.114.90.254:39375', 47520476657408, [('compute', 1496176361.814528, 1496176370.460945)]]
['getitem-42b92069c345262ef0ac694fb32563f7', 'processing', 'memory', 'tcp://129.114.90.254:39375', 47520476657408, [('compute', 1496176370.461967, 1496176370.461972)]]
['block_rmsd-ceb5d381aecb9ed6b4a60dde3fcd41ee', 'processing', 'memory', 'tcp://129.114.90.254:34406', 47520476657408, [('compute', 1496176364.1084719, 1496176370.533222)]]
['getitem-4355b5b817c5e2831bd90e6b2e491939', 'processing', 'memory', 'tcp://129.114.90.254:34406', 47520476657408, [('compute', 1496176370.534242, 1496176370.534247)]]
['block_rmsd-be0f4808df54ccce220d5dad177c1eec', 'processing', 'memory', 'tcp://129.114.91.1:48617', 47891426555648, [('compute', 1496176360.8146012, 1496176370.608225)]]
['getitem-2b5ee5147491841b55eb673ef50b519b', 'processing', 'memory', 'tcp://129.114.91.1:48617', 47891426555648, [('compute', 1496176370.609379, 1496176370.6093862)]]
['block_rmsd-9acc8d572a49a5928d292816eb549b39', 'processing', 'memory', 'tcp://129.114.91.3:41561', 47363083609856, [('compute', 1496176363.395314, 1496176370.648916)]]
['getitem-009d52035cf716f14559490af1413849', 'processing', 'memory', 'tcp://129.114.91.3:41561', 47363083609856, [('compute', 1496176370.6499908, 1496176370.649998)]]
['block_rmsd-b7c402f8194fadb76b51469a24a8d9bc', 'processing', 'memory', 'tcp://129.114.91.3:48036', 47363083609856, [('compute', 1496176360.6391878, 1496176370.7305539)]]
['getitem-49d26917fc162621f042883cb62b5785', 'processing', 'memory', 'tcp://129.114.91.3:48036', 47363083609856, [('compute', 1496176370.7317379, 1496176370.731745)]]
