['block_rmsd-d1d34e425faeda87133462ca68f87fa9', 'processing', 'memory', 'tcp://129.114.91.3:41946', 47363083609856, [('compute', 1496176028.653586, 1496176040.404239)]]
['block_rmsd-63fc15e357964c097a4a7ea16e5bfe82', 'processing', 'memory', 'tcp://129.114.91.3:43393', 47363083609856, [('compute', 1496176028.686852, 1496176040.460466)]]
['block_rmsd-9e45a575d1d657b0f1df7a9daecaae4f', 'processing', 'memory', 'tcp://129.114.91.1:49117', 47891426555648, [('compute', 1496176028.69116, 1496176040.62853)]]
['block_rmsd-bc5c713cfd0f439cd8e2dde61ede8a34', 'processing', 'memory', 'tcp://129.114.91.1:36358', 47891426555648, [('compute', 1496176028.679786, 1496176040.6605818)]]
['block_rmsd-0799772116c4aef5661d7f456361347e', 'processing', 'memory', 'tcp://129.114.91.1:39753', 47891426555648, [('compute', 1496176028.682446, 1496176040.7101212)]]
['block_rmsd-0d77b3c457dce6f133e613049e5d0b30', 'processing', 'memory', 'tcp://129.114.91.1:43114', 47891426555648, [('compute', 1496176028.682228, 1496176040.76117)]]
['block_rmsd-10ce8c2f9ed59be0a8f006cf0c7d5415', 'processing', 'memory', 'tcp://129.114.91.2:49843', 46941277345536, [('compute', 1496176028.6903713, 1496176040.900629)]]
['block_rmsd-6427e3c75db8c3a35c2fb4c749a6d9d4', 'processing', 'memory', 'tcp://129.114.91.3:38857', 47363083609856, [('compute', 1496176028.687968, 1496176040.999433)]]
['block_rmsd-84d80cac72fea9bd66a276b587b6a865', 'processing', 'memory', 'tcp://129.114.91.3:50102', 47363083609856, [('compute', 1496176028.690609, 1496176041.050742)]]
['block_rmsd-163a2976edb8b27e0985f63ad3011f39', 'processing', 'memory', 'tcp://129.114.91.3:48044', 47363083609856, [('compute', 1496176028.6851368, 1496176041.1925027)]]
['block_rmsd-ee56b0f3593428cfd1e6bb299a3cfecb', 'processing', 'memory', 'tcp://129.114.91.2:59547', 46941277345536, [('compute', 1496176028.658256, 1496176041.2626882)]]
['block_rmsd-9811741131d6fb8d47b93c3afb4b6d68', 'processing', 'memory', 'tcp://129.114.91.1:52071', 47891426555648, [('compute', 1496176028.685972, 1496176041.333564)]]
['block_rmsd-ab70e66db0ca3e9447a519984c55a58c', 'processing', 'memory', 'tcp://129.114.91.2:47503', 46941277345536, [('compute', 1496176028.646166, 1496176041.409489)]]
['block_rmsd-6d39fa55deb8369c51919840e69ae10a', 'processing', 'memory', 'tcp://129.114.91.2:43262', 46941277345536, [('compute', 1496176028.685184, 1496176041.4575782)]]
['block_rmsd-56c03edc1139ed8f35e812c3a729cee2', 'processing', 'memory', 'tcp://129.114.91.2:38443', 46941277345536, [('compute', 1496176028.685692, 1496176041.6419442)]]
['block_rmsd-ec39695883d5b9b4691ca1560c92edc4', 'processing', 'memory', 'tcp://129.114.91.1:42108', 47891426555648, [('compute', 1496176028.6905909, 1496176041.653378)]]
['block_rmsd-66713392f626addee8b781376fd1e6bf', 'processing', 'memory', 'tcp://129.114.91.1:43900', 47891426555648, [('compute', 1496176028.6824841, 1496176041.691694)]]
['block_rmsd-e842cf172720183bd7c1a4bc0ad9780d', 'processing', 'memory', 'tcp://129.114.91.1:46953', 47891426555648, [('compute', 1496176028.673415, 1496176041.719171)]]
['block_rmsd-3cae0b0092734d004c0b44cfc6677534', 'processing', 'memory', 'tcp://129.114.91.2:39149', 46941277345536, [('compute', 1496176028.685526, 1496176041.781528)]]
['block_rmsd-47cfe66056962de806edb32480efbd83', 'processing', 'memory', 'tcp://129.114.91.2:48105', 46941277345536, [('compute', 1496176028.662723, 1496176041.7980819)]]
['block_rmsd-77c37b257d514f139fdc8bb38c41b3ff', 'processing', 'memory', 'tcp://129.114.91.2:36225', 46941277345536, [('compute', 1496176028.689239, 1496176041.833528)]]
['block_rmsd-99432e459bc503ae4e071e953157495c', 'processing', 'memory', 'tcp://129.114.91.3:38199', 47363083609856, [('compute', 1496176028.6889489, 1496176041.848548)]]
['block_rmsd-847b7582917923e47f61700eafd72578', 'processing', 'memory', 'tcp://129.114.91.1:60519', 47891426555648, [('compute', 1496176028.6555, 1496176041.860305)]]
['block_rmsd-cb866ff8a3dde237836ae6c55f29d086', 'processing', 'memory', 'tcp://129.114.91.2:43661', 46941277345536, [('compute', 1496176028.695647, 1496176041.918598)]]
['block_rmsd-043d4ad75168b442e79e18c6213d22a7', 'processing', 'memory', 'tcp://129.114.91.2:35456', 46941277345536, [('compute', 1496176028.702011, 1496176041.966355)]]
