['getitem-154f9e8aaac3f3c78788dd7bd5f799f6', 'processing', 'memory', 'tcp://129.114.91.1:36873', 47891426555648, [('compute', 1496173859.719587, 1496173859.719594)]]
['block_rmsd-dbb92cd56cf404780ee5056d3278fce2', 'processing', 'memory', 'tcp://129.114.91.3:50102', 47363083609856, [('compute', 1496173858.482807, 1496173859.71736)]]
['getitem-2ceb3e6f4c383186129e275c485a576b', 'processing', 'memory', 'tcp://129.114.91.3:50102', 47363083609856, [('compute', 1496173859.718386, 1496173859.718391)]]
['block_rmsd-ce0cfde7a21fbdb7c612a1a354fe824a', 'processing', 'memory', 'tcp://129.114.91.2:59547', 46941277345536, [('compute', 1496173858.5054028, 1496173859.7241938)]]
['getitem-3c3fe6ca8b5823af226b22510aa466da', 'processing', 'memory', 'tcp://129.114.91.2:59547', 46941277345536, [('compute', 1496173859.725278, 1496173859.725286)]]
['block_rmsd-d6ff333d101b0011a704d8d89847eb41', 'processing', 'memory', 'tcp://129.114.91.1:39753', 47891426555648, [('compute', 1496173858.5078878, 1496173859.7296288)]]
['getitem-13cc85b5ddc3c7ddbd1ac48ffea85631', 'processing', 'memory', 'tcp://129.114.91.1:39753', 47891426555648, [('compute', 1496173859.730758, 1496173859.730763)]]
['block_rmsd-80e04b5c713e949c266079cdc397fffc', 'processing', 'memory', 'tcp://129.114.91.3:48036', 47363083609856, [('compute', 1496173858.5132968, 1496173859.729554)]]
['getitem-2f43028e39e136bff4abbbaba2edf31f', 'processing', 'memory', 'tcp://129.114.91.3:48036', 47363083609856, [('compute', 1496173859.730445, 1496173859.73045)]]
['block_rmsd-ffc838c1b2a575d7bfdb0d5bed712757', 'processing', 'memory', 'tcp://129.114.91.1:58144', 47891426555648, [('compute', 1496173858.510856, 1496173859.731632)]]
['getitem-04944c3eb08bc0a57636d76e7b928a45', 'processing', 'memory', 'tcp://129.114.91.1:58144', 47891426555648, [('compute', 1496173859.732757, 1496173859.732763)]]
