['block_rmsd-5e766f23fdf80fc6ea4c61d81fb8f804', 'processing', 'memory', 'tcp://129.114.91.2:38443', 46941277345536, [('compute', 1496176194.029084, 1496176204.977031)]]
['block_rmsd-e6346d126466c7c77019de863fda18bf', 'processing', 'memory', 'tcp://129.114.91.2:36017', 46941277345536, [('compute', 1496176194.01848, 1496176204.9828582)]]
['block_rmsd-d416716df04d6a14e7c2e955bf74383c', 'processing', 'memory', 'tcp://129.114.90.254:34406', 47520476657408, [('compute', 1496176193.980412, 1496176205.00637)]]
['block_rmsd-b9b239f4e2f2ca2f38ec1fab1ae5d6a1', 'processing', 'memory', 'tcp://129.114.91.2:54951', 46941277345536, [('compute', 1496176194.045928, 1496176205.034204)]]
['block_rmsd-b96d6aaf43594da44394e3fba45f4e79', 'processing', 'memory', 'tcp://129.114.91.1:48595', 47891426555648, [('compute', 1496176194.027652, 1496176205.159419)]]
['block_rmsd-61fe0fe8f177d0ebf2cc648adde27744', 'processing', 'memory', 'tcp://129.114.90.254:52844', 47520476657408, [('compute', 1496176193.966172, 1496176205.23224)]]
['block_rmsd-9e36d57df8ae7ebffb3c1b964b52e270', 'processing', 'memory', 'tcp://129.114.91.1:39753', 47891426555648, [('compute', 1496176194.025295, 1496176205.23687)]]
['block_rmsd-2e89c0aa463f5137fe657818f7bee19a', 'processing', 'memory', 'tcp://129.114.91.3:38515', 47363083609856, [('compute', 1496176194.022185, 1496176205.293496)]]
['block_rmsd-4d22586569d1d6ee3b69dc0415187e50', 'processing', 'memory', 'tcp://129.114.91.1:43114', 47891426555648, [('compute', 1496176194.036767, 1496176205.314109)]]
['block_rmsd-61cde10e15c842e4ba3686b385e529f6', 'processing', 'memory', 'tcp://129.114.90.254:54208', 47520476657408, [('compute', 1496176193.9716668, 1496176205.454253)]]
['block_rmsd-892763483944e59e0f427757835bf505', 'processing', 'memory', 'tcp://129.114.90.254:33736', 47520476657408, [('compute', 1496176193.9711802, 1496176205.536215)]]
['block_rmsd-7bf7a1e512d0c0b46394d0db54ff5ff9', 'processing', 'memory', 'tcp://129.114.91.3:53066', 47363083609856, [('compute', 1496176194.0362608, 1496176205.5712419)]]
['block_rmsd-136cf183f9146fffb8763d92f8059cca', 'processing', 'memory', 'tcp://129.114.90.254:34051', 47520476657408, [('compute', 1496176193.9711132, 1496176205.623153)]]
['block_rmsd-2cb3bd7931b973eb2f1a79948e53e2c3', 'processing', 'memory', 'tcp://129.114.91.3:46233', 47363083609856, [('compute', 1496176194.030384, 1496176205.693848)]]
['block_rmsd-d5443bcd8ffe866924132052ec92c0af', 'processing', 'memory', 'tcp://129.114.91.3:46694', 47363083609856, [('compute', 1496176194.0411413, 1496176205.7524333)]]
['block_rmsd-86a9cb25e363a6a75893b2c050f8c7ab', 'processing', 'memory', 'tcp://129.114.91.3:47287', 47363083609856, [('compute', 1496176194.0230122, 1496176205.7860742)]]
['block_rmsd-259a085f479cd9a7d6b3b503e2f98fea', 'processing', 'memory', 'tcp://129.114.91.2:39149', 46941277345536, [('compute', 1496176194.042329, 1496176205.838837)]]
['block_rmsd-608bfa0668a98c4cad2d7daee654e856', 'processing', 'memory', 'tcp://129.114.91.1:46953', 47891426555648, [('compute', 1496176194.017189, 1496176206.007715)]]
['block_rmsd-d1f546590cfa33eb14db80c3673c195a', 'processing', 'memory', 'tcp://129.114.91.2:35456', 46941277345536, [('compute', 1496176194.0490482, 1496176206.070153)]]
['block_rmsd-fa15fde77c676b57c3e3fa2a53359450', 'processing', 'memory', 'tcp://129.114.91.1:43459', 47891426555648, [('compute', 1496176194.056562, 1496176206.156718)]]
['block_rmsd-377e7cc2f1ce89fb0d1de805e9a6602c', 'processing', 'memory', 'tcp://129.114.90.254:46904', 47520476657408, [('compute', 1496176193.955177, 1496176206.203138)]]
['block_rmsd-eb60184ef45aee784745a20ccfd3c739', 'processing', 'memory', 'tcp://129.114.91.3:38857', 47363083609856, [('compute', 1496176194.042568, 1496176206.265629)]]
['block_rmsd-c2421faa88e5e3eb2b06e01f03767ec5', 'processing', 'memory', 'tcp://129.114.90.254:45877', 47520476657408, [('compute', 1496176193.955093, 1496176206.269521)]]
['block_rmsd-6c85748d51cf4346fc1aafbeeca3d10d', 'processing', 'memory', 'tcp://129.114.91.1:43900', 47891426555648, [('compute', 1496176194.0446951, 1496176206.2865813)]]
['block_rmsd-e4b8384cf4457329bcb5a32a8383f218', 'processing', 'memory', 'tcp://129.114.91.2:36225', 46941277345536, [('compute', 1496176194.0265381, 1496176206.648778)]]
['block_rmsd-08c4182e13f2ca5833959aab69c54a17', 'processing', 'memory', 'tcp://129.114.91.2:43661', 46941277345536, [('compute', 1496176194.046833, 1496176206.842557)]]
['block_rmsd-5bcb9963b9176794488f3f6816bfee4c', 'processing', 'memory', 'tcp://129.114.90.254:54043', 47520476657408, [('compute', 1496176193.966227, 1496176207.04316)]]
['block_rmsd-7555714d4298b0a8e35847c63572575e', 'processing', 'memory', 'tcp://129.114.90.254:48117', 47520476657408, [('compute', 1496176193.963281, 1496176207.4017718)]]
['block_rmsd-a9b37e6cbf5fbb0e12d376824246ac8c', 'processing', 'memory', 'tcp://129.114.91.2:59547', 46941277345536, [('compute', 1496176194.0008368, 1496176207.456092)]]
['block_rmsd-cac5cb8eeeb21971524499f60bf8b006', 'processing', 'memory', 'tcp://129.114.91.1:49117', 47891426555648, [('compute', 1496176194.0330768, 1496176207.575693)]]
['block_rmsd-b6b85ae3455f99ce328cbebe82b1f4b2', 'processing', 'memory', 'tcp://129.114.90.254:52203', 47520476657408, [('compute', 1496176193.9677062, 1496176207.744707)]]
['block_rmsd-e98fe4690cc464df22f7874096681395', 'processing', 'memory', 'tcp://129.114.91.2:43001', 46941277345536, [('compute', 1496176194.0377939, 1496176207.840004)]]
['block_rmsd-c170b420bc25099b4fc727f2340c325f', 'processing', 'memory', 'tcp://129.114.90.254:43574', 47520476657408, [('compute', 1496176193.955627, 1496176207.900126)]]
['block_rmsd-6ac7ebf018acf282bc41e99ef9d74e25', 'processing', 'memory', 'tcp://129.114.91.2:37310', 46941277345536, [('compute', 1496176194.022267, 1496176208.147794)]]
['block_rmsd-31f2d5401d516c9468d5c22f7f10d771', 'processing', 'memory', 'tcp://129.114.91.3:41946', 47363083609856, [('compute', 1496176194.0116522, 1496176208.538758)]]
['block_rmsd-e626179be0fd5b0c09324a2af608f52a', 'processing', 'memory', 'tcp://129.114.91.2:47503', 46941277345536, [('compute', 1496176193.9978719, 1496176209.042629)]]
