Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec,TimeStamp
0,5000,0,5000,0.0,0.0,20171107-234146
5000,10000,1,5000,310.0,3733.91257901,20171107-234146
0,5000,2,5000,620.0,2676.1527561,20171107-234146
5000,10000,3,5000,931.0,2572.9603556,20171107-234146
10000,15000,4,5000,1241.0,3027.63498753,20171107-234146
15000,20000,5,5000,1547.0,3158.96727883,20171107-234146
20000,25000,6,5000,1855.0,3451.88304359,20171107-234146
25000,30000,7,5000,2170.0,3706.34264136,20171107-234146
30000,35000,8,5000,2480.0,3728.5842786,20171107-234146
35000,40000,9,5000,2792.0,3876.2437607,20171107-234146
40000,45000,10,5000,3104.0,4040.99359791,20171107-234146
45000,50000,11,5000,3419.0,4031.33161251,20171107-234146
50000,55000,12,5000,3735.0,4023.14218921,20171107-234147
55000,60000,13,5000,4049.0,4268.33306633,20171107-234147
60000,65000,14,5000,4363.0,4486.69391378,20171107-234147
65000,70000,15,5000,4674.0,4653.89118814,20171107-234147
70000,75000,16,5000,4989.0,4871.60446787,20171107-234147
75000,80000,17,5000,5299.0,5075.32553593,20171107-234147
80000,85000,18,5000,5612.0,5215.40086877,20171107-234147
85000,90000,19,5000,5922.0,5383.42096773,20171107-234147
90000,95000,20,5000,6226.0,5502.55675377,20171107-234147
95000,100000,21,5000,6537.0,5654.25820696,20171107-234147
0,5000,22,5000,6851.0,5039.75333405,20171107-234147
5000,10000,23,5000,7164.0,4807.91210454,20171107-234147
10000,15000,24,5000,7478.0,4761.64748451,20171107-234147
15000,20000,25,5000,7788.0,4883.7878647,20171107-234147
20000,25000,26,5000,8099.0,4999.38895538,20171107-234147
25000,30000,27,5000,8405.0,5087.87755308,20171107-234147
30000,35000,28,5000,8712.0,5001.96932245,20171107-234147
35000,40000,29,5000,9027.0,5043.27078389,20171107-234147
40000,45000,30,5000,9342.0,5083.76936511,20171107-234147
45000,50000,31,5000,9649.0,5032.18871498,20171107-234148
50000,55000,32,5000,9955.0,4983.56503671,20171107-234148
55000,60000,33,5000,10261.0,4937.83593367,20171107-234148
60000,65000,34,5000,10567.0,4895.50452838,20171107-234148
65000,70000,35,5000,10872.0,4926.23824337,20171107-234148
