TIMESTAMP        home1-RQ         home1-RD         home1-WR         work-RQ          work-RD          work-WR          scratch-RQ       scratch-RD       scratch-WR       
1483748266        332509           2578890822        405173           1912453           533683848304     118755002761      434896           1143925382049     225776958101     
1483748267        332509           2578890822        405173           1912453           533683848304     118755002761      434945           1143925386045     225776960233     
1483748268        332516           2578890822        405173           1912453           533683848304     118755002761      434994           1143925390041     225776962365     
1483748269        332516           2578890822        405173           1912453           533683848304     118755002761      435043           1143925394037     225776964496     
1483748270        332516           2578890822        405173           1912453           533683848304     118755002761      435092           1143925398033     225776966626     
1483748272        332516           2578890822        405173           1912453           533683848304     118755002761      435141           1143925402033     225776968760     
1483748273        332516           2578890822        405173           1912453           533683848304     118755002761      435190           1143925406033     225776970893     
1483748274        332516           2578890822        405173           1912453           533683848304     118755002761      435239           1143925410033     225776973028     
1483748275        332518           2578890822        405173           1912453           533683848304     118755002761      435288           1143925414033     225776975161     
1483748276        332518           2578890822        405173           1912453           533683848304     118755002761      435337           1143925418033     225776977292     
1483748277        332518           2578890822        405173           1912453           533683848304     118755002761      435386           1143925422033     225776979425     
1483748278        332518           2578890822        405173           1912453           533683848304     118755002761      435435           1143925426033     225776981558     
1483748280        332518           2578890822        405173           1912453           533683848304     118755002761      435484           1143925430033     225776983692     
1483748281        332526           2578894160        405173           1912453           533683848304     118755002761      435533           1143925434033     225776985823     
1483748282        332544           2578899350        405173           1912453           533683848304     118755002761      435611           1143925457945     225776992928     
1483748283        332546           2578899350        405173           1912453           533683848304     118755002761      435676           1143925481845     225777000031     
1483748284        332555           2578899350        405173           1912453           533683848304     118755002761      435740           1143925505745     225777007139     
1483748285        332555           2578899350        405173           1912453           533683848304     118755002761      435804           1143925529653     225777014250     
1483748286        332555           2578899350        405173           1912453           533683848304     118755002761      435956           1144352639609     225777021354     
1483748288        332555           2578899350        405173           1912453           533683848304     118755002761      436020           1144574961609     225777028453     
1483748289        332555           2578899350        405173           1912453           533683848304     118755002761      436084           1144893752613     225777035554     
1483748290        332555           2578899350        405173           1912453           533683848304     118755002761      436148           1145216737909     225777042653     
1483748291        332555           2578899350        405173           1912453           533683848304     118755002761      436212           1145564889029     225777049749     
1483748292        332555           2578899350        405173           1912453           533683848304     118755002761      436276           1145925623073     225777056851     
1483748293        332555           2578899350        405173           1912453           533683848304     118755002761      436340           1146231831153     225777063949     
1483748294        332559           2578899350        405173           1912453           533683848304     118755002761      436404           1146533844941     225777071050     
1483748296        332566           2578899350        405173           1912453           533683848304     118755002761      436468           1146890384669     225777078144     
1483748297        332566           2578899350        405173           1912454           533683848304     118755002761      436532           1147188204153     225777085243     
1483748298        332566           2578899350        405173           1912454           533683848304     118755002761      436596           1147406331849     225777092342     
1483748299        332566           2578899350        405173           1912454           533683848304     118755002761      436660           1147699957029     225777099440     
1483748300        332566           2578899350        405173           1912454           533683848304     118755002761      436726           1147968416373     225777106538     
1483748301        332566           2578899350        405173           1912454           533683848304     118755002761      436800           1148119435217     225777113639     
1483748303        332566           2578899350        405173           1912454           533683848304     118755002761      436864           1148354340117     225777120735     
1483748304        332566           2578899350        405173           1912454           533683848304     118755002761      436928           1148543107685     225777127832     
1483748305        332568           2578899350        405173           1912454           533683848304     118755002761      436992           1148564103105     225777134935     
1483748306        332570           2578899350        405173           1912454           533683848304     118755002761      437064           1148681567517     225777142039     
1483748307        332570           2578899350        405173           1912454           533683848304     118755002761      437128           1148782254713     225777149141     
1483748308        332570           2578899350        405173           1912454           533683848304     118755002761      437192           1148882941909     225777156244     
1483748309        332570           2578899350        405173           1912454           533683848304     118755002761      437256           1149050737969     225777163346     
1483748311        332570           2578899350        405173           1912454           533683848304     118755002761      437320           1149264671373     225777170448     
1483748312        332570           2578899350        405173           1912454           533683848304     118755002761      437392           1149495381973     225777177546     
1483748313        332570           2578899350        405173           1912454           533683848304     118755002761      437456           1149709315381     225777184647     
1483748314        332570           2578899350        405173           1912454           533683848304     118755002761      437520           1150023912073     225777191745     
1483748315        332574           2578899350        405173           1912454           533683848304     118755002761      437584           1150418200529     225777198841     
1483748316        332574           2578899350        405173           1912454           533683848304     118755002761      437658           1151068341541     225777205936     
1483748317        332574           2578899350        405173           1912454           533683848304     118755002761      437722           1151278080621     225777213034     
1483748318        332574           2578899350        405173           1912454           533683848304     118755002761      437786           1151278104501     225777220139     
1483748320        332574           2578899350        405173           1912454           533683848304     118755002761      437850           1151278128381     225777227244     
1483748321        332574           2578899350        405173           1912454           533683848304     118755002761      437922           1151278152261     225777234349     
1483748322        332574           2578899350        405173           1912455           533683848304     118755002761      437986           1151278176141     225777241450     
1483748323        332574           2578899350        405173           1912455           533683848304     118755002761      438050           1151278200021     225777248554     
1483748324        332574           2578899350        405173           1912455           533683848304     118755002761      438117           1151278223901     225777255659     
1483748325        332579           2578899350        405173           1912455           533683848304     118755002761      438167           1151278227901     225777257792     
1483748326        332579           2578899350        405173           1912455           533683848304     118755002761      438226           1151278231901     225777259926     
1483748328        332579           2578899350        405173           1912455           533683848304     118755002761      438275           1151278235901     225777262059     
1483748329        332579           2578899350        405173           1912455           533683848304     118755002761      438324           1151278239901     225777264193     
1483748330        332579           2578899350        405173           1912455           533683848304     118755002761      438375           1151278243901     225777266326     
1483748331        332579           2578899350        405173           1912455           533683848304     118755002761      438432           1151278247901     225777268457     
