Number_Clusters,Number_Points_per_Cluster,Number_Dim,Number_Points_per_Message,Interval,Number_Partitions, Time
100,100,3,5000,120,384,0.16314
100,1000,3,5000,120,384,0.65954
100,10000,3,5000,120,384,5.73411
100,100000,3,5000,120,384,57.19384
100,1000000,3,5000,120,384,581.31468
