Produce_batch_Start,Produce_batch_Stop,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
848000,856000,119,8000,59282.0,4961.21085641
856000,864000,120,8000,59791.0,4973.69984327
864000,872000,121,8000,60292.0,4962.6496086
872000,880000,122,8000,60785.0,4951.47613925
880000,888000,123,8000,61275.0,4940.09994416
888000,896000,124,8000,61754.0,4917.9511118
896000,904000,125,8000,62247.0,4930.22268184
904000,912000,126,8000,62745.0,4942.35060232
912000,920000,127,8000,63245.0,4951.20152414
920000,928000,128,8000,63751.0,4954.26911158
928000,936000,129,8000,64260.0,4962.58671565
936000,944000,130,8000,64766.0,4971.78524549
944000,952000,131,8000,65272.0,4975.01966167
952000,960000,132,8000,65778.0,4987.6502959
960000,968000,133,8000,66286.0,4990.22895619
968000,976000,134,8000,66780.0,5000.60354747
976000,984000,135,8000,67272.0,5001.56163963
984000,992000,136,8000,67764.0,4990.13257247
992000,1000000,137,8000,68256.0,4979.56435952
0,8000,138,8000,68747.0,3913.27594749
8000,16000,139,8000,69229.0,3901.01961044
16000,24000,140,8000,69711.0,3900.28768018
24000,32000,141,8000,70193.0,3899.79179891
32000,40000,142,8000,70675.0,3899.29311078
40000,48000,143,8000,71157.0,3905.60463831
48000,56000,144,8000,71640.0,3911.69246436
56000,64000,145,8000,72122.0,3910.94608168
64000,72000,146,8000,72604.0,3917.0065449
72000,80000,147,8000,73086.0,3928.68101001
80000,88000,148,8000,73568.0,3930.51733688
88000,96000,149,8000,74050.0,3936.56624299
96000,104000,150,8000,74533.0,3947.99574262
104000,112000,151,8000,75013.0,3957.21649459
112000,120000,152,8000,75492.0,3963.12213778
120000,128000,153,8000,75970.0,3974.52991717
128000,136000,154,8000,76449.0,3985.65789307
136000,144000,155,8000,76928.0,3997.08737235
144000,152000,156,8000,77406.0,4007.43872575
152000,160000,157,8000,77885.0,4012.81832127
160000,168000,158,8000,78364.0,4011.63990207
168000,176000,159,8000,78842.0,4010.3988643
176000,184000,160,8000,79321.0,4009.17383628
184000,192000,161,8000,79799.0,4002.70921394
192000,200000,162,8000,80278.0,4001.73851615
200000,208000,163,8000,80757.0,4012.29865655
208000,216000,164,8000,81248.0,4020.93550228
216000,224000,165,8000,81738.0,4026.27237108
224000,232000,166,8000,82229.0,4034.73673468
232000,240000,167,8000,82719.0,4045.21796834
240000,248000,168,8000,83210.0,4054.85537466
248000,256000,169,8000,83701.0,4064.96520038
256000,264000,170,8000,84191.0,4073.0695735
264000,272000,171,8000,84682.0,4078.00201384
272000,280000,172,8000,85173.0,4083.00679461
280000,288000,173,8000,85663.0,4087.11614311
288000,296000,174,8000,86154.0,4097.00319385
296000,304000,175,8000,86645.0,4105.00084254
304000,312000,176,8000,87155.0,4110.57416757
312000,320000,177,8000,87685.0,4116.89413604
320000,328000,178,8000,88215.0,4117.04033958
328000,336000,179,8000,88745.0,4123.23530394
336000,344000,180,8000,89274.0,4129.34009158
344000,352000,181,8000,89804.0,4132.89889913
352000,360000,182,8000,90334.0,4132.89252219
360000,368000,183,8000,90864.0,4139.0242662
368000,376000,184,8000,91394.0,4149.926432
376000,384000,185,8000,91924.0,4152.12875354
384000,392000,186,8000,92454.0,4161.0226597
392000,400000,187,8000,92984.0,4171.65050747
400000,408000,188,8000,93514.0,4180.45504125
408000,416000,189,8000,94014.0,4188.08357285
416000,424000,190,8000,94513.0,4197.58890544
424000,432000,191,8000,95013.0,4206.3313549
432000,440000,192,8000,95512.0,4213.72652992
440000,448000,193,8000,96012.0,4221.05373885
448000,456000,194,8000,96512.0,4230.4970348
456000,464000,195,8000,97011.0,4238.87314406
464000,472000,196,8000,97511.0,4246.10816562
472000,480000,197,8000,98010.0,4244.20867965
480000,488000,198,8000,98510.0,4251.4158661
488000,496000,199,8000,99009.0,4255.50201215
496000,504000,200,8000,99509.0,4262.52117314
504000,512000,201,8000,100011.0,4269.45891677
512000,520000,202,8000,100514.0,4276.24813563
520000,528000,203,8000,101018.0,4283.01673349
528000,536000,204,8000,101521.0,4289.67674679
536000,544000,205,8000,102025.0,4293.59097135
544000,552000,206,8000,102528.0,4301.97996374
552000,560000,207,8000,103032.0,4308.75872838
560000,568000,208,8000,103535.0,4317.1818322
568000,576000,209,8000,104038.0,4316.59523667
576000,584000,210,8000,104542.0,4320.25580936
584000,592000,211,8000,105045.0,4328.2688765
592000,600000,212,8000,105549.0,4334.44276975
600000,608000,213,8000,106052.0,4342.39768726
608000,616000,214,8000,106547.0,4348.41769053
616000,624000,215,8000,107043.0,4353.29616236
624000,632000,216,8000,107538.0,4360.44617107
632000,640000,217,8000,108033.0,4365.5896998
640000,648000,218,8000,108529.0,4368.74052435
648000,656000,219,8000,109024.0,4371.47128194
656000,664000,220,8000,109519.0,4374.41532561
664000,672000,221,8000,110015.0,4369.32523257
672000,680000,222,8000,110510.0,4372.24202508
680000,688000,223,8000,111006.0,4372.62538759
688000,696000,224,8000,111501.0,4369.80218628
696000,704000,225,8000,111996.0,4367.19721853
704000,712000,226,8000,112499.0,4367.81386136
712000,720000,227,8000,113009.0,4365.73154237
720000,728000,228,8000,113518.0,4369.21416841
728000,736000,229,8000,114027.0,4370.11354489
736000,744000,230,8000,114537.0,4373.37769773
744000,752000,231,8000,115046.0,4376.74053481
752000,760000,232,8000,115556.0,4380.1111376
760000,768000,233,8000,116065.0,4371.57377418
768000,776000,234,8000,116574.0,4377.48229916
776000,784000,235,8000,117084.0,4380.77906492
784000,792000,236,8000,117593.0,4385.67456734
792000,800000,237,8000,118103.0,4392.34345013
800000,808000,238,8000,118612.0,4398.23785073
808000,816000,239,8000,119115.0,4401.283526
816000,824000,240,8000,119619.0,4404.29299784
824000,832000,241,8000,120122.0,4409.58018015
832000,840000,242,8000,120626.0,4415.00390584
840000,848000,243,8000,121129.0,4420.3824648
848000,856000,244,8000,121633.0,4423.36624236
856000,864000,245,8000,122136.0,4419.51970029
864000,872000,246,8000,122640.0,4424.79710771
872000,880000,247,8000,123143.0,4425.04841042
880000,888000,248,8000,123646.0,4431.53930243
888000,896000,249,8000,124149.0,4436.30161034
896000,904000,250,8000,124653.0,4438.95930407
904000,912000,251,8000,125144.0,4443.91303872
912000,920000,252,8000,125622.0,4445.96800813
920000,928000,253,8000,126100.0,4445.68211619
928000,936000,254,8000,126578.0,4447.712916
936000,944000,255,8000,127056.0,4449.59841319
944000,952000,256,8000,127533.0,4451.48894575
952000,960000,257,8000,128011.0,4447.29572207
960000,968000,258,8000,128489.0,4449.30912162
968000,976000,259,8000,128967.0,4453.02434499
976000,984000,260,8000,129445.0,4458.60644972
984000,992000,261,8000,129923.0,4460.52343151
992000,1000000,262,8000,130401.0,4457.65486277
1000000,1008000,263,8000,130879.0,4459.71205166
1008000,1016000,264,8000,131376.0,4462.04468179
1016000,1024000,265,8000,131873.0,4464.36261189
1024000,1032000,266,8000,132371.0,4466.65754182
1032000,1040000,267,8000,132868.0,4466.77359197
1040000,1048000,268,8000,133365.0,4468.99483116
1048000,1056000,269,8000,133862.0,4465.09591282
1056000,1064000,270,8000,134359.0,4467.24913514
1064000,1072000,271,8000,134856.0,4469.54019137
1072000,1080000,272,8000,135354.0,4475.63181882
1080000,1088000,273,8000,135851.0,4480.26534274
1088000,1096000,274,8000,136348.0,4484.86364822
1096000,1104000,275,8000,136845.0,4487.32994065
