#HOST     VIRT_MAX  RES_MAX  FREE_MIN
c405-003 2.2488 0.1882 19.1075
c416-701 0.6937 0.1182 19.0965
c417-702 0.6937 0.1194 19.0948
c419-002 0.6937 0.1209 19.0839
c419-003 0.6937 0.1209 19.0935
c419-501 0.6937 0.1209 19.0888
c419-603 0.6937 0.1209 19.0984
c419-604 0.6937 0.1209 19.0996
c419-702 0.6937 0.1208 19.1002
c419-703 0.6937 0.1209 19.0988
c420-702 0.6937 0.1209 19.0680
c421-502 0.6937 0.1209 19.0859
c421-503 0.6937 0.1209 19.0911
c428-404 0.6937 0.1209 19.0652
c429-803 0.6937 0.1208 19.0861
c430-104 0.6937 0.1209 19.1498
