BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario,Application,Centers
1516252140000 ms, 2018-01-17T23:09:00, 5, 2682, 2677, 0,34-1B-8C,kmeans,10
1516252200000 ms, 2018-01-17T23:10:00, 1, 34000, 33999, 30600,34-1B-8C,kmeans,10
1516252260000 ms, 2018-01-17T23:11:00, 1, 57763, 57762, 57588,34-1B-8C,kmeans,10
1516252320000 ms, 2018-01-17T23:12:00, 0, 58337, 58337, 58498,34-1B-8C,kmeans,10
1516252380000 ms, 2018-01-17T23:13:00, 0, 35239, 35239, 36469,34-1B-8C,kmeans,10
1516252440000 ms, 2018-01-17T23:14:00, 0, 21513, 21513, 20845,34-1B-8C,kmeans,10
1516252500000 ms, 2018-01-17T23:15:00, 1, 403, 402, 0,34-1B-8C,kmeans,10
1516252560000 ms, 2018-01-17T23:16:00, 1, 487, 486, 0,34-1B-8C,kmeans,10
1516252620000 ms, 2018-01-17T23:17:00, 1, 474, 473, 0,34-1B-8C,kmeans,10
1516252680000 ms, 2018-01-17T23:18:00, 0, 437, 437, 0,34-1B-8C,kmeans,10
1516252740000 ms, 2018-01-17T23:19:00, 0, 425, 425, 0,34-1B-8C,kmeans,10
