#HOST     VIRT_MAX  RES_MAX  FREE_MIN
c401-503 2.2520 0.1882 19.0828
c402-201 0.6937 0.1209 19.1685
c404-104 0.6937 0.1209 19.1662
c406-704 0.6937 0.1182 19.1669
c406-803 0.6937 0.1181 19.1729
c410-804 0.6937 0.1182 19.1859
c416-701 0.6937 0.1209 19.2067
c418-204 0.6937 0.1208 19.1691
c424-404 0.6937 0.1208 19.1718
c425-002 0.6937 0.1209 19.2214
c425-003 0.6937 0.1208 19.2156
c425-004 0.6937 0.1208 19.1743
c425-101 0.6937 0.1208 19.1785
c430-702 0.6937 0.1209 19.1890
c430-801 0.6937 0.1208 19.2065
c432-104 0.6937 0.1179 19.2324
