BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario
1512159240000 ms,2017-12-01T14:14:06,1,20696,20695,11219,1_Producer_Count
1512159300000 ms,2017-12-01T14:15:06,0,19349,19349,10656,1_Producer_Count
1512159360000 ms,2017-12-01T14:16:08,1,25106,25105,15341,1_Producer_Count
1512159420000 ms,2017-12-01T14:17:08,0,24892,24892,15162,1_Producer_Count
1512159480000 ms,2017-12-01T14:18:08,1,25821,25820,15002,1_Producer_Count
1512159540000 ms,2017-12-01T14:19:07,0,23119,23119,14791,1_Producer_Count
1512159600000 ms,2017-12-01T14:20:07,1,23772,23771,15254,1_Producer_Count
1512159660000 ms,2017-12-01T14:21:08,0,26634,26634,15066,1_Producer_Count
1512159720000 ms,2017-12-01T14:22:08,0,27844,27844,14663,1_Producer_Count
1512159780000 ms,2017-12-01T14:23:07,0,24624,24624,14741,1_Producer_Count
1512159840000 ms,2017-12-01T14:24:07,0,24888,24888,15133,1_Producer_Count
1512159900000 ms,2017-12-01T14:25:07,1,23710,23709,14228,1_Producer_Count
