Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec,TimeStamp
0,5000,0,5000,0.0,0.0,20171107-234146
5000,10000,1,5000,311.0,3761.26290779,20171107-234146
0,5000,2,5000,620.0,3420.93085176,20171107-234146
5000,10000,3,5000,932.0,3566.16530601,20171107-234146
10000,15000,4,5000,1247.0,4031.1475848,20171107-234146
15000,20000,5,5000,1558.0,4365.36581899,20171107-234146
20000,25000,6,5000,1870.0,4278.92138656,20171107-234146
25000,30000,7,5000,2176.0,4765.77171639,20171107-234146
30000,35000,8,5000,2484.0,5174.92268201,20171107-234146
35000,40000,9,5000,2797.0,5519.59483246,20171107-234146
40000,45000,10,5000,3108.0,5907.47577671,20171107-234146
45000,50000,11,5000,3414.0,6249.60888253,20171107-234146
50000,55000,12,5000,3726.0,6542.43091944,20171107-234146
55000,60000,13,5000,4035.0,6539.74002588,20171107-234146
60000,65000,14,5000,4344.0,6694.72535764,20171107-234146
65000,70000,15,5000,4650.0,6677.91559197,20171107-234146
70000,75000,16,5000,4960.0,6811.26689659,20171107-234146
75000,80000,17,5000,5271.0,6938.09907519,20171107-234146
80000,85000,18,5000,5583.0,7165.91302049,20171107-234146
85000,90000,19,5000,5892.0,7339.61375911,20171107-234146
90000,95000,20,5000,6202.0,7507.38265956,20171107-234146
95000,100000,21,5000,6514.0,7594.22459386,20171107-234147
0,5000,22,5000,6823.0,6534.8889956,20171107-234147
5000,10000,23,5000,7133.0,6072.02215951,20171107-234147
10000,15000,24,5000,7442.0,5698.049197,20171107-234147
15000,20000,25,5000,7739.0,5582.57757305,20171107-234147
20000,25000,26,5000,8036.0,5602.427795,20171107-234147
25000,30000,27,5000,8341.0,5618.1135407,20171107-234147
30000,35000,28,5000,8647.0,5605.95419051,20171107-234147
35000,40000,29,5000,8966.0,5635.83845944,20171107-234147
40000,45000,30,5000,9286.0,5665.02370599,20171107-234147
45000,50000,31,5000,9602.0,5585.50944158,20171107-234147
50000,55000,32,5000,9918.0,5612.71553891,20171107-234147
55000,60000,33,5000,10232.0,5536.01716785,20171107-234147
60000,65000,34,5000,10546.0,5557.864989,20171107-234148
65000,70000,35,5000,10863.0,5492.09128911,20171107-234148
70000,75000,36,5000,11181.0,5432.05454235,20171107-234148
75000,80000,37,5000,11508.0,5535.61699644,20171107-234148
80000,85000,38,5000,11836.0,5627.97882572,20171107-234148
85000,90000,39,5000,12141.0,5642.70899258,20171107-234148
90000,95000,40,5000,12447.0,5699.34003836,20171107-234148
95000,100000,41,5000,12761.0,5718.55135097,20171107-234148
100000,105000,42,5000,13075.0,5735.6250234,20171107-234148
105000,110000,43,5000,13389.0,5753.1320915,20171107-234148
110000,115000,44,5000,13702.0,5808.85609176,20171107-234148
115000,120000,45,5000,14008.0,5886.72830067,20171107-234148
120000,125000,46,5000,14313.0,5954.3346986,20171107-234148
125000,130000,47,5000,14612.0,6002.73402419,20171107-234148
130000,135000,48,5000,14911.0,6066.69611784,20171107-234148
135000,140000,49,5000,15217.0,6130.87360577,20171107-234148
140000,145000,50,5000,15523.0,6193.27819744,20171107-234148
145000,150000,51,5000,15849.0,6270.79904075,20171107-234148
150000,155000,52,5000,16174.0,6318.85456747,20171107-234148
155000,160000,53,5000,16491.0,6382.14350762,20171107-234148
160000,165000,54,5000,16809.0,6444.04931665,20171107-234148
165000,170000,55,5000,17123.0,6483.86721135,20171107-234148
