BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, NumberRecords, Scenario
1504800300000 ms, 2017-09-07T11:05:23, 4, 75805, 3932,1_Producer_Count
1504800360000 ms, 2017-09-07T11:06:44, 0, 61175, 2677,1_Producer_Count
1504800420000 ms, 2017-09-07T11:07:32, 13088, 105043, 3868,1_Producer_Count
1504800480000 ms, 2017-09-07T11:08:48, 28984, 109675, 4018,1_Producer_Count
1504800540000 ms, 2017-09-07T11:09:35, 62538, 161091, 4035,1_Producer_Count
1504800600000 ms, 2017-09-07T11:10:56, 80037, 162617, 4042,1_Producer_Count
1504800660000 ms, 2017-09-07T11:11:47, 112553, 190533, 3739,1_Producer_Count
1504800720000 ms, 2017-09-07T11:12:34, 143030, 219633, 3827,1_Producer_Count
1504800780000 ms, 2017-09-07T11:13:59, 134209, 212930, 3979,1_Producer_Count
1504800840000 ms, 2017-09-07T11:14:32, 180076, 226660, 2664,1_Producer_Count
1504800900000 ms, 2017-09-07T11:15:45, 154070, 199084, 2531,1_Producer_Count
1504800960000 ms, 2017-09-07T11:16:27, 156860, 197785, 2372,1_Producer_Count
1504801020000 ms, 2017-09-07T11:17:34, 131141, 162370, 1750,1_Producer_Count
1504801080000 ms, 2017-09-07T11:18:23, 113175, 137187, 1224,1_Producer_Count
1504801140000 ms, 2017-09-07T11:19:08, 92068, 115628, 1241,1_Producer_Count
1504801200000 ms, 2017-09-07T11:20:24, 40062, 65767, 1336,1_Producer_Count
1504801260000 ms, 2017-09-07T11:21:09, 19998, 42528, 1310,1_Producer_Count
1504801320000 ms, 2017-09-07T11:22:08, 0, 25261, 1460,1_Producer_Count
1504801380000 ms, 2017-09-07T11:23:09, 1, 29650, 1750,1_Producer_Count
1504801440000 ms, 2017-09-07T11:24:07, 0, 23822, 1405,1_Producer_Count
1504801500000 ms, 2017-09-07T11:25:03, 0, 11060, 624,1_Producer_Count
1504801560000 ms, 2017-09-07T11:26:03, 0, 10024, 575,1_Producer_Count
1504801620000 ms, 2017-09-07T11:27:03, 0, 8980, 474,1_Producer_Count
1504801680000 ms, 2017-09-07T11:28:00, 0, 1265, 0,1_Producer_Count
1504801740000 ms, 2017-09-07T11:29:00, 1, 1269, 0,1_Producer_Count
1504801800000 ms, 2017-09-07T11:30:00, 0, 1293, 0,1_Producer_Count
1504801860000 ms, 2017-09-07T11:31:00, 1, 1277, 0,1_Producer_Count
1504801920000 ms, 2017-09-07T11:32:00, 0, 1270, 0,1_Producer_Count
1504801980000 ms, 2017-09-07T11:33:00, 0, 1274, 0,1_Producer_Count
1504802040000 ms, 2017-09-07T11:34:00, 1, 1248, 0,1_Producer_Count
1504802100000 ms, 2017-09-07T11:35:00, 0, 1278, 0,1_Producer_Count
1504802160000 ms, 2017-09-07T11:36:00, 0, 1295, 0,1_Producer_Count
1504802220000 ms, 2017-09-07T11:37:00, 0, 1271, 0,1_Producer_Count
1504802280000 ms, 2017-09-07T11:38:00, 0, 1254, 0,1_Producer_Count
1504802340000 ms, 2017-09-07T11:39:00, 1, 1261, 0,1_Producer_Count
