Produce_batch_Start,Produce_batch_Stop,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,8000,0,8000,0.0,0.0
0,8000,1,8000,492.0,2761.70382177
8000,16000,2,8000,984.0,3217.64180382
16000,24000,3,8000,1479.0,3690.09351438
24000,32000,4,8000,1977.0,3990.53059307
32000,40000,5,8000,2475.0,4195.32104753
40000,48000,6,8000,2976.0,4349.12919987
48000,56000,7,8000,3470.0,4451.71989181
56000,64000,8,8000,3964.0,4535.60483093
64000,72000,9,8000,4458.0,4604.05905974
72000,80000,10,8000,4953.0,4660.02416151
80000,88000,11,8000,5455.0,4583.69452145
88000,96000,12,8000,5952.0,4713.71286765
0,8000,13,8000,6450.0,3669.51201102
8000,16000,14,8000,6980.0,3601.29061828
16000,24000,15,8000,7472.0,3674.86877438
24000,32000,16,8000,7966.0,3774.22677921
32000,40000,17,8000,8474.0,3843.89990869
40000,48000,18,8000,8978.0,3902.97787179
48000,56000,19,8000,9481.0,3958.97959701
56000,64000,20,8000,9981.0,4010.85471453
64000,72000,21,8000,10482.0,4009.99715499
72000,80000,22,8000,10979.0,4055.40981527
80000,88000,23,8000,11460.0,4043.13519695
88000,96000,24,8000,11965.0,4037.9679863
96000,104000,25,8000,12468.0,4033.33952707
104000,112000,26,8000,12956.0,4066.27837409
112000,120000,27,8000,13438.0,4132.22893007
120000,128000,28,8000,13939.0,4195.8060498
128000,136000,29,8000,14442.0,4248.44922335
136000,144000,30,8000,14949.0,4296.64161639
144000,152000,31,8000,15455.0,4343.25997187
152000,160000,32,8000,15958.0,4387.8100528
160000,168000,33,8000,16453.0,4426.27633765
168000,176000,34,8000,16956.0,4480.14863295
176000,184000,35,8000,17441.0,4492.9760031
184000,192000,36,8000,17930.0,4538.97963316
192000,200000,37,8000,18430.0,4570.81462428
200000,208000,38,8000,18931.0,4604.13794258
208000,216000,39,8000,19443.0,4639.86253192
216000,224000,40,8000,19935.0,4669.20775006
224000,232000,41,8000,20417.0,4696.44808168
232000,240000,42,8000,20901.0,4706.3385979
240000,248000,43,8000,21402.0,4733.81840254
248000,256000,44,8000,21903.0,4763.52661866
256000,264000,45,8000,22410.0,4790.83353687
264000,272000,46,8000,22903.0,4815.02634181
272000,280000,47,8000,23384.0,4809.02318853
280000,288000,48,8000,23876.0,4816.14876547
288000,296000,49,8000,24371.0,4823.22722015
296000,304000,50,8000,24862.0,4853.64408039
304000,312000,51,8000,25358.0,4874.66837382
312000,320000,52,8000,25858.0,4895.96788179
320000,328000,53,8000,26355.0,4901.15681364
328000,336000,54,8000,26859.0,4878.66548002
336000,344000,55,8000,27365.0,4885.61338414
344000,352000,56,8000,27871.0,4891.83252529
352000,360000,57,8000,28371.0,4896.84879119
360000,368000,58,8000,28859.0,4900.0647846
368000,376000,59,8000,29341.0,4854.11277446
376000,384000,60,8000,29824.0,4858.66879889
384000,392000,61,8000,30314.0,4863.91809976
392000,400000,62,8000,30809.0,4844.85737024
400000,408000,63,8000,31292.0,4825.62699995
408000,416000,64,8000,31777.0,4829.5317293
416000,424000,65,8000,32289.0,4836.68890681
424000,432000,66,8000,32791.0,4820.30475209
432000,440000,67,8000,33279.0,4824.66998968
440000,448000,68,8000,33783.0,4807.72457081
448000,456000,69,8000,34282.0,4812.85643027
456000,464000,70,8000,34784.0,4819.40066056
464000,472000,71,8000,35285.0,4825.69311992
472000,480000,72,8000,35781.0,4814.14080802
480000,488000,73,8000,36264.0,4818.17319281
488000,496000,74,8000,36769.0,4825.21598285
496000,504000,75,8000,37265.0,4830.18155618
504000,512000,76,8000,37752.0,4834.12780828
512000,520000,77,8000,38237.0,4837.83441104
520000,528000,78,8000,38734.0,4822.56347544
528000,536000,79,8000,39235.0,4840.5027956
536000,544000,80,8000,39737.0,4845.3699331
544000,552000,81,8000,40234.0,4858.64069689
552000,560000,82,8000,40728.0,4861.86637826
560000,568000,83,8000,41232.0,4875.96515912
568000,576000,84,8000,41734.0,4874.17530733
576000,584000,85,8000,42220.0,4886.85180866
584000,592000,86,8000,42706.0,4898.89738604
592000,600000,87,8000,43204.0,4911.29125084
600000,608000,88,8000,43720.0,4924.91318065
608000,616000,89,8000,44205.0,4935.86616555
616000,624000,90,8000,44690.0,4946.7868832
624000,632000,91,8000,45184.0,4957.95712007
632000,640000,92,8000,45681.0,4960.79563042
640000,648000,93,8000,46160.0,4971.37261999
648000,656000,94,8000,46663.0,4974.65451338
656000,664000,95,8000,47159.0,4977.02988892
664000,672000,96,8000,47656.0,4966.26643167
672000,680000,97,8000,48156.0,4954.12581505
680000,688000,98,8000,48655.0,4941.91288391
688000,696000,99,8000,49144.0,4927.96030795
696000,704000,100,8000,49631.0,4930.08714861
704000,712000,101,8000,50111.0,4916.52425283
712000,720000,102,8000,50589.0,4918.50571937
720000,728000,103,8000,51077.0,4920.48252301
728000,736000,104,8000,51583.0,4924.58513949
736000,744000,105,8000,52106.0,4942.96939229
744000,752000,106,8000,52619.0,4954.16928603
