BatchTime, SubmissionTime, SchedulingDelay, ProcessingDelay, TotalDelay, NumberRecords, Scenario
1524247200000 ms, 2018-04-20T13:00:00, 4, 261571, 261575, 320,test
1524247260000 ms, 2018-04-20T13:01:00, 201631, 136, 201767, 0,test
1524247320000 ms, 2018-04-20T13:02:00, 141771, 154, 141925, 0,test
1524247380000 ms, 2018-04-20T13:03:00, 81926, 155, 82081, 0,test
1524247440000 ms, 2018-04-20T13:04:00, 22081, 151, 22232, 0,test
1524247500000 ms, 2018-04-20T13:05:00, 0, 161, 161, 0,test
1524247560000 ms, 2018-04-20T13:06:00, 1, 152, 153, 0,test
1524247620000 ms, 2018-04-20T13:07:00, 1, 248610, 248611, 320,test
1524247680000 ms, 2018-04-20T13:08:00, 188610, 134, 188744, 0,test
1524247740000 ms, 2018-04-20T13:09:00, 128744, 146, 128890, 0,test
1524247800000 ms, 2018-04-20T13:10:00, 68891, 145, 69036, 0,test
1524247860000 ms, 2018-04-20T13:11:00, 9038, 145, 9183, 0,test
1524247920000 ms, 2018-04-20T13:12:00, 0, 152, 152, 0,test
1524247980000 ms, 2018-04-20T13:13:00, 1, 148, 149, 0,test
1524248040000 ms, 2018-04-20T13:14:00, 0, 149, 149, 0,test
1524248100000 ms, 2018-04-20T13:15:00, 0, 152, 152, 0,test
1524248160000 ms, 2018-04-20T13:16:00, 0, 147, 147, 0,test
1524248220000 ms, 2018-04-20T13:17:00, 0, 147, 147, 0,test
1524248280000 ms, 2018-04-20T13:18:00, 0, 148, 148, 0,test
1524248340000 ms, 2018-04-20T13:19:00, 1, 148, 149, 0,test
1524248400000 ms, 2018-04-20T13:20:00, 0, 147, 147, 0,test
1524248460000 ms, 2018-04-20T13:21:00, 1, 151, 152, 0,test
1524248520000 ms, 2018-04-20T13:22:00, 0, 147, 147, 0,test
1524248580000 ms, 2018-04-20T13:23:00, 0, 147, 147, 0,test
1524248640000 ms, 2018-04-20T13:24:00, 1, 146, 147, 0,test
1524248700000 ms, 2018-04-20T13:25:00, 0, 145, 145, 0,test
1524248760000 ms, 2018-04-20T13:26:00, 1, 146, 147, 0,test
1524248820000 ms, 2018-04-20T13:27:00, 0, 146, 146, 0,test
1524248880000 ms, 2018-04-20T13:28:00, 0, 146, 146, 0,test
1524248940000 ms, 2018-04-20T13:29:00, 1, 144, 145, 0,test
1524249000000 ms, 2018-04-20T13:30:00, 3, 177, 180, 0,test
1524249060000 ms, 2018-04-20T13:31:00, 1, 147, 148, 0,test
1524249120000 ms, 2018-04-20T13:32:00, 0, 145, 145, 0,test
1524249180000 ms, 2018-04-20T13:33:00, 0, 148, 148, 0,test
1524249240000 ms, 2018-04-20T13:34:00, 0, 141, 141, 0,test
1524249300000 ms, 2018-04-20T13:35:00, 1, 144, 145, 0,test
1524249360000 ms, 2018-04-20T13:36:00, 0, 142, 142, 0,test
1524249420000 ms, 2018-04-20T13:37:00, 1, 145, 146, 0,test
1524249480000 ms, 2018-04-20T13:38:00, 1, 143, 144, 0,test
1524249540000 ms, 2018-04-20T13:39:00, 1, 143, 144, 0,test
1524249600000 ms, 2018-04-20T13:40:00, 1, 145, 146, 0,test
1524249660000 ms, 2018-04-20T13:41:00, 1, 144, 145, 0,test
1524249720000 ms, 2018-04-20T13:42:00, 0, 150, 150, 0,test
1524249780000 ms, 2018-04-20T13:43:00, 0, 143, 143, 0,test
1524249840000 ms, 2018-04-20T13:44:00, 0, 147, 147, 0,test
1524249900000 ms, 2018-04-20T13:45:00, 0, 146, 146, 0,test
1524249960000 ms, 2018-04-20T13:46:00, 1, 145, 146, 0,test
1524250020000 ms, 2018-04-20T13:47:00, 0, 142, 142, 0,test
1524250080000 ms, 2018-04-20T13:48:00, 0, 143, 143, 0,test
1524250140000 ms, 2018-04-20T13:49:00, 0, 145, 145, 0,test
1524250200000 ms, 2018-04-20T13:50:00, 1, 145, 146, 0,test
