BatchTime, SubmissionTime, SchedulingDelay, ProcessingDelay, TotalDelay, NumberRecords, Scenario
1524242520000 ms, 2018-04-20T11:42:00, 4, 1517121, 1517125, 640,test
1524242580000 ms, 2018-04-20T11:43:00, 1457177, 752, 1457929, 0,test
1524242640000 ms, 2018-04-20T11:44:00, 1397931, 2653, 1400584, 0,test
1524242700000 ms, 2018-04-20T11:45:00, 1340585, 2744, 1343329, 0,test
1524242760000 ms, 2018-04-20T11:46:00, 1283330, 2701, 1286031, 0,test
1524242820000 ms, 2018-04-20T11:47:00, 1226029, 156, 1226185, 0,test
1524242880000 ms, 2018-04-20T11:48:00, 1166186, 155, 1166341, 0,test
1524242940000 ms, 2018-04-20T11:49:00, 1106342, 156, 1106498, 0,test
1524243000000 ms, 2018-04-20T11:50:00, 1046499, 151, 1046650, 0,test
1524243060000 ms, 2018-04-20T11:51:00, 986647, 153, 986800, 0,test
1524243120000 ms, 2018-04-20T11:52:00, 926803, 155, 926958, 0,test
1524243180000 ms, 2018-04-20T11:53:00, 866956, 152, 867108, 0,test
1524243240000 ms, 2018-04-20T11:54:00, 807112, 3177, 810289, 0,test
1524243300000 ms, 2018-04-20T11:55:00, 750289, 2721, 753010, 0,test
1524243360000 ms, 2018-04-20T11:56:00, 693008, 157, 693165, 0,test
1524243420000 ms, 2018-04-20T11:57:00, 633169, 152, 633321, 0,test
1524243480000 ms, 2018-04-20T11:58:00, 573318, 149, 573467, 0,test
1524243540000 ms, 2018-04-20T11:59:00, 513468, 153, 513621, 0,test
1524243600000 ms, 2018-04-20T12:00:00, 453620, 148, 453768, 0,test
1524243660000 ms, 2018-04-20T12:01:00, 393771, 150, 393921, 0,test
1524243720000 ms, 2018-04-20T12:02:00, 333922, 148, 334070, 0,test
1524243780000 ms, 2018-04-20T12:03:00, 274071, 151, 274222, 0,test
1524243840000 ms, 2018-04-20T12:04:00, 214222, 146, 214368, 0,test
1524243900000 ms, 2018-04-20T12:05:00, 154368, 150, 154518, 0,test
1524243960000 ms, 2018-04-20T12:06:00, 94518, 147, 94665, 0,test
1524244020000 ms, 2018-04-20T12:07:00, 34666, 148, 34814, 0,test
1524244080000 ms, 2018-04-20T12:08:00, 1, 150, 151, 0,test
1524244140000 ms, 2018-04-20T12:09:00, 0, 149, 149, 0,test
1524244200000 ms, 2018-04-20T12:10:00, 0, 166, 166, 0,test
1524244260000 ms, 2018-04-20T12:11:00, 0, 1058, 1058, 0,test
1524244320000 ms, 2018-04-20T12:12:00, 0, 1057, 1057, 0,test
1524244380000 ms, 2018-04-20T12:13:00, 0, 1063, 1063, 0,test
