BatchTime, SubmissionTime, SchedulingDelay, ProcessingDelay, TotalDelay, NumberRecords, Scenario
1524244500000 ms, 2018-04-20T12:15:00, 4, 495872, 495876, 640,test
1524244560000 ms, 2018-04-20T12:16:00, 435928, 2064, 437992, 0,test
1524244620000 ms, 2018-04-20T12:17:00, 377994, 130, 378124, 0,test
1524244680000 ms, 2018-04-20T12:18:00, 318124, 1961, 320085, 0,test
1524244740000 ms, 2018-04-20T12:19:00, 260086, 153, 260239, 0,test
1524244800000 ms, 2018-04-20T12:20:00, 200234, 157, 200391, 0,test
1524244860000 ms, 2018-04-20T12:21:00, 140395, 157, 140552, 0,test
1524244920000 ms, 2018-04-20T12:22:00, 80553, 158, 80711, 0,test
1524244980000 ms, 2018-04-20T12:23:00, 20714, 155, 20869, 0,test
1524245040000 ms, 2018-04-20T12:24:00, 0, 2015, 2015, 0,test
1524245100000 ms, 2018-04-20T12:25:00, 1, 2031, 2032, 0,test
1524245160000 ms, 2018-04-20T12:26:00, 0, 1023, 1023, 0,test
1524245220000 ms, 2018-04-20T12:27:00, 1, 1064, 1065, 0,test
1524245280000 ms, 2018-04-20T12:28:00, 0, 151, 151, 0,test
1524245340000 ms, 2018-04-20T12:29:00, 1, 1051, 1052, 0,test
1524245400000 ms, 2018-04-20T12:30:00, 0, 1073, 1073, 0,test
1524245460000 ms, 2018-04-20T12:31:00, 1, 1026, 1027, 0,test
1524245520000 ms, 2018-04-20T12:32:00, 0, 149, 149, 0,test
1524245580000 ms, 2018-04-20T12:33:00, 0, 1037, 1037, 0,test
1524245640000 ms, 2018-04-20T12:34:00, 1, 1075, 1076, 0,test
1524245700000 ms, 2018-04-20T12:35:00, 0, 2004, 2004, 0,test
1524245760000 ms, 2018-04-20T12:36:00, 1, 126636, 126637, 160,test
1524245820000 ms, 2018-04-20T12:37:00, 66637, 124985, 191622, 160,test
1524245880000 ms, 2018-04-20T12:38:00, 131622, 1083, 132705, 0,test
1524245940000 ms, 2018-04-20T12:39:00, 72705, 1064, 73769, 0,test
1524246000000 ms, 2018-04-20T12:40:00, 13766, 148, 13914, 0,test
