Application,Number_Clusters,Number_Points_per_Cluster,Number_Dim,Number_Points_per_Message,Number_Messages,Interval,Number_Partitions,Number_Processes,Number_Nodes,Number_Cores_Per_Node, Number_Brokers, Time,Points_per_sec,Records_per_sec,Dask_Config
light,-1,-1,-1,-1,32,0,48,8,1,48,1,6.27330,5.10099,5.10099,dask-distributed
light,-1,-1,-1,-1,32,0,48,8,1,48,1,15.46267,2.06950,2.06950,dask-distributed
